,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
3877,3877,2166,Mali,Jammu & Kashmir/India,Social Work,V. V. Giri,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సామాజిక పని,వి. వి. గిరి
3878,3878,2167,Maligali Ram Krishna Girinath,,,,"Tamil Nadu, India",Medicine,K. R. Narayanan,,,,,,
3879,3879,2169,Mallappa Krishna Bhargava,"Karnataka, India",Medicine,R. Venkataraman,,,,,,,"కర్ణాటక, భారత్",మెడిసిన్,ఆర్. వెంకటరమణ
3880,3880,2174,Malur Srinivasa Thirumale Iyengar,,,,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,
3881,3881,2186,Man Singh M. Rana,Delhi/India,Science and Engineering,Zakir Husain (politician),,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3882,3882,2187,Manak Jehangir Bhickaji Maneckji,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
3883,3883,2190,Manchar Balvant Diwan,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
3884,3884,2193,Mangal Singh Hazowary,"Assam, India",Literature and Education,Ram Nath Kovind,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3885,3885,2194,Mangala Prasad Mohanty,"Jharkhand, India",Arts,Pratibha Patil,,,,,,,"జార్ఖండ్, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
3886,3886,2201,Mani Narayan,"Maharashtra, India",Arts,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
3887,3887,2206,Manickam Narayanan,"Tamil Nadu, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,,"తమిళనాడు, భారతదేశం",సాహిత్యం మరియు విద్య,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3888,3888,2221,Manohar Devadoss,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3889,3889,2234,Manthiram Natarajan,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
3890,3890,2235,Mantosh Sondhi,"Haryana, India",Civil Service,Zakir Husain (politician),,,,,,,"హర్యానా, భారతదేశం",సివిల్ సర్వీస్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3891,3891,2237,Manu Sharma,"Uttar Pradesh, India",Literature and Education,Pranab Mukherjee,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
3892,3892,2251,Marthhand Ramchandra Jamdar,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,,"గుజరాత్, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
3893,3893,2255,Mary Ratnamma Issac,"Karnataka, India",Social Work,Rajendra Prasad,,,,,,,"కర్ణాటక, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
3894,3894,2256,Mary Theodosia,"Karnataka, India",Literature and Education,V. V. Giri,,,,,,,"కర్ణాటక, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
3895,3895,2258,Maryam Begum,Jammu & Kashmir/India,Civil Service,V. V. Giri,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సివిల్ సర్వీస్,వి. వి. గిరి
3896,3896,2260,Masuma Begum,"Andhra Pradesh, India",Social Work,V. V. Giri,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సామాజిక పని,వి. వి. గిరి
3897,3897,2262,Matha B. Manjamma Jogati,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,,"కర్ణాటక, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3898,3898,2264,Mathew Kandathil Mathulla,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,,"కర్ణాటక, భారత్",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
3899,3899,2267,Mathura Das,"Assam, India",Medicine,Rajendra Prasad,,,,,,,"అసోం, ఇండియా",మెడిసిన్,రాజేంద్ర ప్రసాద్
3900,3900,2268,Mathura Nath Bhattacharyya,"Assam, India",Medicine,R. Venkataraman,,,,,,,"అసోం, ఇండియా",మెడిసిన్,ఆర్. వెంకటరమణ
3901,3901,2276,Meena Shah,"Uttar Pradesh, India",Sports,Fakhruddin Ali Ahmed,,,,,,,"ఉత్తరప్రదేశ్, భారత్",క్రీడలు,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3902,3902,2287,Meher Jehangir Banaji,"Maharashtra, India",Social Work,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,ఎ. పి. జె. అబ్దుల్ కలాం
3903,3903,2289,Mehmood-ur Rehman,Jammu & Kashmir/India,Civil Service,R. Venkataraman,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సివిల్ సర్వీస్,ఆర్. వెంకటరమణ
3904,3904,2293,Melinda Gates,,,,"Texas, United States",Social Work,Pranab Mukherjee,,,,,,
3905,3905,2310,Mira Salganik,Spain,Literature and Education,A. P. J. Abdul Kalam,,,,,,,స్పెయిన్,సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
3906,3906,2311,Mirnamayee Ray,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ప్రజా వ్యవహారాలు,రాజేంద్ర ప్రసాద్
3907,3907,2317,Mitrabhanu Gountia,"Odisha, India",Arts,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3908,3908,2327,Mohammad Khalilullah,,,,Delhi/India,Medicine,R. Venkataraman,,,,,,
3909,3909,2329,Mohammad Shafi,"Uttar Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
3910,3910,2332,Mohammad Swaleh Ansari,"Uttar Pradesh, India",Trade and Industry,R. Venkataraman,,,,,,,"ఉత్తరప్రదేశ్, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ఆర్. వెంకటరమణ
3911,3911,2335,Mohammed Abdul Waheed,"Telangana, India",Medicine,Pranab Mukherjee,,,,,,,"తెలంగాణ, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
3912,3912,2336,Mohammed Din Jagir,Jammu & Kashmir/India,Social Work,Sarvepalli Radhakrishnan,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సామాజిక పని,సర్వేపల్లి రాధాకృష్ణన్
3913,3913,2339,Mohammed Sharif,"Uttar Pradesh, India",Social Work,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
3914,3914,2346,Mohan Lal,"Uttar Pradesh, India",Medicine,Rajendra Prasad,,,,,,,"ఉత్తరప్రదేశ్, భారత్",మెడిసిన్,రాజేంద్ర ప్రసాద్
3915,3915,2348,Mohan Naik,"Odisha, India",Social Work,V. V. Giri,,,,,,,"ఒడిశా, భారత్",సామాజిక పని,వి. వి. గిరి
3916,3916,2350,Mohan Reddy Venkatrama Bodanapu,"Telangana, India",Trade and Industry,Pranab Mukherjee,,,,,,,"తెలంగాణ, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ప్రణబ్ ముఖర్జీ
3917,3917,2351,Mohan Singh,Delhi/India,Public Affairs,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,ప్రజా వ్యవహారాలు,వి. వి. గిరి
3918,3918,2356,Mohan Swaroop Bhatia,"Uttar Pradesh, India",Arts,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3919,3919,2361,Mohd. Abdul Hai,,,,"Bihar, India",Medicine,Sarvepalli Radhakrishnan,,,,,,
3920,3920,2362,Mohd. Fayazuddin Nizami,"Andhra Pradesh, India",Science and Engineering,Fakhruddin Ali Ahmed,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3921,3921,2363,Mohd. Hayath,,,,"Karnataka, India",Civil Service,V. V. Giri,,,,,,
3922,3922,2366,Mohmmed Khalilullah,Delhi/India,Medicine,Zail Singh,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,జైల్ సింగ్
3923,3923,2370,Monindra Nath Chakravarti,,,,"West Bengal, India",Civil Service,V. V. Giri,,,,,,
3924,3924,2372,Mool Chand Maheshwari,Delhi/India,Medicine,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,కె. ఆర్. నారాయణన్
3925,3925,2376,Moreshwar Mangesh Wagle,"Maharashtra, India",Civil Service,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,వి. వి. గిరి
3926,3926,2379,Moti Chandra,,,,"Maharashtra, India",Science and Engineering,V. V. Giri,,,,,,
3927,3927,2382,Moti Lal Saqi,Jammu & Kashmir/India,Literature and Education,R. Venkataraman,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
3928,3928,2390,Mritanjaya Vaidyanathan,"Tamil Nadu, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,,"తమిళనాడు, భారతదేశం",సైన్స్ అండ్ ఇంజినీరింగ్,సర్వేపల్లి రాధాకృష్ణన్
3929,3929,2392,Ms. Bijoya Chakravarty,"Assam, India",Public Affairs,Ram Nath Kovind,,,,,,,"అసోం, ఇండియా",ప్రజా వ్యవహారాలు,రామ్ నాథ్ కోవింద్
3930,3930,2393,Ms. Birubala Rabha,"Assam, India",Social Work,Ram Nath Kovind,,,,,,,"అసోం, ఇండియా",సామాజిక పని,రామ్ నాథ్ కోవింద్
3931,3931,2394,Ms. Chutni Devi,"Jharkhand, India",Social Work,Ram Nath Kovind,,,,,,,"జార్ఖండ్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
3932,3932,2397,Ms. Lajwanti,"Punjab, India",Arts,Ram Nath Kovind,,,,,,,"పంజాబ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3933,3933,2399,Ms. Mridula Sinha,"Bihar, India",Literature and Education,Ram Nath Kovind,,,,,,,"బీహార్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3934,3934,2400,Ms. Niru Kumar,Delhi/India,Social Work,Ram Nath Kovind,,,,,,,ఢిల్లీ/ఇండియా,సామాజిక పని,రామ్ నాథ్ కోవింద్
3935,3935,2402,Ms. Prakash Kaur,"Punjab, India",Social Work,Ram Nath Kovind,,,,,,,"పంజాబ్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
3936,3936,2403,Ms. Purnamasi Jani,"Odisha, India",Arts,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3937,3937,2404,Ms. Radhe Devi,"Manipur, India",Arts,Ram Nath Kovind,,,,,,,"మణిపూర్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3938,3938,2405,Ms. Sangkhumi Bualchhuak,"Mizoram, India",Social Work,Ram Nath Kovind,,,,,,,"మిజోరం, ఇండియా",సామాజిక పని,రామ్ నాథ్ కోవింద్
3939,3939,2406,Ms. Shanti Devi,"Odisha, India",Social Work,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
3940,3940,2407,Ms. Sindhutai Sapkal,"Maharashtra, India",Social Work,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
3941,3941,2408,Ms. Sudha Hari Narayan Singh,"Uttar Pradesh, India",Sports,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",క్రీడలు,రామ్ నాథ్ కోవింద్
3942,3942,2409,Ms. Usha Yadav,"Uttar Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3943,3943,2415,Mukti Prasad Gogoi,"Assam, India",Medicine,Zail Singh,,,,,,,"అసోం, ఇండియా",మెడిసిన్,జైల్ సింగ్
3944,3944,2419,Mukut Dhar Pandeya,"Chhattisgarh, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,,"ఛత్తీస్ గఢ్, భారత్",సాహిత్యం మరియు విద్య,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3945,3945,2420,Mukut Minz,Chandigarh/India,Medicine,Pranab Mukherjee,,,,,,,చండీగఢ్/ఇండియా,మెడిసిన్,ప్రణబ్ ముఖర్జీ
3946,3946,2422,Mulk Raj Chopra,,,,"Uttarakhand, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,
3947,3947,2425,Muni Inder Dev Sharma,Delhi/India,Medicine,Fakhruddin Ali Ahmed,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3948,3948,2427,Munna Master,"Rajasthan, India",Arts,Ram Nath Kovind,,,,,,,"రాజస్థాన్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3949,3949,2433,Mushtaq Ahmed,Delhi/India,Literature and Education,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
3950,3950,2434,Mushtaq Ali,"Madhya Pradesh, India",Sports,Sarvepalli Radhakrishnan,,,,,,,"మధ్యప్రదేశ్, భారత్",క్రీడలు,సర్వేపల్లి రాధాకృష్ణన్
3951,3951,2440,Muthulakshmi Reddi,,,,"Tamil Nadu, India",Medicine,Rajendra Prasad,,,,,,
3952,3952,2444,Mylai Ponnuswamy Sivagnanam,"Tamil Nadu, India",Literature and Education,V. V. Giri,,,,,,,"తమిళనాడు, భారతదేశం",సాహిత్యం మరియు విద్య,వి. వి. గిరి
3953,3953,2448,Mysore Shrikanta Pandit Nilkanta Rao,"Maharashtra, India",Medicine,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,వి. వి. గిరి
3954,3954,2449,N. Balakrishna Reddy,"Andhra Pradesh, India",Social Work,Zakir Husain (politician),,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సామాజిక పని,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3955,3955,2456,N. H. Antia,"Maharashtra, India",Medicine,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,ఆర్. వెంకటరమణ
3956,3956,2469,N. S. Bendre,Maharashtra,Arts,Zakir Husain (politician),Maharashtra,Arts,R. Venkataraman,,,,మహారాష్ట్ర,ఆర్ట్స్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3957,3957,2473,N. S. Venkatesan,Chandigarh/India,Civil Service,Fakhruddin Ali Ahmed,,,,,,,చండీగఢ్/ఇండియా,సివిల్ సర్వీస్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3958,3958,2476,Na. Muthuswamy,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ప్రతిభా పాటిల్
3959,3959,2482,Nagendra,,,,Delhi/India,Literature and Education,Zail Singh,,,,,,
3960,3960,2494,Namagundlu Venkata Krishnamurthy,"Maharashtra, India",Civil Service,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,జైల్ సింగ్
3961,3961,2496,Namdeo C Kamble,"Maharashtra, India",Literature and Education,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3962,3962,2500,Nampally Divakar,"Andhra Pradesh, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
3963,3963,2503,Nanabhai Bhatt,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
3964,3964,2505,Nanadro B Marak,"Meghalaya, India",Agriculture,Ram Nath Kovind,,,,,,,"మేఘాలయ, భారతదేశం",వ్యవసాయం,రామ్ నాథ్ కోవింద్
3965,3965,2508,Nand Kishore Verma,"Haryana, India",Medicine,Zakir Husain (politician),,,,,,,"హర్యానా, భారతదేశం",మెడిసిన్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3966,3966,2509,Nand Kumar Avasthi,"Uttar Pradesh, India",Social Work,Fakhruddin Ali Ahmed,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సామాజిక పని,ఫఖ్రుద్దీన్ అలీ అహ్మద్
3967,3967,2510,Nanda Prusty,"Odisha, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3968,3968,2514,Nandlal Lachmilal Bordia,"Madhya Pradesh, India",Medicine,V. V. Giri,,,,,,,"మధ్యప్రదేశ్, భారత్",మెడిసిన్,వి. వి. గిరి
3969,3969,2515,Nani Chandra Bordoloi,"Assam, India",Medicine,Sarvepalli Radhakrishnan,,,,,,,"అసోం, ఇండియా",మెడిసిన్,సర్వేపల్లి రాధాకృష్ణన్
3970,3970,2518,Narain Singh Thapa,"Maharashtra, India",Arts,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,జైల్ సింగ్
3971,3971,2521,Narayan Chaturvedi,,,,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,,,,
3972,3972,2522,Narayan Das Maharaj,"Rajasthan, India",Others,Ram Nath Kovind,,,,,,,"రాజస్థాన్, భారత్",మరికొందరు,రామ్ నాథ్ కోవింద్
3973,3973,2527,Narayan Singh,"Rajasthan, India",Civil Service,V. V. Giri,,,,,,,"రాజస్థాన్, భారత్",సివిల్ సర్వీస్,వి. వి. గిరి
3974,3974,2528,Narayan Singh Bhati Zipashni,"Andhra Pradesh, India",Civil Service,Pratibha Patil,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సివిల్ సర్వీస్,ప్రతిభా పాటిల్
3975,3975,2532,Narayan Swami Dharmarajan,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,,"తమిళనాడు, భారతదేశం",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
3976,3976,2544,Narendra Nath Bery,,,,"Punjab, India",Medicine,Sarvepalli Radhakrishnan,,,,,,
3977,3977,2546,Narendra Singh,"Haryana, India",Others,Ram Nath Kovind,,,,,,,"హర్యానా, భారతదేశం",మరికొందరు,రామ్ నాథ్ కోవింద్
3978,3978,2547,Narendra Singh Dev,"Madhya Pradesh, India",Social Work,Zakir Husain (politician),,,,,,,"మధ్యప్రదేశ్, భారత్",సామాజిక పని,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3979,3979,2548,Narendra Singh Jain,Delhi/India,Medicine,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,వి. వి. గిరి
3980,3980,2557,Narindar Nath Khanna,"Uttar Pradesh, India",Medicine,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",మెడిసిన్,రామ్ నాథ్ కోవింద్
3981,3981,2559,Narinder Nath Mohan,"Haryana, India",Social Work,Zakir Husain (politician),,,,,,,"హర్యానా, భారతదేశం",సామాజిక పని,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
3982,3982,2565,Narpati Datta,"Maharashtra, India",Civil Service,Neelam Sanjiva Reddy,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,నీలం సంజీవ రెడ్డి
3983,3983,2567,Nartaki Natraj,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
3984,3984,2569,Nashir Framroz Suntook,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,సర్వేపల్లి రాధాకృష్ణన్
3985,3985,2570,Nasir Aminuddin Daggar,,,,"West Bengal, India",Arts,Zail Singh,,,,,,
3986,3986,2575,Natthi Singh,"Uttar Pradesh, India",Science and Engineering,Rajendra Prasad,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,రాజేంద్ర ప్రసాద్
3987,3987,2578,Naushad Ismail Padamsee,"Maharashtra, India",Trade and Industry,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",వాణిజ్యం మరియు పరిశ్రమ,కె. ఆర్. నారాయణన్
3988,3988,2583,Naveen Khanna,Delhi/India,Science and Engineering,Ram Nath Kovind,,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,రామ్ నాథ్ కోవింద్
3989,3989,2585,Nawang Gombu Sherpa,West Bengal,Sports,Sarvepalli Radhakrishnan,West Bengal,Sports,Sarvepalli Radhakrishnan,,,,పశ్చిమ బెంగాల్,క్రీడలు,సర్వేపల్లి రాధాకృష్ణన్
3990,3990,2591,Neelkantha Anneppa Kalyani,"Maharashtra, India",Trade and Industry,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ఆర్. వెంకటరమణ
3991,3991,2595,Nekibuz Zaman,"Assam, India",Medicine,Zail Singh,,,,,,,"అసోం, ఇండియా",మెడిసిన్,జైల్ సింగ్
3992,3992,2597,Nelly Homi Sethna,"Maharashtra, India",Trade and Industry,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",వాణిజ్యం మరియు పరిశ్రమ,జైల్ సింగ్
3993,3993,2600,Nemnath Jain,"Madhya Pradesh, India",Trade and Industry,Ram Nath Kovind,,,,,,,"మధ్యప్రదేశ్, భారత్",వాణిజ్యం మరియు పరిశ్రమ,రామ్ నాథ్ కోవింద్
3994,3994,2601,Nepal Mahato,"West Bengal, India",Arts,Zail Singh,,,,,,,"పశ్చిమ బెంగాల్, భారత్",ఆర్ట్స్,జైల్ సింగ్
3995,3995,2605,Nguyen Tien Thien,,Others,Ram Nath Kovind,,,,,,,,మరికొందరు,రామ్ నాథ్ కోవింద్
3996,3996,2607,Nicholas Kazanas,Greece,Literature and Education,Ram Nath Kovind,,,,,,,గ్రీస్,సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
3997,3997,2620,Nilkanth Yeshwant Khadilkar,"Maharashtra, India",Literature and Education,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
3998,3998,2621,Nilmani Phookan,"Assam, India",Literature and Education,R. Venkataraman,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
3999,3999,2622,Nima Namgyal Lama,"West Bengal, India",Civil Service,R. Venkataraman,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సివిల్ సర్వీస్,ఆర్. వెంకటరమణ
4000,4000,2623,Nimai Charan Harichandan,"Odisha, India",Arts,Fakhruddin Ali Ahmed,,,,,,,"ఒడిశా, భారత్",ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
4001,4001,2624,Niranjan Das Aggarwal,"Punjab, India",Medicine,Neelam Sanjiva Reddy,,,,,,,"పంజాబ్, భారత్",మెడిసిన్,నీలం సంజీవ రెడ్డి
4002,4002,2644,Nivedita Raghunath Bhide,"Tamil Nadu, India",Social Work,Pranab Mukherjee,,,,,,,"తమిళనాడు, భారతదేశం",సామాజిక పని,ప్రణబ్ ముఖర్జీ
4003,4003,2646,Nokdenlemba,"Nagaland, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"నాగాలాండ్, ఇండియా",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
4004,4004,2649,Norden Tshering,"Sikkim, India",Literature and Education,Pratibha Patil,,,,,,,"సిక్కిం, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
4005,4005,2665,Om Agarwal,"West Bengal, India",Sports,Zail Singh,,,,,,,"పశ్చిమ బెంగాల్, భారత్",క్రీడలు,జైల్ సింగ్
4006,4006,2670,Om Prakash Mittal,Delhi/India,Civil Service,Fakhruddin Ali Ahmed,,,,,,,ఢిల్లీ/ఇండియా,సివిల్ సర్వీస్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
4007,4007,2677,Onkar Srinivasa Murthy,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,,"తమిళనాడు, భారతదేశం",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
4008,4008,2680,P Subramanian,"Tamil Nadu, India",Trade and Industry,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",వాణిజ్యం మరియు పరిశ్రమ,రామ్ నాథ్ కోవింద్
4009,4009,2684,P. Ardeshir Narielwala,,,,"Maharashtra, India",Trade and Industry,Fakhruddin Ali Ahmed,,,,,,
4010,4010,2685,P. B. Buckshey,Delhi/India,Medicine,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఆర్. వెంకటరమణ
4011,4011,2687,P. Bhanumathi,Tamil Nadu,Arts,Sarvepalli Radhakrishnan,Tamil Nadu,Arts,K. R. Narayanan,,,,తమిళనాడు,ఆర్ట్స్,సర్వేపల్లి రాధాకృష్ణన్
4012,4012,2702,P. N. Bhaskaran Nair,Delhi/India,Civil Service,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,సివిల్ సర్వీస్,వి. వి. గిరి
4013,4013,2707,P. Narasimhayya,"Karnataka, India",Literature and Education,V. V. Giri,,,,,,,"కర్ణాటక, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
4014,4014,2708,P. O. Dunn,,,,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,
4015,4015,2713,P. R. Shreejesh,"Kerala, India",Sports,Pranab Mukherjee,,,,,,,"కేరళ, భారత్",క్రీడలు,ప్రణబ్ ముఖర్జీ
4016,4016,2715,P. Ramanathan Rajgopal,"Tamil Nadu, India",Civil Service,V. V. Giri,,,,,,,"తమిళనాడు, భారతదేశం",సివిల్ సర్వీస్,వి. వి. గిరి
4017,4017,2717,P. S. Bedi,Delhi/India,Social Work,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,సామాజిక పని,ఎ. పి. జె. అబ్దుల్ కలాం
