,Recipients,philanthropy,philanthropy Telugu
2122,Madhuri Dixit,,
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,,
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,,
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,"She has an abiding interest in ensuring the development of education and healthcare in India and has been instrumental in supporting organizations such as the Sankara Nethralaya (A leading eye care organization), the Cancer Hospital in Chennai, and a number of educational and healthcare facilities in Alwarkurichi, Tirunelveli district in South India. In addition, she has also been a generous patron of arts through her involvement in the promotion and support of one of India's leading musical tradition of Carnatic music through the Indira Sivasailam Foundation.","భారతదేశంలో విద్య, ఆరోగ్య సంరక్షణ అభివృద్ధికి భరోసా ఇవ్వడంలో ఈమెకు ఎనలేని ఆసక్తి ఉంది, శంకర నేత్రాలయ (ఒక ప్రముఖ కంటి సంరక్షణ సంస్థ), చెన్నైలోని క్యాన్సర్ హాస్పిటల్, అనేక విద్యా, ఆరోగ్య సంరక్షణ సౌకర్యాల వంటి సంస్థలకు మద్దతు ఇవ్వడంలో కీలక పాత్ర పోషించారు. ఆళ్వార్కురిచి, దక్షిణ భారతదేశంలోని తిరునెల్వేలి జిల్లా. అదనంగా, ఈమె ఇందిరా శివశైలం ఫౌండేషన్ ద్వారా భారతదేశంలోని ప్రముఖ కర్ణాటక సంగీత సంప్రదాయాలలో ఒకటైన ప్రమోషన్, మద్దతులో ఈమె పాల్గొనడం ద్వారా కళలకు ఉదార ​​పోషకురాలిగా కూడా ఉంది. "
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,,
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,,
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,"Batra's company sponsors the annual Dr Batra's Positive Health Awards to honor people who fight against disease and disability and he donates the proceeds of his annual photography exhibit for charitable causes. Batra has over 160 free clinics across India for homeopathy and provides free treatment to their partnered NGO's - Victoria Memorial School for the Blind, Shepherd Widows Home, Mercy Old Age Home, Sandhya Home for the Aged, Little Sisters of Poor (located in Hyderabad, Bangalore and Chennai), Ek Prayaas and Kartar Aasra Home through its CSR initiative called Dr Batra's Foundation.","వ్యాధి, వైకల్యానికి వ్యతిరేకంగా పోరాడే వ్యక్తులను గౌరవించడం కోసం బాత్రా, కంపెనీ వార్షిక డాక్టర్ బాత్రా, పాజిటివ్ హెల్త్ అవార్డ్స్ను స్పాన్సర్ చేస్తుంది, ఇతను తన వార్షిక ఫోటోగ్రఫీ ఎగ్జిబిట్ ద్వారా వచ్చే ఆదాయాన్ని స్వచ్ఛంద కారణాల కోసం విరాళంగా అందజేస్తుంది. బాత్రా హోమియోపతి కోసం భారతదేశం అంతటా 160కి పైగా ఉచిత క్లినిక్లను కలిగి ఉంది, వారి భాగస్వామ్య NGOలకు ఉచిత చికిత్సను అందిస్తుంది - విక్టోరియా మెమోరియల్ స్కూల్ ఫర్ బ్లైండ్, షెపర్డ్ విడోస్ హోమ్, మెర్సీ ఓల్డ్ ఏజ్ హోమ్, సంధ్యా హోమ్ ఫర్ ది ఏజ్డ్, లిటిల్ సిస్టర్స్ ఆఫ్ పూర్ (హైదరాబాద్లో ఉంది, బెంగళూరు, చెన్నై), ఏక్ ప్రయాస్, కర్తార్ ఆస్రా హోమ్ దాని CSR చొరవ ద్వారా డాక్టర్ బాత్రా ఫౌండేషన్. "
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,"Patekar is known for his simple lifestyle and his generosity in donating to charities. He contributed money towards rebuilding of the flood ravaged villages in Bihar through the charitable organisation Anubhuthi. All the monetary remuneration he obtained for his performance in the movie Paathshaala was donated by him to five different charitable organisations. When he was awarded the Raj Kapoor award which carries a cash prize of Rs 1,000,000, he donated the entire amount towards drought relief activities in Maharashtra. He also provided financial aid to families of farmers who committed suicide due to indebtedness brought about by drought. He distributed cheques worth Rs 15,000 to 62 families of farmers from Vidarbha region in August 2015 and another 113 families from Latur and Osmanabad districts of Marathwada in September 2015.In September 2015, Patekar established the Naam Foundation, with fellow Marathi actor Makarand Anaspure, which works to provide aid to farmers overcome by drought conditions in Maharashtra.Using a Twitter campaign with the hashtag IcareIsupport, Patekar was able to obtain funds to help Maharashtra drought victims.","పటేకర్ తన సాధారణ జీవనశైలికి, స్వచ్ఛంద సంస్థలకు విరాళాలు ఇవ్వడంలో అతని దాతృత్వానికి ప్రసిద్ధి చెందారు. ఇతను అనుభవి అనే స్వచ్ఛంద సంస్థ ద్వారా బీహార్లో వరదలకు గురైన గ్రామాల పునర్నిర్మాణానికి డబ్బును అందించాడు. పాఠశాల సినిమాలో తన నటనకు ఇతను పొందిన మొత్తం డబ్బును ఇతను ఐదు వేర్వేరు స్వచ్ఛంద సంస్థలకు విరాళంగా ఇచ్చాడు. అతనికి రూ. 1, 000, 000 నగదు బహుమతితో కూడిన రాజ్ కపూర్ అవార్డు లభించినప్పుడు, ఇతను మొత్తం మొత్తాన్ని మహారాష్ట్రలో కరువు సహాయక చర్యల కోసం విరాళంగా ఇచ్చాడు. కరువుతో అప్పులపాలై ఆత్మహత్యలు చేసుకున్న రైతు కుటుంబాలకు ఆర్థిక సాయం అందించారు. విదర్భ ప్రాంతానికి చెందిన 62 కుటుంబాలకు ఆగస్టు 2015లో, మరఠ్వాడాలోని లాతూర్, ఉస్మానాబాద్ జిల్లాలకు చెందిన మరో 113 కుటుంబాలకు సెప్టెంబర్ 2015లో రూ. 15, 000 చెక్కులను పంపిణీ చేశారు. సెప్టెంబరు 2015లో, పటేకర్ నామ్ ఫౌండేషన్ను స్థాపించారు, ఇది మహారాష్ట్రలోని కరువు పరిస్థితులను అధిగమించడానికి రైతులకు సహాయం చేయడానికి పని చేసే మరాఠీ నటుడు మకరంద్ అనస్పురేతో కలిసి. IcareIsupport అనే హ్యాష్ట్యాగ్తో ట్విట్టర్ ప్రచారాన్ని ఉపయోగించి, పటేకర్ మహారాష్ట్ర కరువు బాధితులకు సహాయం చేయడానికి నిధులు పొందగలిగారు. "
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,,
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,,
2791,Parixitalal Lallu Bhai Majumdar,,
