,Recipients,biography,biography Telugu
4063,Tekur Kashi Nath,,
4064,Telo Mascarenhas,"In 1920 he travelled to Portugal to study, graduating in law from the University of Coimbra in 1930 (where he was taught by Salazar amongst others). During this period he founded Lisbon's Centro Nacionalista Hindu (in 1926) and the periodical Índia Nova (alongside Adeodato Barreto and other émigré Goan intellectuals). Through the 1930s and 1940s, Mascerenhas worked in the Portuguese judicial system, first in the Algarve and then in the Alentejo.After India's independence from Britain in 1948, Mascerenhas returned to the Subcontinent and actively participated in Goa Liberation Movement. Although he spent some time in Goa, he was forced into exile and spent the years 1950-58 in Bombay. During his years of exile in Bombay, he published clandestinely Ressurge Goa, a political newspaper from 1950 to 1959. Returning to Goa in 1959, he was arrested, and the Portuguese rulers deported him to Portugal where he was jailed, first in Aljube prison and then in Caxias. Some years after the liberation of Goa he was released by the Government of Portugal in 1970 in exchange for the release of the Goan Padre Francisco 'Chico' Monteiro, who had been placed under house arrest by the Indian authorities for refusing to give up his Portuguese nationality.On his return to Goa from Portugal in 1970, he founded the Círculo de Amizade Indo-Portuguesa (the Indo-Portuguese Friendship Society) and restarted Ressurge Goa as a cultural and political paper.","1920లో ఇతను చదువుకోవడానికి పోర్చుగల్కు వెళ్లాడు, 1930లో కొయింబ్రా విశ్వవిద్యాలయం నుండి న్యాయశాస్త్రంలో పట్టభద్రుడయ్యాడు. ఈ కాలంలో ఇతను లిస్బన్, సెంట్రో నేషనలిస్టా హిందూ (1926లో), పీరియాడికల్ ఆండియా నోవా (అడియోడాటో బారెటో, ఇతర వలస వచ్చిన గోవా మేధావులతో కలిసి) స్థాపించాడు. 1930లు, 1940లలో, మస్సెరెన్హాస్ పోర్చుగీస్ న్యాయవ్యవస్థలో మొదట అల్గార్వేలో, తరువాత అలెంటెజోలో పనిచేశాడు. 1948లో బ్రిటన్ నుండి భారతదేశం స్వాతంత్ర్యం పొందిన తరువాత, మస్సెరెన్హాస్ ఉపఖండానికి తిరిగి వచ్చి గోవా విముక్తి ఉద్యమంలో చురుకుగా పాల్గొన్నాడు. ఇతను గోవాలో కొంతకాలం గడిపినప్పటికీ, ఇతను బహిష్కరణకు గురయ్యాడు, 1950-58 సంవత్సరాలలో బొంబాయిలో గడిపాడు. బొంబాయిలో ప్రవాసంలో ఉన్న సంవత్సరాలలో, ఇతను 1950 నుండి 1959 వరకు రహస్యంగా రెసర్జ్ గోవా అనే రాజకీయ వార్తాపత్రికను ప్రచురించాడు. 1959లో గోవాకు తిరిగి వచ్చిన ఇతను అరెస్టు చేయబడ్డాడు, పోర్చుగీస్ పాలకులు అతన్ని పోర్చుగల్కు బహిష్కరించారు, అక్కడ ఇతను మొదట అల్జుబే జైలులో, తరువాత కాక్సియాస్లో జైలు పాలయ్యాడు. గోవా విముక్తి పొందిన కొన్ని సంవత్సరాల తరువాత, ఇతను తన పోర్చుగీస్ను విడిచిపెట్టడానికి నిరాకరించినందుకు భారత అధికారులచే గృహనిర్బంధంలో ఉంచబడిన గోవా పాడ్రే ఫ్రాన్సిస్కో 'చికో' మోంటెరో విడుదలకు బదులుగా 1970లో పోర్చుగల్ ప్రభుత్వంచే విడుదల చేయబడ్డాడు. జాతీయత. 1970లో పోర్చుగల్ నుండి గోవాకు తిరిగి వచ్చిన తర్వాత, ఇతను Círculo de Amizade Indo-Portuguesa (ఇండో-పోర్చుగీస్ ఫ్రెండ్షిప్ సొసైటీ)ని స్థాపించాడు, Ressurge Goaని సాంస్కృతిక, రాజకీయ పత్రంగా పునఃప్రారంభించాడు. "
4065,Temsula Ao,,
4066,Tenzing Norgay,,
4067,Tetsu Nakamura,,
4068,Thackkadu Natesasastrigal Jagadisan,,
4069,Thakazhi Sivasankara Pillai,"Thakazhi Sivasankara Pillai was born on April 17, 1912 in Thakazhy, a small village in Kuttanad in present-day Alappuzha district of Kerala to Poypallikalathil Sankara Kurup, who was the brother of Guru Kunchu Kurup, a doyen of Kathakali and Aripurathuveettil Parvathy Amma. After early tutoring by his father and Chakkampurathu Kittu Asan, a local teacher, Pillai had his primary education at a local school in Thakazhi and passed 7th standard examination from the English School in Ambalappuzha. Subsequently, he did his high school education, first at a high school in Vaikom and later at a school in Karuvatta, where he had the opportunity to study under Kainikkara Kumara Pillai, who was the headmaster of the school during that period. After passing 10th standard, he moved to Trivandrum and passed the pleader examination from the Government Law College, Thiruvananthapuram. He started his career as a reporter at Kerala Kesari daily but moved to legal career by practising under a lawyer named P. Parameshwaran Pillai at the munsif court of Ambalappuzha. It was during this time, he was attracted by the communist movement and he participated in the functioning of the Sahitya Pravarthaka Sahakarana Sangham (Writers' Cooperative Society). He presided Kerala Sahitya Akademi and was also associated with Sahitya Akademi as a member of its general council.Pillai married Thekkemuri Chembakasseril Chirakkal Kamalakshy Ammai, affectionately called by him as Katha, in 1934 and the couple had one son and four daughters. He died on April 10, 1999, at the age of 86 (A week before his 87th birthday), survived by his wife, who died on June 1, 2011, and their five children","తకళి శివశంకర పిళ్లై ఏప్రిల్ 17, 1912న ప్రస్తుత కేరళలోని అలప్పుజా జిల్లాలోని కుట్టనాడ్లోని తకజీ అనే చిన్న గ్రామంలో కథాకళి, డాయెన్ గురు కుంచు కురుప్, అరిపురతువీట్టిల్ పార్వతి అమ్మవారికి సోదరుడైన పోయ్పల్లికలతిల్ శంకర కురుప్కు జన్మించారు. అతని తండ్రి, స్థానిక ఉపాధ్యాయుడు చక్కంపురతు కిట్టు అసన్ ద్వారా ప్రారంభ శిక్షణ తర్వాత, పిళ్లై తన ప్రాథమిక విద్యను తకళిలోని స్థానిక పాఠశాలలో అభ్యసించారు, అంబలప్పుజాలోని ఆంగ్ల పాఠశాల నుండి 7వ తరగతి పరీక్షలో ఉత్తీర్ణులయ్యారు. తదనంతరం, ఇతను తన హైస్కూల్ విద్యను మొదట వైకోమ్లోని ఉన్నత పాఠశాలలో, తరువాత కరువట్టలోని పాఠశాలలో చేసాడు, అక్కడ ఆ కాలంలో పాఠశాల ప్రధానోపాధ్యాయుడు కైనిక్కర కుమార పిళ్లై వద్ద చదువుకునే అవకాశం లభించింది. 10వ తరగతి ఉత్తీర్ణత సాధించిన తరువాత, ఇతను త్రివేండ్రం వెళ్లి, తిరువనంతపురంలోని ప్రభుత్వ న్యాయ కళాశాల నుండి ప్లీడర్ పరీక్షలో ఉత్తీర్ణత సాధించాడు. ఇతను కేరళ కేసరి దినపత్రికలో రిపోర్టర్గా తన వృత్తిని ప్రారంభించాడు, అయితే పి అనే న్యాయవాది వద్ద ప్రాక్టీస్ చేయడం ద్వారా న్యాయవాద వృత్తికి మారాడు. అంబలప్పుజ మున్సిఫ్ కోర్టులో పరమేశ్వరన్ పిళ్లై. ఈ సమయంలోనే కమ్యూనిస్టు ఉద్యమం పట్ల ఆకర్షితుడై సాహిత్య ప్రవర్తక సహకార సంఘం (రైటర్స్ కోఆపరేటివ్ సొసైటీ)లో పాల్గొన్నాడు. ఇతను కేరళ సాహిత్య అకాడమీకి అధ్యక్షత వహించాడు, సాహిత్య అకాడమీకి దాని జనరల్ కౌన్సిల్ సభ్యునిగా కూడా సంబంధం కలిగి ఉన్నాడు. పిళ్ళై 1934లో తెక్కెమూరి చెంబకస్సేరిల్ చిరక్కల్ కమలాక్షి అమ్మాయ్ని వివాహం చేసుకున్నారు, ఈ దంపతులకు ఒక కుమారుడు, నలుగురు కుమార్తెలు ఉన్నారు. ఇతను ఏప్రిల్ 10, 1999న 86 సంవత్సరాల వయస్సులో మరణించాడు (అతని 87వ పుట్టినరోజుకు ఒక వారం ముందు), జూన్ 1, 2011న మరణించిన అతని భార్య, వారి ఐదుగురు పిల్లలు ఉన్నారు. "
4070,Thakur Jaideva Singh,,
4071,Thalappil Pradeep,,
4072,Thanga Darlong,,
4073,Thangam Philip,"Thangam Philip was born on 12 May 1921 at Kozhikode in the south Indian state of Kerala in a central Travancore family by name, Thevarthundiyil, to T. P. Philip and Elizabeth Philip. After graduating from the Women's Christian College, Chennai, she secured a post graduate diploma from the Lady Irwin College, Delhi and secured a master's degree (MS) from USA. She started her career by joining the faculty of home science  at St Thomas School, Kolkata where she worked for a short time before moving to Sri Lanka in 1949 to work at Southland Methodist College to establish a Home Economic department at the college.Philip returned to India in 1950 and accepted the invitation of the Ministry of Agriculture to manage one of the cafeterias under the brand name, Annapurna, where subsidized food was served to the middle class. Five years later, she shifted to Mumbai and joined the Institute of Hotel Management, Catering Technology and Applied Nutrition (IHM) when the college was established in 1955. She also did radio and television programmes and visited US where her programmes were telecast. In 1961, after her return from US, she was appointed as the principal of IHM. She also started writing articles in the periodicals and opened a cookery programme at the All India Radio","తంగం ఫిలిప్ 12 మే 1921న దక్షిణ భారతదేశంలోని కేరళ రాష్ట్రంలోని కోజికోడ్లో తేవర్తుండియిల్ అనే పేరుగల మధ్య ట్రావెన్కోర్ కుటుంబంలో జన్మించాడు. పి. ఫిలిప్, ఎలిజబెత్ ఫిలిప్. చెన్నైలోని ఉమెన్స్ క్రిస్టియన్ కాలేజీ నుండి పట్టభద్రుడయ్యాక, ఈమె ఢిల్లీలోని లేడీ ఇర్విన్ కాలేజీ నుండి పోస్ట్ గ్రాడ్యుయేట్ డిప్లొమా పొందింది, USA నుండి మాస్టర్స్ డిగ్రీ (MS) పొందింది. కోల్కతాలోని సెయింట్ థామస్ స్కూల్లో హోమ్ సైన్స్ ఫ్యాకల్టీలో చేరడం ద్వారా ఈమె తన వృత్తిని ప్రారంభించింది, అక్కడ ఈమె కొద్దికాలం పాటు శ్రీలంకకు వెళ్లడానికి ముందు 1949లో సౌత్ల్యాండ్ మెథడిస్ట్ కాలేజీలో హోమ్ ఎకనామిక్ డిపార్ట్మెంట్ను స్థాపించడానికి పని చేసింది. ఫిలిప్ 1950లో భారతదేశానికి తిరిగి వచ్చాడు, అన్నపూర్ణ అనే బ్రాండ్ పేరుతో ఫలహారశాలలలో ఒకదానిని నిర్వహించడానికి వ్యవసాయ మంత్రిత్వ శాఖ, ఆహ్వానాన్ని అంగీకరించాడు, ఇక్కడ మధ్యతరగతి వారికి సబ్సిడీ ఆహారం అందించబడింది. ఐదు సంవత్సరాల తరువాత, ఈమె ముంబైకి మారారు, 1955లో కళాశాల స్థాపించబడినప్పుడు ఇన్స్టిట్యూట్ ఆఫ్ హోటల్ మేనేజ్మెంట్, క్యాటరింగ్ టెక్నాలజీ, అప్లైడ్ న్యూట్రిషన్ (IHM)లో చేరారు. ఈమె రేడియో, టెలివిజన్ కార్యక్రమాలను కూడా చేసింది, ఈమె కార్యక్రమాలు ప్రసారం చేయబడిన USను సందర్శించింది. 1961లో, ఈమె US నుండి తిరిగి వచ్చిన తర్వాత, ఈమె IHM ప్రిన్సిపాల్గా నియమితులయ్యారు. ఈమె పత్రికలలో వ్యాసాలు రాయడం ప్రారంభించింది, ఆల్ ఇండియా రేడియోలో వంట కార్యక్రమాన్ని ప్రారంభించింది. "
4074,Thanikachalam Sadagopan,,
4075,Thant Myint-U,,
4076,Thanu Padmanabhan,,
4077,Thapfoorya Haralu,,
4078,Thayil John Cherian,,
4079,Theilin Phanbuh,,
4080,Thekkethil Kochandy Alex,,
4081,Thenumgal Poulose Jacob,,
4082,Thiagarajan Muthian,,
4083,Thikkurissy Sukumaran Nair,,
4084,Thilakan,,
4085,Thingbaijam Babu Singh,,
4086,Thirumalachari Ramasami,,
4087,Thirumalraya Swaminathan,,
4088,Thiruvengadam Lakshman Sankar,,
4089,Thiruvizhimazhalai Subramania Pillai,,
4090,Thomas Kailath,"Kailath was born in 1935 in Pune, Maharashtra, India, to a Malayalam-speaking Syrian Christian family named Chittoor. His parents hailed from Kerala. He studied at St. Vincent's High School, Pune and received his engineering Bachelor's degree from the Government College of Engineering, the University of Pune in 1956. He received his Master's degree  in 1959 and his doctorate degree in 1961, both from the Massachusetts Institute of Technology (MIT). He was the first Indian-born student to receive a doctorate in electrical engineering from MIT.Kailath is Hitachi America Professor of Engineering, Emeritus, at Stanford University. Here he has supervised about 80 Ph.D. theses","కైలాత్ 1935లో భారతదేశంలోని మహారాష్ట్రలోని పూణేలో మలయాళం మాట్లాడే చిత్తూరు అనే సిరియన్ క్రైస్తవ కుటుంబంలో జన్మించారు. అతని తల్లిదండ్రులు కేరళకు చెందినవారు. ఇతను సెయింట్లో చదువుకున్నాడు. విన్సెంట్స్ హై స్కూల్, పూణే, 1956లో పూణే విశ్వవిద్యాలయంలోని ప్రభుత్వ ఇంజనీరింగ్ కళాశాల నుండి ఇంజనీరింగ్ బ్యాచిలర్ డిగ్రీని పొందాడు. ఇతను 1959లో మాస్టర్స్ డిగ్రీని, 1961లో డాక్టరేట్ డిగ్రీని మసాచుసెట్స్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ (MIT) నుండి అందుకున్నాడు. ఇతను MIT నుండి ఎలక్ట్రికల్ ఇంజనీరింగ్లో డాక్టరేట్ పొందిన మొదటి భారతీయ సంతతి విద్యార్థి. కైలాత్ స్టాన్ఫోర్డ్ విశ్వవిద్యాలయంలో హిటాచీ అమెరికా ఇంజినీరింగ్ ప్రొఫెసర్, ఎమెరిటస్. ఇక్కడ ఇతను 80 పిహెచ్డిని పర్యవేక్షించాడు. డి. సిద్ధాంతాలు. "
4091,Thomas Kunnunkal,"Thomas Kunnunkal was born on 3 July 1926 in Alappuzha, a coastal town in the south Indian state of Kerala, and completed his school education at a local boarding school. He completed his college education in India and later, in the US, majoring in English, Philosophy, Theology, Educational Administration and Educational Measurement, after which he joined the Society of Jesus on 20 June 1945. He started his career as the principal of St. Xavier's Senior Secondary School, New Delhi, and held the post for two terms (1962-1974 and 1977-1979). He headed the Central Board of Secondary Education of the Government of India from 1980 to 1987 and was the consultant to the Ministry of Human Resource Development for the turn-key project to establish the National Open School, New Delhi. When the institution was opened in 1989, Kunnunkal was appointed the chairman of the institution, a position he served in until 1992. He was associated with the Jesuit Education Association of India which controls 101 high schools and 25 colleges in India managed by the Society of Jesus, and was its president and the general secretary on different tenures.Kunnunkal has served two central government commissions, National Commission for Teachers (1983) and National Commission for Review of National Education Policy (1987) as a member. He held the post of research director of the Indian Social Institute from 2008 to 2009 and was a founding member and former director of the Educational Planning Group (EPG) of the Roman Catholic Archdiocese of Delhi. He has also been associated with the Islamic Studies Association as its president and with Dharma Bharati Mission as an associate","థామస్ కున్నుంకల్ 3 జూలై 1926న దక్షిణ భారతదేశంలోని కేరళ రాష్ట్రంలోని తీరప్రాంత పట్టణమైన అలప్పుజాలో జన్మించాడు, స్థానిక బోర్డింగ్ పాఠశాలలో తన పాఠశాల విద్యను పూర్తి చేశాడు. ఇతను తన కళాశాల విద్యను భారతదేశంలో, తరువాత USలో పూర్తి చేసాడు, ఇంగ్లీష్, ఫిలాసఫీ, థియాలజీ, ఎడ్యుకేషనల్ అడ్మినిస్ట్రేషన్, ఎడ్యుకేషనల్ మెజర్మెంట్లో మేజర్, ఆ తర్వాత ఇతను 20 జూన్ 1945న సొసైటీ ఆఫ్ జీసస్లో చేరాడు. ఇతను సెయింట్ ప్రిన్సిపాల్గా తన వృత్తిని ప్రారంభించాడు. జేవియర్స్ సీనియర్ సెకండరీ స్కూల్, న్యూ ఢిల్లీ,, రెండు పర్యాయాలు (1962-1974, 1977-1979) పదవిలో ఉన్నారు. ఇతను 1980 నుండి 1987 వరకు భారత ప్రభుత్వం, సెంట్రల్ బోర్డ్ ఆఫ్ సెకండరీ ఎడ్యుకేషన్కు నాయకత్వం వహించాడు, నేషనల్ ఓపెన్ స్కూల్, న్యూ ఢిల్లీని స్థాపించే టర్న్-కీ ప్రాజెక్ట్ కోసం మానవ వనరుల అభివృద్ధి మంత్రిత్వ శాఖకు సలహాదారుగా ఉన్నారు. 1989లో ఈ సంస్థ ప్రారంభించబడినప్పుడు, కున్నుంకల్ సంస్థకు చైర్మన్గా నియమితులయ్యారు, ఈ పదవిలో ఆయన 1992 వరకు పనిచేశారు. ఇతను సొసైటీ ఆఫ్ జీసస్ ద్వారా నిర్వహించబడుతున్న భారతదేశంలోని 101 ఉన్నత పాఠశాలలు, 25 కళాశాలలను నియంత్రించే జెస్యూట్ ఎడ్యుకేషన్ అసోసియేషన్ ఆఫ్ ఇండియాతో అనుబంధం కలిగి ఉన్నాడు, వివిధ పదవీకాలాల్లో దాని అధ్యక్షుడు, ప్రధాన కార్యదర్శిగా ఉన్నారు. కున్నుంకల్ రెండు కేంద్ర ప్రభుత్వ కమీషన్లలో సభ్యునిగా పనిచేశారు, జాతీయ ఉపాధ్యాయుల కమిషన్ (1983), నేషనల్ కమీషన్ ఫర్ రివ్యూ ఆఫ్ నేషనల్ ఎడ్యుకేషన్ పాలసీ (1987). ఇతను 2008 నుండి 2009 వరకు ఇండియన్ సోషల్ ఇన్స్టిట్యూట్లో రీసెర్చ్ డైరెక్టర్గా పనిచేశాడు, ఢిల్లీలోని రోమన్ కాథలిక్ ఆర్చ్డియోసెస్, ఎడ్యుకేషనల్ ప్లానింగ్ గ్రూప్ (EPG) వ్యవస్థాపక సభ్యుడు, మాజీ డైరెక్టర్. ఇతను ఇస్లామిక్ స్టడీస్ అసోసియేషన్తో దాని అధ్యక్షుడిగా, ధర్మ భారతి మిషన్తో అసోసియేట్గా కూడా సంబంధం కలిగి ఉన్నాడు. "
4092,Thoppil Varghese Antony,,
4093,Thota Tharani,,
4094,Thrity H. Taleyarkhan,,
4095,Tilak Gitai,,
4096,Tiruppattur R. Venkatachala Murthi,,
4097,Tiruvadi Sambasiva Venkataraman,,
4098,Tiruvadi Venkataraman Ramamurti,,
4099,Tokheho Sema,,
4100,Tom Alter,,
4101,Tomio Mizokami,,
4102,Tommy Koh,,
4103,Tony Fernandez,,
4104,Toppur Seethapathy Sadasivan,"Toppur Sadasivan was born on 22 May 1913, at Saidapet, a satellite town in Madras, Madras Presidency, to Kanakammal and her physician husband, Seethapathy, who was the first Indian director of the King Institute of Preventive Medicine and Research. His schooling was at P. S. Senior Secondary School after which he graduated in Botany from the Presidency College, Chennai in 1934. Moving to Lucknow, he secured his master's degree from Lucknow University, studying under the tutelage of Birbal Sahni, a known paleobotanist, and started his doctoral research under S. N. Das Gupta. However, he continued his research at the University of London under the guidance of F. C. Bauwden and S","కింగ్ ఇన్స్టిట్యూట్ ఆఫ్ ప్రివెంటివ్ మెడిసిన్ అండ్ రీసెర్చ్కి మొదటి భారతీయ డైరెక్టర్గా పనిచేసిన కనకమ్మాళ్, ఈమె ఫిజిషియన్ భర్త సీతాపతి దంపతులకు మద్రాసు ప్రెసిడెన్సీలోని సైదాపేట అనే ఉపగ్రహ పట్టణంలో తోప్పూర్ సదాశివన్ 1913 మే 22న జన్మించారు. అతని పాఠశాల విద్య పి. ఎస్. సీనియర్ సెకండరీ స్కూల్ తరువాత ఇతను 1934లో చెన్నైలోని ప్రెసిడెన్సీ కాలేజీ నుండి బోటనీలో పట్టభద్రుడయ్యాడు. లక్నోకు వెళ్లి, ఇతను లక్నో విశ్వవిద్యాలయం నుండి మాస్టర్స్ డిగ్రీని పొందాడు, ప్రసిద్ధ పాలియోబోటానిస్ట్ అయిన బీర్బల్ సాహ్ని ఆధ్వర్యంలో చదువుకున్నాడు, S క్రింద తన డాక్టరల్ పరిశోధనను ప్రారంభించాడు. ఎన్. దాస్ గుప్తా. అయినప్పటికీ, ఇతను ఎఫ్ మార్గదర్శకత్వంలో లండన్ విశ్వవిద్యాలయంలో తన పరిశోధనను కొనసాగించాడు. సి. బౌడెన్, ఎస్. "
4105,Tribhuvandas Kishibhai Patel,,
4106,Tribhuvandas Luhar (Sundaram),,
4107,Trichur V. Ramachandran,,
4108,Tridib Nath Banerjee,,
4109,Triguna Sen,,
4110,Trilochan Pradhan,,
4111,Triloki Nath Chaturvedi,,
4112,Triloki Nath Khoshoo,,
4113,Trilokinath Sharma,,
4114,Trinity Saioo,,
4115,Tripti Mitra,,
4116,Tripti Mukherjee,,
4117,Tripuraneni Hanuman Chowdary,,
4118,Trivandrum Kannusami Pillai Shanmugam,,
4119,Tsering Landol,,
4120,Tsering Norboo,,
4121,Tsering Wangdus,,
4122,Tsultrim Chonjor,,
4123,Tulasi Gowda,,
4124,Tulasi Munda,,
4125,Tulsi Das,,
4126,Tulsidas Borkar,,
4127,Tumkur Ramaiya Satishchandran,,
4128,Turlapaty Kutumba Rao,"Kutumba Rao was born in 1933 at Vijayawada in the South Indian state of Andhra Pradesh. He was a secretary to T. Prakasham, former Chief Minister of the state and was known to have mooted the idea of demarcating states on the basis of language in 1947, when India became independent. He was also a chairman of the Andhra Pradesh Grandhayala Parishad, a policy making body of the Government of Andhra Pradesh. The journey of his life is recorded in his autobiography, Naa Kalam - Naa Galam, released in 2012.He was a recipient of the Pratibha Puraskar from the Telugu University, Kalaprapoorna title from Andhra University and the title of Guardian of Telugu from C. Rajagopalachari, then Governor of Andhra Pradesh. Rao received the President's Gold Medal. He was honored by the Government of India, in 2002, with the fourth highest Indian civilian award of Padma Shri making him the first journalist from the state of Andhra Pradesh to receive the award. He was also a nominee for Padma Bhushan for the year 2014","కుటుంబరావు 1933లో దక్షిణ భారతదేశంలోని ఆంధ్రప్రదేశ్ రాష్ట్రంలోని విజయవాడలో జన్మించారు. ఆయన కార్యదర్శిగా టి. ప్రకాశం, రాష్ట్ర మాజీ ముఖ్యమంత్రి, భారతదేశానికి స్వాతంత్ర్యం వచ్చిన 1947లో భాషా ప్రాతిపదికన రాష్ట్రాల విభజన ఆలోచనను ప్రతిపాదించారు. ఇతను ఆంధ్రప్రదేశ్ ప్రభుత్వ విధాన నిర్ణేత సంస్థ అయిన ఆంధ్ర ప్రదేశ్ గ్రంథాయల పరిషత్కు కూడా ఛైర్మన్గా ఉన్నారు. అతని జీవిత ప్రయాణం 2012లో విడుదలైన అతని ఆత్మకథ నా కలం - నా గళంలో నమోదు చేయబడింది. ఇతను తెలుగు విశ్వవిద్యాలయం నుండి ప్రతిభా పురస్కార గ్రహీత, ఆంధ్ర విశ్వవిద్యాలయం నుండి కళాప్రపూర్ణ బిరుదు, సి నుండి తెలుగు సంరక్షకుడు బిరుదును అందుకున్నాడు. రాజగోపాలాచారి, అప్పటి ఆంధ్ర ప్రదేశ్ గవర్నర్. రావు రాష్ట్రపతి బంగారు పతకాన్ని అందుకున్నారు. 2002లో భారత ప్రభుత్వం ఆయనను నాల్గవ అత్యున్నత భారతీయ పౌర పురస్కారమైన పద్మశ్రీతో సత్కరించింది, ఈ అవార్డును అందుకున్న ఆంధ్రప్రదేశ్ రాష్ట్రానికి చెందిన మొదటి జర్నలిస్టుగా గుర్తింపు పొందాడు. ఇతను 2014 సంవత్సరానికి పద్మభూషణ్కు నామినీ కూడా అయ్యాడు. "
4129,Tushar Kanjilal,,
4130,Tushar Kanti Ghosh,,
4131,Tyeb Mehta,,
4132,U. N. Dhebar,,
4133,U. R. Ananthamurthy,,
4134,U. Srinivas,,
4135,Uday Shankar,,
4136,Udaybhansinhji Natwarsinhji Jethwa,,
4137,Uddhab Bharali,,
4138,Udit Narayan,,
4139,Udupi Ramachandra Rao,,
4140,Ujjwal Nikam,,
4141,Ujwala Patil,,
4142,Ulhas Kashalkar,,
4143,Uma Shankar Dikshit,,
4144,Uma Sharma,,
4145,Uma Tuli,"Uma Tuli was born on 3 March 1943 in New Delhi. She secured a master's degree from Jiwaji University, Gwalior and followed it with another master's degree in Special Education (MEd) from the University of Manchester. Later, she obtained a doctoral degree from the University of Delhi in English Literature. She has had a career teaching at various colleges in Delhi and Gwalior for over 30 years.Tuli founded Amar Jyoti Charitable Trust, with the savings she accumulated from her salary as a teacher, in 1981. The institution, over the years, has grown in stature to become a single window provider of inclusive education, healthcare, vocational training, employment, sports and cultural facilities for physically disabled people. The institution has networked with Delhi University for courses in Physiotherapy, with Roehampton University for teachers' training in special education and also with Manipal University, Madhya Pradesh Bhoj Open University and Indira Gandhi National Open University. It also has a branch in Gwalior.Uma Tuli is known to be the first non-bureaucrat to be appointed as the Chief Commissioner for Persons with Disability, a position she held from 2001 till 2005. During her tenure, she is known to have initiated efforts to set up mobile courts, hassle free distribution of disability certificates for concessional travel in bus and train and rid the public places of barriers so that persons with disability have easy access","ఉమా తులి 1943 మార్చి 3న న్యూఢిల్లీలో జన్మించారు. ఈమె జివాజీ విశ్వవిద్యాలయం, గ్వాలియర్ నుండి మాస్టర్స్ డిగ్రీని పొందారు, దానిని అనుసరించి మాంచెస్టర్ విశ్వవిద్యాలయం నుండి స్పెషల్ ఎడ్యుకేషన్ (MEd)లో మరొక మాస్టర్స్ డిగ్రీని పొందారు. తరువాత, ఈమె ఢిల్లీ విశ్వవిద్యాలయం నుండి ఆంగ్ల సాహిత్యంలో డాక్టరల్ పట్టా పొందారు. ఈమె ఢిల్లీ, గ్వాలియర్లోని వివిధ కళాశాలల్లో 30 సంవత్సరాలకు పైగా ఉపాధ్యాయ వృత్తిని కలిగి ఉంది. తులి 1981లో ఉపాధ్యాయురాలిగా తన జీతం నుండి సేకరించిన పొదుపుతో అమర్ జ్యోతి ఛారిటబుల్ ట్రస్ట్ను స్థాపించారు. ఇన్స్టిట్యూషన్, సంవత్సరాలుగా, శారీరకంగా వికలాంగులకు విద్య, ఆరోగ్య సంరక్షణ, వృత్తి శిక్షణ, ఉపాధి, క్రీడలు, సాంస్కృతిక సౌకర్యాల, సింగిల్ విండో ప్రొవైడర్గా ఎదిగింది. ఈ సంస్థ ఫిజియోథెరపీలో కోర్సుల కోసం ఢిల్లీ విశ్వవిద్యాలయంతో, ప్రత్యేక విద్యలో ఉపాధ్యాయుల శిక్షణ కోసం రోహాంప్టన్ విశ్వవిద్యాలయంతో, మణిపాల్ విశ్వవిద్యాలయం, మధ్యప్రదేశ్ భోజ్ ఓపెన్ యూనివర్సిటీ, ఇందిరా గాంధీ నేషనల్ ఓపెన్ యూనివర్శిటీతో నెట్వర్క్ను కలిగి ఉంది. దీనికి గ్వాలియర్లో కూడా శాఖ ఉంది. 2001 నుండి 2005 వరకు వికలాంగుల కోసం ప్రధాన కమిషనర్గా నియమితులైన మొదటి నాన్-బ్యూరోక్రాట్గా ఉమా తులి గుర్తింపు పొందారు. ఈమె పదవీ కాలంలో, మొబైల్ కోర్టులను ఏర్పాటు చేయడం, బస్సు, రైలులో రాయితీపై ప్రయాణించడానికి వికలాంగ ధృవీకరణ పత్రాలను ఇబ్బంది లేకుండా పంపిణీ చేయడం, వికలాంగులకు సులువుగా అందుబాటులో ఉండేలా బహిరంగ ప్రదేశాలను అడ్డంకులు తొలగించడం వంటి ప్రయత్నాలు చేసింది. "
4146,Umakant Gundecha,,
4147,Umayalpuram K. Sivaraman,,
4148,Umrao Singh,,
4149,Upendra Baxi,,
4150,Upendra Kaul,,
4151,Upendra Maharathi,,
4152,Upendra Trivedi,,
4153,Urvashi Butalia,,
4154,Usha Chaumar,,
4155,Usha Kehar Luthra,,
4156,Usha Kiran Khan,,
4157,Usha Mehta,,
4158,Usha Sharma,,
4159,Usha Uthup,,
4160,Ustad Anwar Khan Mangniyar,,
4161,Ustad Faiyyaz Ahmed Khan,,
4162,Ustad Ghulam Mustafa Khan,,
4163,Utpal K. Banerjee,,
4164,Utsav Charan Das,,
4165,V. Adimurthy,,
4166,V. C. Kulandaiswamy,,
