,Recipients,early life and career,early life and career Telugu
3435,Sanjida Khatun,,
3436,Sanjukta Panigrahi,,
3437,Sankar Kumar Pal,,
3438,Sankho Chaudhuri,,
3439,Sant Kaur,,
3440,Sant Singh Chatwal,,
3441,Sant Singh Sekhon,,
3442,Sant Singh Virmani,,
3443,Santidev Ghosh,,
3444,Santosh Kumar Kackar,,
3445,Santosh Kumar Mazumdar,,
3446,Santosh Kumar Mukerji,,
3447,Santosh Kumar Mukherjee,,
3448,Santosh Kumar Sen,,
3449,Santosh Sivan,,
3450,Santosh Yadav,,
3451,Santu Shahaney,,
3452,Sarabjit Singh,,
3453,Sarbdeep Singh Virk,,
3454,Sarbeswar Sahariah,,
3455,Sarda Nand Singh,,
3456,Sarda Prasad Varma,,
3457,Sardar Anjum,,
3458,Sardar Harnarain Singh,,
3459,Sardar Mohan Singh,,
3460,Sardar Sohan Singh,,
3461,Sardara Singh,,
3462,Sardara Singh Johl,,
3463,Sardarilal Mathradas Nanda,,
3464,Sarita Joshi,,
3465,Saroj Chooramani Gopal,,
3466,Saroj Ghose,,
3467,Saroj Kumar Gupta,,
3468,Saroj Raj Choudhury,,
3469,Saroja Chidambaram,,
3470,Saroja Vaidyanathan,,
3471,Sarojini Varadappan,,
3472,Sartaj Singh,,
3473,Sarungbam Bimola Kumari Devi,,
3474,Sarvagya Singh Katiyar,,
3475,Sarvepalli Gopal,,
3476,Saryu Vinod Doshi,,
3477,Sashadhar Mukherjee,,
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,,
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,,
3501,Satya Prakash,,
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,,
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,,
3522,Sengaku Mayeda,,
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,,
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,,
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,,
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,"Shekhar Gupta initially studied for three years (1962–1965) in Saraswati Shishu Mandir in Palwal, then in Punjab. He completed his Bachelor of Journalism degree at Panjab University (1975–1976). 
He started his career as a journalist working for The Indian Express in 1977. He worked there for 6 years and then resigned to join India Today where he covered Operation Bluestar, the Nellie Massacre in Assam and the Gulf War in 1991. He then rejoined The Indian Express as editor-in-chief and CEO, where he worked for 19 years from 1996 to 2015. He also hosted the show, ""Walk The Talk with Shekhar Gupta"" for NDTV for 15 years in which he talked to over 600 guests. He resigned from Indian Express in 2014 and joined India Today for a brief period of 2 months.Currently he is the editor-in-chief and founder of ThePrint, which was launched in August 2017. Gupta has stated that the mission for ThePrint is to be ""factual and liberal"".","శేఖర్ గుప్తా మొదట్లో మూడు సంవత్సరాలు (1962–1965) పల్వాల్లోని సరస్వతి శిశు మందిర్లో, తర్వాత పంజాబ్లో చదువుకున్నారు. ఇతను పంజాబ్ విశ్వవిద్యాలయంలో తన బ్యాచిలర్ ఆఫ్ జర్నలిజం డిగ్రీని పూర్తి చేశాడు (1975-1976). ఇతను 1977లో ది ఇండియన్ ఎక్స్ప్రెస్లో జర్నలిస్టుగా తన వృత్తిని ప్రారంభించాడు. ఇతను అక్కడ 6 సంవత్సరాలు పనిచేశాడు, ఇండియా టుడేలో చేరడానికి రాజీనామా చేసాడు, అక్కడ ఇతను ఆపరేషన్ బ్లూస్టార్, అస్సాంలో నెల్లీ ఊచకోత, 1991లో గల్ఫ్ యుద్ధంలో కవర్ చేసాడు. తర్వాత ఇతను ది ఇండియన్ ఎక్స్ప్రెస్లో ఎడిటర్-ఇన్-చీఫ్, CEOగా తిరిగి చేరాడు, అక్కడ ఇతను 1996 నుండి 2015 వరకు 19 సంవత్సరాలు పనిచేశాడు. ఇతను 15 సంవత్సరాల పాటు NDTV కోసం ""వాక్ ది టాక్ విత్ శేఖర్ గుప్తా"" షోను హోస్ట్ చేసాడు, ఇందులో ఇతను 600 మంది అతిథులతో మాట్లాడాడు. ఇతను 2014లో ఇండియన్ ఎక్స్ప్రెస్కి రాజీనామా చేసి, 2 నెలల క్లుప్త కాలానికి ఇండియా టుడేలో చేరాడు. ప్రస్తుతం ఇతను ఆగస్టు 2017లో ప్రారంభించబడిన ThePrintకి ఎడిటర్-ఇన్-చీఫ్, వ్యవస్థాపకుడు. ThePrint, లక్ష్యం ""వాస్తవాలు, ఉదారవాదం"" అని గుప్తా పేర్కొన్నారు. "
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,,
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,"Sibte Hasan Zaidi was born in Barabanki, India and grew up in the village town of Jarwal with his maternal uncle because of the early death of his mother, Zakia Begum.  Thereafter, he studied at Barabanki High School and lived initially with his father, Syed Hasan Zaidi, a barrister-at-law from the Inner Temple, London, who practised civil law.  Upon the death of his father in 1931, Sibte Zaidi moved in with his uncle, Sardar Husain, also a barrister from Lincoln's Inn in London.  Educated thereafter in Christian College and Lucknow University, Sibte Zaidi entered King George’s Medical College (KGMC, now King George's Medical University, Lucknow, in 1940, and graduated with a medical degree (Bachelor of Medicine and Bachelor of Surgery)  in 1945.  In 1948, he married Qamar Ara Shanshah Husain granddaughter of the Rajah of Bhatwamau, who was a clinical child psychologist (and founded the School for Mentally Disabled Children, Chetna, in Lucknow, India).  After his clinical training and a brief academic appointment in Pathology at KGMC, Sibte Zaidi left for the United Kingdom to work under the tutelage of Professor Earl J. King, the discoverer of the alkaline phosphatase unitage, the King-Armstrong Units, at the Postgraduate Medical School (later to be named the Royal Postgraduate Medical School, now Imperial College, London) and the Hammersmith Hospital in London.  During his tenure at the Hammersmith, Zaidi also trained in Clinical Pathology and was awarded a PhD (1954) and a Diploma in Clinical Pathology (1952), both from the University of London.","సిబ్తే హసన్ జైదీ భారతదేశంలోని బారాబంకిలో జన్మించాడు, అతని తల్లి జాకియా బేగం, ముందస్తు మరణం కారణంగా తన మామతో కలిసి జర్వాల్ అనే గ్రామంలో పెరిగాడు. ఆ తర్వాత, ఇతను బారాబంకి హైస్కూల్లో చదువుకున్నాడు, సివిల్ లా ప్రాక్టీస్ చేసిన లండన్లోని ఇన్నర్ టెంపుల్ నుండి న్యాయవాది అయిన సయ్యద్ హసన్ జైదీ తన తండ్రితో కలిసి మొదట నివసించాడు. 1931లో తన తండ్రి మరణించిన తర్వాత, సిబ్తే జైదీ తన మామ సర్దార్ హుస్సేన్తో పాటు లండన్లోని లింకన్స్ ఇన్లో బారిస్టర్ కూడా అయ్యాడు. ఆ తర్వాత క్రిస్టియన్ కాలేజ్, లక్నో యూనివర్శిటీలో విద్యనభ్యసించిన సిబ్తే జైదీ 1940లో కింగ్ జార్జ్ మెడికల్ కాలేజీ (KGMC, ఇప్పుడు కింగ్ జార్జ్ మెడికల్ యూనివర్సిటీ, లక్నో, లక్నో)లో ప్రవేశించి, 1945లో మెడికల్ డిగ్రీ (బ్యాచిలర్ ఆఫ్ మెడిసిన్, బ్యాచిలర్ ఆఫ్ సర్జరీ)తో పట్టభద్రుడయ్యాడు. 1948లో, ఇతను క్లినికల్ చైల్డ్ సైకాలజిస్ట్ (, భారతదేశంలోని లక్నోలో మానసిక వికలాంగ పిల్లల కోసం పాఠశాల, చేతనను స్థాపించాడు) అయిన భట్వామౌ రాజా, మనవరాలు ఖమర్ అరా షన్షా హుస్సేన్ను వివాహం చేసుకున్నాడు. అతని క్లినికల్ శిక్షణ, KGMCలో పాథాలజీలో క్లుప్త విద్యాసంబంధమైన నియామకం తర్వాత, సిబ్తే జైదీ ప్రొఫెసర్ ఎర్ల్ J ఆధ్వర్యంలో పనిచేయడానికి యునైటెడ్ కింగ్డమ్కు బయలుదేరాడు. పోస్ట్ గ్రాడ్యుయేట్ మెడికల్ స్కూల్ (తరువాత రాయల్ పోస్ట్ గ్రాడ్యుయేట్ మెడికల్ స్కూల్, ఇప్పుడు ఇంపీరియల్ కాలేజ్, లండన్ అని పేరు పెట్టారు), లండన్లోని హామర్స్మిత్ హాస్పిటల్లో ఆల్కలీన్ ఫాస్ఫేటేస్ యూనిట్, కింగ్-ఆర్మ్స్ట్రాంగ్ యూనిట్లను కనుగొన్న కింగ్. హామర్స్మిత్లో తన పదవీకాలంలో, జైదీ క్లినికల్ పాథాలజీలో శిక్షణ పొందాడు, లండన్ విశ్వవిద్యాలయం నుండి PhD (1954), క్లినికల్ పాథాలజీలో డిప్లొమా (1952) పొందాడు. "
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,"Verma is a resident of the village called Danta located in Sikar, Rajasthan. After completing his graduation in 1972, Verma decided to pursue farming as a career. Verma studied dryland farming at the Indian Agricultural Research Institute in New Delhi through Krishi Vigyan Kendra (KVK). After working for 10 years, Verma developed a farming technique for arid regions wherein all kind of trees can be planted with just one litre of water. To date,  Verma has planted over 50,000 trees.","వర్మ రాజస్థాన్లోని సికార్లో ఉన్న దంతా అనే గ్రామ నివాసి. 1972లో గ్రాడ్యుయేషన్ పూర్తి చేసిన తర్వాత వర్మ వ్యవసాయాన్ని వృత్తిగా కొనసాగించాలని నిర్ణయించుకున్నాడు. వర్మ న్యూఢిల్లీలోని భారత వ్యవసాయ పరిశోధనా సంస్థలో కృషి విజ్ఞాన కేంద్రం (కెవికె) ద్వారా డ్రై ల్యాండ్ ఫార్మింగ్ను అభ్యసించారు. 10 సంవత్సరాలు పనిచేసిన తరువాత, వర్మ శుష్క ప్రాంతాల కోసం వ్యవసాయ సాంకేతికతను అభివృద్ధి చేసాడు, ఇందులో అన్ని రకాల చెట్లను కేవలం ఒక లీటరు నీటితో నాటవచ్చు. ఇప్పటి వరకు వర్మ 50 వేలకు పైగా మొక్కలు నాటారు. "
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,"He was the eldest of four sons of Tonse Upendra Pai. He was the nephew of Dr. T. M. A. Pai. After his early childhood spent in Udupi district, he graduated in Commerce from Sydenham College of Commerce and Economics in 1943. He worked at Syndicate Bank, which had been established by one of his relatives and in 1970 the Government of India appointed him as the chairman of Life Insurance Corporation after Syndicate Bank got nationalized. He was the first chairman of the Indian Institute of Management Bangalore.","తోన్సే ఉపేంద్ర పాయ్ నలుగురు కుమారులలో ఇతను పెద్దవాడు. ఇతను డా. కి మేనల్లుడు. టి. ఎం. ఎ. పై. చిన్నతనంలో ఉడిపి జిల్లాలో గడిపిన తర్వాత, ఇతను 1943లో సిడెన్హామ్ కాలేజ్ ఆఫ్ కామర్స్ అండ్ ఎకనామిక్స్ నుండి కామర్స్లో పట్టభద్రుడయ్యాడు. ఇతను తన బంధువులలో ఒకరు స్థాపించిన సిండికేట్ బ్యాంక్లో పనిచేశాడు, 1970లో సిండికేట్ బ్యాంక్ జాతీయం చేయబడిన తర్వాత భారత ప్రభుత్వం అతనిని లైఫ్ ఇన్సూరెన్స్ కార్పొరేషన్ ఛైర్మన్గా నియమించింది. ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ మేనేజ్మెంట్ బెంగుళూరుకు ఆయన మొదటి చైర్మన్. "
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,,
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
4006,T. Narayanayajwa Ramachandran,,
4007,T. P. Lahane,,
4008,T. P. Meenakshisundaram,,
4009,T. R. Mahalingam,,
4010,T. R. Seshadri,,
