,Recipients,early life,early life Telugu
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,"Sultan Khan was born on 15 April 1940 in Sikar District, Rajasthan, a princely state in the Indian Empire. He learned sarangi from his father Ustad Gulab Khan.",సుల్తాన్ ఖాన్ 1940 ఏప్రిల్ 15న రాజస్థాన్లోని సికార్ జిల్లాలో భారత సామ్రాజ్యంలో ఒక రాచరిక రాష్ట్రంగా జన్మించాడు. ఇతను తన తండ్రి ఉస్తాద్ గులాబ్ ఖాన్ వద్ద సారంగి నేర్చుకున్నాడు. 
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,"She was born to wealthy family of Mathuradas Goculdas and his wife, Premabai, in Bombay. Sumati was named Jamuna, after the sacred river associated with Krishna in Vrindavan. According to then contemporary customs in India, while still a young girl she was married to Shanti Kumar Narottam Morarjee, the only son of Narottam Morarjee, the founder of Scindia Steam Navigation Company, which later grew to be India's largest shipping firm.","ఈమె బొంబాయిలో మధురదాస్ గోకులదాస్, అతని భార్య ప్రేమాబాయి సంపన్న కుటుంబంలో జన్మించింది. బృందావనంలో కృష్ణానదికి అనుబంధంగా ఉన్న పవిత్ర నదికి జమున అని పేరు పెట్టారు సుమతి. భారతదేశంలోని అప్పటి సమకాలీన ఆచారాల ప్రకారం, చిన్న వయస్సులోనే ఈమె సింధియా స్టీమ్ నావిగేషన్ కంపెనీ వ్యవస్థాపకుడు నరోత్తం మొరార్జీ ఏకైక కుమారుడు శాంతి కుమార్ నరోత్తమ్ మొరార్జీని వివాహం చేసుకుంది, ఇది తరువాత భారతదేశపు అతిపెద్ద షిప్పింగ్ సంస్థగా ఎదిగింది. "
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,"His father served as the manager of a local tea garden, and was also a landholder, so Pant was never in want financially growing up. He grew up in the same village and always cherished a love for the beauty and flavor of rural India, which is evident in all his major works.
Pant enrolled in Queens College in Banaras in 1918. There he began reading the works of Sarojini Naidu and Rabindranath Tagore, as well as English Romantic poets. These figures would all have a powerful influence on his writing. In 1919 he moved to Allahabad to study at Muir College. As an anti-British gesture he only attended for two years. He then focused more on poetry, publishing Pallav in 1926. This collection established him as a literary giant of the Hindi renaissance that had begun with Jaishankar Prasad. In the introduction to the book, Pant expressed dissatisfaction that Hindi speakers ""think in one language and express themselves in another","అతని తండ్రి స్థానిక తేయాకు తోటకి మేనేజర్గా పనిచేశాడు, భూస్వామి కూడా, కాబట్టి పంత్ ఆర్థికంగా ఎదగాలని ఎప్పుడూ కోరుకోలేదు. ఇతను అదే గ్రామంలో పెరిగాడు, గ్రామీణ భారతదేశం, అందం, రుచి పట్ల ఎల్లప్పుడూ ప్రేమను కలిగి ఉన్నాడు, ఇది అతని అన్ని ప్రధాన రచనలలో స్పష్టంగా కనిపిస్తుంది. పంత్ 1918లో బనారస్లోని క్వీన్స్ కాలేజీలో చేరాడు. అక్కడ ఇతను సరోజినీ నాయుడు, రవీంద్రనాథ్ ఠాగూర్, అలాగే ఆంగ్ల రొమాంటిక్ కవుల రచనలను చదవడం ప్రారంభించాడు. ఈ గణాంకాలన్నీ అతని రచనపై శక్తివంతమైన ప్రభావాన్ని చూపుతాయి. 1919లో ముయిర్ కాలేజీలో చదువుకోవడానికి అలహాబాద్కు వెళ్లారు. బ్రిటిష్ వ్యతిరేక సూచనగా ఇతను కేవలం రెండు సంవత్సరాలు మాత్రమే హాజరయ్యారు. ఇతను 1926లో పల్లవిని ప్రచురించి కవిత్వంపై ఎక్కువ దృష్టి పెట్టాడు. ఈ సేకరణ జైశంకర్ ప్రసాద్తో ప్రారంభమైన హిందీ పునరుజ్జీవనోద్యమంలో అతనిని సాహిత్య దిగ్గజంగా స్థాపించింది. పుస్తక పరిచయంలో, పంత్ హిందీ మాట్లాడేవారు ""ఒక భాషలో ఆలోచించి, మరొక భాషలో తమను తాము వ్యక్తీకరించడం పట్ల అసంతృప్తిని వ్యక్తం చేశారు. "
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,"Sunderlal Bahuguna was born in the village Maroda near Tehri, Uttarakhand, on 9 January 1927. Early on, he fought against untouchability and later started organising hill women in his anti-liquor drive from 1965 to 1970. He started social activities at the age of thirteen, under the guidance of Shri Dev Suman, who was a nationalist spreading a message of non-violence, and he was with the Congress Party of Uttar Pradesh at the time of Independence. Bahuguna also mobilised people against colonial rule before 1947. He adopted Gandhian principles in his life and married his wife Vimla with the condition that they would live among rural people and establish ashram in village. Inspired by  Gandhi, he walked through Himalayan forests and hills, covering more than 4,700 kilometres on foot and observed the damage done by mega developmental projects on the fragile ecosystem of the Himalayas and subsequent degradation of social life in villages.","సుందర్లాల్ బహుగుణ 1927 జనవరి 9న ఉత్తరాఖండ్లోని టెహ్రీ సమీపంలోని మరోడ గ్రామంలో జన్మించారు. ప్రారంభంలో, ఇతను అంటరానితనానికి వ్యతిరేకంగా పోరాడాడు, తరువాత 1965 నుండి 1970 వరకు తన మద్యపాన వ్యతిరేక ఉద్యమంలో కొండ మహిళలను నిర్వహించడం ప్రారంభించాడు. ఇతను అహింస సందేశాన్ని వ్యాప్తి చేసే జాతీయవాది అయిన శ్రీ దేవ్ సుమన్ మార్గదర్శకత్వంలో పదమూడేళ్ల వయస్సులో సామాజిక కార్యకలాపాలను ప్రారంభించాడు, స్వాతంత్ర్యం వచ్చినప్పుడు ఇతను ఉత్తరప్రదేశ్ కాంగ్రెస్ పార్టీలో ఉన్నాడు. బహుగుణ కూడా 1947కి ముందు వలస పాలనకు వ్యతిరేకంగా ప్రజలను సమీకరించాడు. ఇతను తన జీవితంలో గాంధీ సిద్ధాంతాలను స్వీకరించాడు, తన భార్య విమలని వివాహం చేసుకున్నాడు, వారు గ్రామీణ ప్రజల మధ్య జీవించాలని, గ్రామంలో ఆశ్రమం స్థాపించాలని షరతు పెట్టారు. గాంధీ స్ఫూర్తితో, ఇతను హిమాలయ అడవులు, కొండల గుండా నడిచాడు, కాలినడకన 4, 700 కిలోమీటర్లకు పైగా ప్రయాణించాడు, హిమాలయాల పెళుసుగా ఉన్న పర్యావరణ వ్యవస్థపై మెగా అభివృద్ధి ప్రాజెక్టుల వల్ల కలిగే నష్టాన్ని, గ్రామాలలో సామాజిక జీవనం, తదుపరి క్షీణతను గమనించాడు. "
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,"Sunil Dutt was born on 6 June 1929 in Nakka Khurd, Jhelum District, Punjab Province, British India (now in Punjab, Pakistan) into a Hussaini Brahmin family as Balraj Dutt to father Diwan Raghunath Dutt and mother Kulwantidevi Dutt. When he was five years old, Dutt's father died. When he was 18, the Partition of India began inciting Hindu-Muslim violence across the country.  A Muslim friend of Dutt's father named Yakub, saved their entire family. The family resettled in the small village of Mandauli on the bank of the river Yamuna located in Yamunanagar District, East Punjab, which is now a district in Haryana. Later he moved to Lucknow, United Provinces with his mother, Kulwantidevi Dutt, and spent a long time in the Aminabad Bazaar neighbourhood during graduation. He then moved to Bombay, Bombay State, where he joined Jai Hind College, University of Bombay in Churchgate, South Bombay as an undergraduate and took up a job at the city's BEST Transportation Engineering division. He graduated with B.A. (Hons","సునీల్ దత్ 6 జూన్ 1929న బ్రిటీష్ ఇండియాలోని పంజాబ్ ప్రావిన్స్లోని జీలం జిల్లా, నక్కా ఖుర్ద్లో (ప్రస్తుతం పంజాబ్, పాకిస్తాన్లో ఉంది) హుస్సేనీ బ్రాహ్మణ కుటుంబంలో బాల్రాజ్ దత్గా తండ్రి దివాన్ రఘునాథ్ దత్, తల్లి కుల్వంతిదేవి దత్లకు జన్మించారు. ఇతను ఐదు సంవత్సరాల వయస్సులో ఉన్నప్పుడు, దత్ తండ్రి మరణించాడు. అతనికి 18 ఏళ్ళ వయసులో, భారతదేశ విభజన దేశవ్యాప్తంగా హిందూ-ముస్లిం హింసను ప్రేరేపించడం ప్రారంభించింది. దత్ తండ్రికి యాకూబ్ అనే ముస్లిం స్నేహితుడు వారి కుటుంబాన్ని కాపాడాడు. ప్రస్తుతం హర్యానాలోని జిల్లాగా ఉన్న తూర్పు పంజాబ్లోని యమునానగర్ జిల్లాలో ఉన్న యమునా నది ఒడ్డున ఉన్న మండౌలీ అనే చిన్న గ్రామంలో కుటుంబం పునరావాసం పొందింది. తరువాత ఇతను తన తల్లి కుల్వంతిదేవి దత్తో కలిసి యునైటెడ్ ప్రావిన్స్లోని లక్నోకు మారాడు, గ్రాడ్యుయేషన్ సమయంలో అమీనాబాద్ బజార్ పరిసరాల్లో చాలా కాలం గడిపాడు. తరువాత ఇతను బొంబాయి రాష్ట్రం, బొంబాయికి మారాడు, అక్కడ ఇతను దక్షిణ బొంబాయిలోని చర్చ్గేట్లోని జై హింద్ కళాశాల, బాంబే విశ్వవిద్యాలయంలో అండర్ గ్రాడ్యుయేట్గా చేరాడు, నగరంలోని బెస్ట్ ట్రాన్స్పోర్టేషన్ ఇంజనీరింగ్ విభాగంలో ఉద్యోగంలో చేరాడు. ఇతను బితో పట్టభద్రుడయ్యాడు. ఎ. (గౌరవనీయులు. "
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,"Sunil Bharti Mittal was born in a Punjabi Agrawal family. His father, Sat Paul Mittal, had been the Member of Parliament, Rajya Sabha (Indian National Congress) from Ludhiana, Punjab, he was elected from Punjab for two terms (1976 & 1982) and nominated to the Rajya Sabha once (1988). He first joined the Wynberg Allen School in Mussoorie, but later attended Scindia School at Gwalior and he graduated in 1976 from Panjab University, Chandigarh, with a Bachelor of Arts and Science for which he studied in Arya College, Ludhiana. His father died of cardiac arrest in 1992.","సునీల్ భారతి మిట్టల్ పంజాబీ అగర్వాల్ కుటుంబంలో జన్మించారు. అతని తండ్రి, సత్ పాల్ మిట్టల్, పంజాబ్లోని లూథియానా నుండి పార్లమెంటు సభ్యుడు, రాజ్యసభ (ఇండియన్ నేషనల్ కాంగ్రెస్), ఇతను పంజాబ్ నుండి రెండు పర్యాయాలు (1976 & 1982) ఎన్నికయ్యారు, ఒకసారి (1988) రాజ్యసభకు నామినేట్ అయ్యారు. ఇతను మొదట ముస్సోరీలోని వైన్బెర్గ్ అలెన్ స్కూల్లో చేరాడు, కానీ తరువాత గ్వాలియర్లోని సింధియా స్కూల్లో చేరాడు, 1976లో చండీగఢ్లోని పంజాబ్ విశ్వవిద్యాలయం నుండి బ్యాచిలర్ ఆఫ్ ఆర్ట్స్ అండ్ సైన్స్తో పట్టభద్రుడయ్యాడు. అతని తండ్రి 1992లో గుండెపోటుతో మరణించారు. "
3891,Sunil Pradhan,,
3892,Sunita Jain,"Born into a agarwal Jain family on 13 July 1940 in the Ambala district of the Indian state of Haryana, Sunita's family moved to Delhi when she was a teenager.  She completed her B.A. from Indraprastha College for Women, University of Delhi at the age of 18.She married in Delhi soon after she graduated and left for Cleveland, Ohio, with her husband, after which spend short stints in Zurich, Switzerland and New Delhi, India, before settling in Stony Brook, Long Island, in 1965. Jain did her post-graduate studies at the State University of New York in American English Literature.  In 1968 she moved to Lincoln, Nrbraska where she secured a doctoral degree (PhD) from the University of Nebraska.","భారతదేశంలోని హర్యానా రాష్ట్రంలోని అంబాలా జిల్లాలో 13 జూలై 1940న అగర్వాల్ జైన కుటుంబంలో జన్మించిన సునీత యుక్తవయసులో ఉన్నప్పుడే ఈమె కుటుంబం ఢిల్లీకి మారింది. ఈమె బి పూర్తి చేసింది. ఎ. 18 ఏళ్ల వయసులో ఢిల్లీ యూనివర్సిటీలోని ఇంద్రప్రస్థ కాలేజ్ ఫర్ ఉమెన్ నుండి. ఈమె గ్రాడ్యుయేషన్ పూర్తి చేసిన వెంటనే ఢిల్లీలో వివాహం చేసుకుంది, ఈమె తన భర్తతో కలిసి ఒహియోలోని క్లీవ్ల్యాండ్కు వెళ్లిపోయింది, ఆ తర్వాత 1965లో లాంగ్ ఐలాండ్లోని స్టోనీ బ్రూక్లో స్థిరపడటానికి ముందు భారతదేశంలోని జ్యూరిచ్, స్విట్జర్లాండ్, న్యూ ఢిల్లీలో కొద్దికాలం గడిపింది. జైన్ స్టేట్ యూనివర్శిటీ ఆఫ్ న్యూయార్క్లో అమెరికన్ ఇంగ్లీష్ లిటరేచర్లో పోస్ట్-గ్రాడ్యుయేట్ చేసింది. 1968లో ఈమె లింకన్, ఎన్బ్రాస్కాకు వెళ్లి అక్కడ నెబ్రాస్కా విశ్వవిద్యాలయం నుండి డాక్టరల్ డిగ్రీ (పిహెచ్డి) పొందింది. "
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,"Krishnan was born in Bangalore, to Palakkad Malayali parents Raju Krishnan and Nalini Krishnan. She saw most of the country early on while traveling from one place to another with her father, who worked with the Department of Survey which makes maps for the entire country.Krishnan's passion for social work became manifested when, at the age of eight years, she started teaching dance to mentally challenged children. By the age of twelve, she was running schools in slums for underprivileged children. At the age of fifteen, while working on a neo-literacy campaign for the Dalit community, Krishnan was gang raped by eight men. They did not like that a woman was interfering with what they claimed as “man’s society.” They beat her so badly that she is partially deaf in one ear. This incident served as the impetus for what she does today.Krishnan studied in Central Government Schools in Bangalore and Bhutan. After obtaining a bachelor's degree in environmental sciences from St","కృష్ణన్ బెంగళూరులో పాలక్కాడ్ మలయాళీ తల్లిదండ్రులు రాజు కృష్ణన్, నళిని కృష్ణన్లకు జన్మించారు. దేశం మొత్తానికి మ్యాప్లను రూపొందించే సర్వే డిపార్ట్మెంట్లో పనిచేసిన తన తండ్రితో కలిసి ఒక ప్రదేశం నుండి మరొక ప్రదేశానికి ప్రయాణిస్తున్నప్పుడు ఈమె దేశంలోని చాలా భాగాన్ని ముందుగానే చూసింది. ఎనిమిదేళ్ల వయసులో మానసిక వికలాంగ పిల్లలకు నృత్యం నేర్పడం ప్రారంభించినప్పుడు సామాజిక సేవ పట్ల కృష్ణన్కు ఉన్న మక్కువ వ్యక్తమైంది. పన్నెండేళ్ల వయస్సులో, ఈమె నిరుపేద పిల్లల కోసం మురికివాడల్లో పాఠశాలలను నడుపుతోంది. పదిహేనేళ్ల వయసులో, దళిత సంఘం కోసం నియో-అక్షరాస్యత ప్రచారంలో పనిచేస్తున్నప్పుడు, కృష్ణన్ను ఎనిమిది మంది వ్యక్తులు సామూహిక అత్యాచారం చేశారు. ""పురుషుల సమాజం"" అని వారు పేర్కొన్న దానిలో ఒక స్త్రీ జోక్యం చేసుకోవడం వారికి నచ్చలేదు. ” వారు ఈమెను చాలా దారుణంగా కొట్టారు, ఈమె ఒక చెవి పాక్షికంగా చెవిటిది. ఈ సంఘటన ఈమె ఈరోజు చేసే పనులకు ప్రేరణగా నిలిచింది. కృష్ణన్ బెంగళూరు, భూటాన్లోని కేంద్ర ప్రభుత్వ పాఠశాలల్లో చదివారు. సెయింట్ నుండి పర్యావరణ శాస్త్రాలలో బ్యాచిలర్ డిగ్రీని పొందిన తరువాత. "
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,"Supriya was born in Myitkyina, Burma. Her father was Gopal Chandra Banerjee, a lawyer. He was from Faridpur (now in Bangladesh). During World War II, her family moved to Calcutta (present-day Kolkata, India).Supriya was seven years old when she made her acting début in two plays directed by her father. She was a dancer since her childhood, even receiving an award from Thakin Nu, then-Prime Minister of Burma, who was moved by one of her dance recitals. From her childhood, her closest friend was Nihar Dutta, who married into the Guha Thakurata Family and became Mrs Nihar Guha Thakurata, an eminent Social Worker of Burma of her time.In 1948, the Bannerjees left Burma for good and re-settled in Calcutta. They had been refugees in 1942 when the Japanese forces occupied Burma. The young Supriya and her family were forced to undertake an arduous trek on foot to the safety of Calcutta","సుప్రియ బర్మాలోని మైత్కినాలో జన్మించింది. ఈమె తండ్రి గోపాల్ చంద్ర బెనర్జీ, న్యాయవాది. ఇతను ఫరీద్పూర్కు చెందినవాడు (ప్రస్తుతం బంగ్లాదేశ్లో ఉంది). రెండవ ప్రపంచ యుద్ధం సమయంలో, ఈమె కుటుంబం కలకత్తాకు (ప్రస్తుత కోల్కతా, భారతదేశం) తరలివెళ్లింది. సుప్రియకు ఏడేళ్ల వయసులో ఈమె తన తండ్రి దర్శకత్వం వహించిన రెండు నాటకాలలో నటించింది. ఈమె చిన్ననాటి నుండి నృత్యకారిణి, అప్పటి బర్మా ప్రధానమంత్రి థాకిన్ ను నుండి అవార్డును కూడా అందుకుంది, ఈమె నృత్య రిసైటల్లలో ఒకదానిని చూసి చలించిపోయారు. ఈమె చిన్ననాటి నుండి, ఈమె సన్నిహిత స్నేహితురాలు నిహార్ దత్తా, ఈమె గుహా ఠాకురాటా కుటుంబాన్ని వివాహం చేసుకుంది, ఈమె కాలంలో బర్మాకు చెందిన ప్రముఖ సామాజిక కార్యకర్త అయిన శ్రీమతి నిహార్ గుహా ఠాకురాటా. 1948లో, బెనర్జీలు బర్మాను విడిచిపెట్టి కలకత్తాలో తిరిగి స్థిరపడ్డారు. 1942లో జపాన్ సేనలు బర్మాను ఆక్రమించినప్పుడు వారు శరణార్థులుగా ఉన్నారు. యువతి సుప్రియ, ఈమె కుటుంబం కలకత్తా, భద్రత కోసం కాలినడకన కష్టతరమైన ట్రెక్కి వెళ్ళవలసి వచ్చింది. "
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,"Surinder Kaur was born to a Punjabi Sikh family in Lahore, the capital of the Punjab in British India. She was the sister of Parkash Kaur and the mother of Dolly Guleria, both noted Punjabi singers. She had three daughters of which Dolly is the eldest. She was influenced by Renu Rajan, a prominent figure in punjabi folk music.","సురీందర్ కౌర్ బ్రిటిష్ ఇండియాలోని పంజాబ్ రాజధాని లాహోర్లోని పంజాబీ సిక్కు కుటుంబంలో జన్మించారు. ఈమె ప్రకాష్ కౌర్ సోదరి, డాలీ గులేరియా తల్లి, ఇద్దరూ ప్రముఖ పంజాబీ గాయకులు. ఈమెకు ముగ్గురు కుమార్తెలు ఉన్నారు, వారిలో డాలీ పెద్దది. పంజాబీ జానపద సంగీతంలో ప్రముఖ వ్యక్తి రేణు రాజన్ ద్వారా ఈమె ప్రభావితమైంది. "
3927,Surinder Kumar Dey,"S. K. Dey was born on 13 September 1906 in Laxmibassa village in Sylhet district in present-day Bangladesh, Mr. Dey went on to study engineering at world-renowned institutions- Purdue University and Michigan in the United States of America. Dey was a son-in-law of the eminent nationalist leader, Bipin Chandra Pal.","ఎస్. కె. డే 1906 సెప్టెంబర్ 13న ప్రస్తుత బంగ్లాదేశ్లోని సిల్హెట్ జిల్లాలోని లక్ష్మీబస్సా గ్రామంలో జన్మించారు. యునైటెడ్ స్టేట్స్ ఆఫ్ అమెరికాలోని పర్డ్యూ యూనివర్శిటీ, మిచిగాన్- ప్రపంచ ప్రఖ్యాత సంస్థలలో ఇంజినీరింగ్ చదివాడు. డే ప్రముఖ జాతీయవాద నాయకుడు బిపిన్ చంద్ర పాల్, అల్లుడు. "
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,"Banerjee is from Bolpur, West Bengal. He did his graduation from R. G. Kar Medical College and Hospital and did his PG degree in Pathology from Calcutta University. Then he moved to London for a diploma in Haematology.","బెనర్జీ పశ్చిమ బెంగాల్లోని బోల్పూర్కు చెందినవారు. ఇతను ఆర్ నుండి గ్రాడ్యుయేషన్ చేసాడు. జి. కార్ మెడికల్ కాలేజ్ అండ్ హాస్పిటల్, కలకత్తా యూనివర్శిటీ నుండి పాథాలజీలో పిజి డిగ్రీ చేసారు. ఆ తర్వాత హెమటాలజీలో డిప్లొమా కోసం లండన్ వెళ్లారు. "
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,"Swaran Singh Purewal was born on 19 August 1907 in Shankar (village) in Jalandhar district of Punjab.  He was born in Jat Sikh  family.
He completed his intermediate (High school) at Randhir College in Kapurthala. He then joined Government College, Lahore and completed a degree in Physics with honors.He then worked as a lecturer in Physics in Lyallpur Khalsa College. After leaving this job he studied law in Government law college in Lahore and received his L.L.B in 1932.He started a law practice near his birth village in the nearby town of Jallandhar, specialising in criminal law.","స్వరణ్ సింగ్ పురేవాల్ పంజాబ్లోని జలంధర్ జిల్లాలోని శంకర్ (గ్రామం)లో 1907 ఆగస్టు 19న జన్మించారు. ఇతను జాట్ సిక్కు కుటుంబంలో జన్మించాడు. కపుర్తలాలోని రణధీర్ కాలేజీలో ఇంటర్మీడియట్ (హైస్కూల్) పూర్తి చేశాడు. ఆ తర్వాత లాహోర్లోని ప్రభుత్వ కళాశాలలో చేరి ఆనర్స్తో ఫిజిక్స్లో డిగ్రీ పూర్తి చేశాడు. ఆ తర్వాత లియాల్పూర్ ఖల్సా కాలేజీలో ఫిజిక్స్ లెక్చరర్గా పనిచేశాడు. ఈ ఉద్యోగాన్ని విడిచిపెట్టిన తర్వాత ఇతను లాహోర్లోని ప్రభుత్వ న్యాయ కళాశాలలో న్యాయశాస్త్రం అభ్యసించి, ఎల్. ఎల్. 1932లో బి. ఇతను క్రిమినల్ లాలో నైపుణ్యం కలిగిన జలంధర్ సమీపంలోని తన పుట్టిన గ్రామానికి సమీపంలో న్యాయవాద అభ్యాసాన్ని ప్రారంభించాడు. "
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,"Swati Shah was born in Mumbai in 1956 to Arunika Shah and Niranjan Shah. Piramal showed interest in improving the lives of people diagnosed with chronic illnesses. Therefore, after her high school and college, she pursued a degree in medicine. She undertook a postgraduate course in public health at Harvard University after her marriage and having children.In the mid-1970s, Piramal came across a girl affected with polio, and she and her medical school friends set up a polio centre. In the first year, they treated 25,000 children. To convince local residents to get their children immunized, Piramal and her friends performed street plays about polio prevention. They also went door-to-door, educating families. They treated children, mostly for free. Ten years later, everyone in the area who needed vaccination or treatment had received it","స్వాతి షా ముంబైలో 1956లో అరుణికా షా, నిరంజన్ షా దంపతులకు జన్మించారు. దీర్ఘకాలిక వ్యాధులతో బాధపడుతున్న వ్యక్తుల జీవితాలను మెరుగుపరచడంలో పిరమల్ ఆసక్తిని కనబరిచారు. అందువల్ల, ఈమె ఉన్నత పాఠశాల, కళాశాల తర్వాత, ఈమె వైద్యశాస్త్రంలో డిగ్రీని అభ్యసించింది. ఈమె వివాహం, పిల్లలు కలిగిన తర్వాత హార్వర్డ్ విశ్వవిద్యాలయంలో పబ్లిక్ హెల్త్లో పోస్ట్ గ్రాడ్యుయేట్ కోర్సును చేపట్టింది. 1970వ దశకం మధ్యలో, పిరమల్ పోలియోతో బాధపడుతున్న ఒక బాలికను చూసింది, ఈమె, ఈమె వైద్య పాఠశాల స్నేహితులు పోలియో కేంద్రాన్ని ఏర్పాటు చేశారు. మొదటి సంవత్సరంలో, వారు 25, 000 మంది పిల్లలకు చికిత్స చేశారు. స్థానిక నివాసితులను వారి పిల్లలకు వ్యాధి నిరోధక టీకాలు వేయమని ఒప్పించేందుకు, పిరమల్, ఈమె స్నేహితులు పోలియో నివారణ గురించి వీధి నాటకాలు ప్రదర్శించారు. వారు కూడా ఇంటింటికీ వెళ్లి కుటుంబాలను చదివించారు. వారు చాలా వరకు ఉచితంగా పిల్లలకు చికిత్స చేశారు. పది సంవత్సరాల తరువాత, టీకా లేదా చికిత్స అవసరమయ్యే ప్రాంతంలోని ప్రతి ఒక్కరూ దానిని స్వీకరించారు. "
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,"S. M. Arif is from Hyderabad, Telangana. He received his B.Sc. from University of Hyderabad. He also played cricket at School, led Anwar ul Uloom college for four years and played for Deccan Blues in the HCA league. He quit after being sidelined by his cricket coach and pursued badminton.","ఎస్. ఎం. ఆరిఫ్ స్వస్థలం హైదరాబాద్, తెలంగాణ. ఇతను తన బి అందుకున్నాడు. Sc. యూనివర్సిటీ ఆఫ్ హైదరాబాద్ నుండి. ఇతను స్కూల్లో క్రికెట్ ఆడాడు, అన్వర్ ఉల్ ఉలూమ్ కాలేజీకి నాలుగు సంవత్సరాలు నాయకత్వం వహించాడు, HCA లీగ్లో డెక్కన్ బ్లూస్ తరపున ఆడాడు. తన క్రికెట్ కోచ్ పక్కన పెట్టడంతో ఇతను నిష్క్రమించాడు, బ్యాడ్మింటన్ను కొనసాగించాడు. "
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
