,Recipients,political career,political career Telugu
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,"Sumitra Mahajan started her political career as a corporator in the Indore Municipal Corporation in 1982. She was later elected as Deputy Mayor of Indore Municipal Corporation in 1984. 
She ran for the first time and won the Lok Sabha elections in 1989, against former Chief Minister and senior Congress leader Prakash Chandra Sethi. She is popularly known as Tai, among people of her constituency.","సుమిత్రా మహాజన్ 1982లో ఇండోర్ మున్సిపల్ కార్పొరేషన్లో కార్పొరేటర్గా తన రాజకీయ జీవితాన్ని ప్రారంభించారు. ఆ తర్వాత 1984లో ఇండోర్ మున్సిపల్ కార్పొరేషన్ డిప్యూటీ మేయర్గా ఎన్నికయ్యారు. ఈమె మొదటిసారిగా పోటీ చేసి 1989లో లోక్సభ ఎన్నికల్లో మాజీ ముఖ్యమంత్రి, సీనియర్ కాంగ్రెస్ నాయకుడు ప్రకాశ్ చంద్ర సేథీపై విజయం సాధించారు. ఈమె నియోజకవర్గంలోని ప్రజలలో తై అని పిలుచుకుంటారు. "
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,"He was Chief Minister of Madhya Pradesh twice, from 20 January 1980 to 17 February 1980 as member of Janata Party and from  5 March 1990 to 15 December 1992 as leader of Bharatiya Janta Party. He began his political career with Jana Sangh which merged with Janata Party in 1977. Later members owing allegiance to Jana Sangh's Hindutva ideology broke away from Janata Party in 1980 to form Bharatiya Janata Party.
He was first elected to Lok Sabha via bye-poll in Chhindwara in 1997 by defeating Congress strongman Kamal Nath in his home turf. He lost from Chhindwara in 1998 General Election.
In 1999, he was elected to the Lok Sabha from Hoshangabad constituency, and was minister in Atal Bihari Vajpayee Government from 1999 to 2001. As a legislator, he was known as strict disciplinarian.
He was associated with Indore Rajya Praja Mandal since 1941, R.S.S","ఇతను రెండుసార్లు మధ్యప్రదేశ్ ముఖ్యమంత్రిగా 20 జనవరి 1980 నుండి 17 ఫిబ్రవరి 1980 వరకు జనతా పార్టీ సభ్యుడిగా, 5 మార్చి 1990 నుండి 15 డిసెంబర్ 1992 వరకు భారతీయ జనతా పార్టీ నాయకుడిగా ఉన్నారు. 1977లో జనతాపార్టీలో విలీనమైన జనసంఘ్తో ఆయన రాజకీయ జీవితాన్ని ప్రారంభించారు. జనసంఘ్, హిందుత్వ భావజాలానికి విధేయత చూపిన తరువాత సభ్యులు 1980లో భారతీయ జనతా పార్టీని స్థాపించడానికి జనతా పార్టీ నుండి విడిపోయారు. 1997లో తన సొంతగడ్డపై కాంగ్రెస్కు చెందిన కమల్నాథ్ను ఓడించడం ద్వారా చింద్వారాలో ఉప ఎన్నిక ద్వారా తొలిసారిగా లోక్సభకు ఎన్నికయ్యారు. 1998 సార్వత్రిక ఎన్నికల్లో చింద్వారా నుంచి ఓడిపోయారు. 1999లో, ఇతను హోషంగాబాద్ నియోజకవర్గం నుండి లోక్సభకు ఎన్నికయ్యారు, 1999 నుండి 2001 వరకు అటల్ బిహారీ వాజ్పేయి ప్రభుత్వంలో మంత్రిగా ఉన్నారు. శాసన సభ్యునిగా, ఇతను కఠినమైన క్రమశిక్షణాపరుడిగా పేరు పొందాడు. ఇతను 1941 నుండి ఇండోర్ రాజ్య ప్రజా మండల్తో అనుబంధం కలిగి ఉన్నాడు, ఆర్. ఎస్. ఎస్. "
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,"Suraj Bhan Banswal, started his public life as a volunteer of the Rashtriya Swayamsevak Sangh.
He started his political career with the Bharatiya Jana Sangh which eventually became the Bharatiya Janata Party and dropped his last name ""Banswal"" after joining active politics. He represented the Ambala parliamentary constituency of Haryana in the 4th (1967–1970), 6th (1977–1979), 7th (1979–1984) and the 11th Lok Sabhas (1996–1997). In 1987, he was elected to Haryana assembly and served as Revenue Minister in Devi Lal's government between 1987 and 1989. After the BJP broke alliance with Devi Lal's party, he served as Leader of Opposition in the Haryana assembly (1989–1990). He was appointed State President of BJP Haryana Unit in 1984.In 1996, he was named Agriculture minister in First Vajpayee Ministry after which he served as deputy speaker of the 11th Lok Sabha, during the United Front government (Jul. 1996 to Feb. 1997). He contested 1998 Lok Sabha elections, but lost to Aman
Kumar Nagra of the BSP","సూరజ్ భన్ బన్స్వాల్, రాష్ట్రీయ స్వయంసేవక్ సంఘ్, వాలంటీర్గా తన ప్రజా జీవితాన్ని ప్రారంభించాడు. ఇతను భారతీయ జనసంఘ్తో తన రాజకీయ జీవితాన్ని ప్రారంభించాడు, అది చివరికి భారతీయ జనతా పార్టీగా మారింది, క్రియాశీల రాజకీయాల్లో చేరిన తర్వాత తన ఇంటిపేరు ""బన్స్వాల్""ని వదులుకున్నాడు. ఇతను 4వ (1967-1970), 6వ (1977-1979), 7వ (1979-1984), 11వ లోక్సభలలో (1996-1997) హర్యానాలోని అంబాలా పార్లమెంటరీ నియోజకవర్గానికి ప్రాతినిధ్యం వహించాడు. 1987లో హర్యానా అసెంబ్లీకి ఎన్నికై 1987, 1989 మధ్య దేవీలాల్ ప్రభుత్వంలో రెవెన్యూ మంత్రిగా పనిచేశారు. దేవి లాల్ పార్టీతో బిజెపి పొత్తును తెంచుకున్న తరువాత, ఇతను హర్యానా అసెంబ్లీలో ప్రతిపక్ష నాయకుడిగా పనిచేశాడు (1989-1990). 1984లో బీజేపీ హర్యానా యూనిట్ రాష్ట్ర అధ్యక్షుడిగా నియమితులయ్యారు. 1996లో, ఇతను మొదటి వాజ్పేయి మంత్రివర్గంలో వ్యవసాయ మంత్రిగా నియమితుడయ్యాడు, ఆ తర్వాత ఇతను యునైటెడ్ ఫ్రంట్ ప్రభుత్వంలో (జూలై) 11వ లోక్సభకు డిప్యూటీ స్పీకర్గా పనిచేశాడు. 1996 నుండి ఫిబ్రవరి. 1997). ఇతను 1998 లోక్సభ ఎన్నికలలో పోటీ చేసాడు, కానీ BSP, అమన్కుమార్ నాగ్రా చేతిలో ఓడిపోయాడు. "
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,"''' Early political career '''
She was a member of the Haryana Legislative Assembly from 1977 to 1982, winning the Ambala Cantonment assembly seat at the age of 25; and then, again from 1987 to 1990. In July 1977, she was sworn in as a Cabinet Minister in the Janata Party Government headed by then Chief Minister Devi Lal. She held the Labour and Employment ministries from 1977 to 1979. Later she became Minister of Education, Food and Civil supplies during 1987 to 1990. She became State President of the Janata Party (Haryana) in 1979, at the age of 27. She was Education Minister of Haryana state in the Bharatiya Janata Party–Lok Dal coalition government from 1987 to 1990.In April 1990, she was elected as a member of the Rajya Sabha and remained there until she was elected to the 11th Lok Sabha from South Delhi constituency in 1996. Swaraj was elected to the 11th Lok Sabha from the South Delhi constituency in the April 1996 elections.


''' Minister of Information and Broadcasting (1996) '''
She served as Union Cabinet Minister for Information and Broadcasting during the 13-day government of PM Atal Bihari Vajpayee in 1996.


''' Chief Minister of Delhi (1998) '''

After a tenure in national level politics, she resigned from the Union Cabinet in October 1998 to take over as the fifth Chief Minister of Delhi","''' ప్రారంభ రాజకీయ జీవితం '''ఈమె 1977 నుండి 1982 వరకు హర్యానా శాసనసభ సభ్యురాలు, 25 సంవత్సరాల వయస్సులో అంబాలా కంటోన్మెంట్ అసెంబ్లీ సీటును గెలుచుకున్నారు; ఆపై, మళ్లీ 1987 నుండి 1990 వరకు. జూలై 1977లో అప్పటి ముఖ్యమంత్రి దేవి లాల్ నేతృత్వంలోని జనతా పార్టీ ప్రభుత్వంలో ఈమె క్యాబినెట్ మంత్రిగా ప్రమాణ స్వీకారం చేశారు. ఈమె 1977 నుండి 1979 వరకు కార్మిక, ఉపాధి మంత్రిత్వ శాఖలను నిర్వహించారు. తరువాత ఈమె 1987 నుండి 1990 వరకు విద్య, ఆహారం, పౌర సరఫరాల మంత్రి అయ్యారు. ఈమె 27 ఏళ్ల వయసులో 1979లో జనతా పార్టీ (హర్యానా) రాష్ట్ర అధ్యక్షురాలైంది. ఈమె 1987 నుండి 1990 వరకు భారతీయ జనతా పార్టీ-లోక్ దళ్ సంకీర్ణ ప్రభుత్వంలో హర్యానా రాష్ట్ర విద్యా మంత్రిగా ఉన్నారు. ఏప్రిల్ 1990లో, ఈమె రాజ్యసభ సభ్యురాలుగా ఎన్నికయ్యారు, 1996లో దక్షిణ ఢిల్లీ నియోజకవర్గం నుండి 11వ లోక్సభకు ఎన్నికయ్యే వరకు అక్కడే ఉన్నారు. స్వరాజ్ ఏప్రిల్ 1996 ఎన్నికలలో దక్షిణ ఢిల్లీ నియోజకవర్గం నుండి 11వ లోక్సభకు ఎన్నికయ్యారు. '''సమాచార, ప్రసార శాఖ మంత్రి (1996) '''ఈమె 1996లో PM అటల్ బిహారీ వాజ్పేయి 13 రోజుల ప్రభుత్వంలో సమాచార, ప్రసారాల కొరకు కేంద్ర కేబినెట్ మంత్రిగా పనిచేశారు. '''ఢిల్లీ ముఖ్యమంత్రి (1998) '''జాతీయ స్థాయి రాజకీయాల్లో పదవీకాలం తర్వాత, ఈమె అక్టోబర్ 1998లో ఢిల్లీ ఐదవ ముఖ్యమంత్రిగా బాధ్యతలు చేపట్టేందుకు కేంద్ర మంత్రివర్గానికి రాజీనామా చేశారు. "
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,"''' The early days '''
In 1930s he joined the Akali Dal political party and by the mid forties he was a prominent leader in the mid-1940s. He played an important role in the compromise between the Indian national congress party and the Akali Dal in the early 1940s.Just before the 1946 elections, the Panthic Party was formed with Baldev Singh as the leader and Singh was elected its deputy leader. In 1946 he was elected a member of the Punjab legislative assembly.  He then became parliamentary secretary to the Punjab Coalition government.He was a member of the Punjab Partition Committee where he played an important role.On 15 August 1947, the day of Indian Independence he was sworn in as Home Minister in the cabinet of the state of Punjab. At the same time the capital of the Punjab was shifted from Shimla to Jalandhar.On 13 May 1952 he resigned his position here when Jawaharlal Nehru included him in the central cabinet.


''' In the central government '''
He entered the cabinet of India's first prime minister, Jawaharlal Nehru, in 1952, and was that government's last surviving member","''' తొలి రోజులు '''1930లలో ఇతను అకాలీదళ్ రాజకీయ పార్టీలో చేరాడు, నలభైల మధ్య నాటికి 1940ల మధ్యలో ప్రముఖ నాయకుడిగా ఎదిగాడు. 1940ల ప్రారంభంలో భారత జాతీయ కాంగ్రెస్ పార్టీ, అకాలీదళ్ మధ్య రాజీలో ఇతను ముఖ్యమైన పాత్ర పోషించాడు. 1946 ఎన్నికలకు ముందు, బల్దేవ్ సింగ్ నాయకుడిగా పాంథిక్ పార్టీ స్థాపించబడింది, సింగ్ దాని ఉప నాయకుడిగా ఎన్నికయ్యారు. 1946లో పంజాబ్ శాసన సభ సభ్యునిగా ఎన్నికయ్యారు. ఆ తర్వాత పంజాబ్ సంకీర్ణ ప్రభుత్వానికి పార్లమెంటరీ కార్యదర్శి అయ్యారు. ఇతను పంజాబ్ విభజన కమిటీ సభ్యుడు, అక్కడ ఇతను ముఖ్యమైన పాత్ర పోషించాడు. 1947 ఆగస్టు 15న, భారత స్వాతంత్ర్య దినం, పంజాబ్ రాష్ట్ర మంత్రివర్గంలో హోంమంత్రిగా ప్రమాణ స్వీకారం చేశారు. అదే సమయంలో పంజాబ్ రాజధాని సిమ్లా నుండి జలంధర్కు మార్చబడింది. 1952 మే 13న జవహర్లాల్ నెహ్రూ ఆయనను కేంద్ర మంత్రివర్గంలో చేర్చుకోవడంతో ఇక్కడ తన పదవికి రాజీనామా చేశారు. '''కేంద్ర ప్రభుత్వంలో '''ఆయన 1952లో భారత తొలి ప్రధాని జవహర్లాల్ నెహ్రూ మంత్రివర్గంలోకి ప్రవేశించారు, ఆ ప్రభుత్వంలో జీవించి ఉన్న చివరి సభ్యుడు. "
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,"He was elected to the Rajya Sabha in 1972 and was appointed the Union Minister for Railways. In 1973, he was given the responsibility for the newly created Ministry of Heavy Industries, and subsequently, additional charge of the Ministry of Steel and Mines. Pai took over the responsibility of the Ministry of Industry and Civil Supplies in 1974. 
He represented Udupi Lok Sabha constituency in 1977 as an Indian National Congress candidate. In 1979 when D. Devaraj Urs parted ways with Indian National Congress and created Indian National Congress (U), Pai joined him and moved to the new party. In the 1980 Indian general election he contested again from Udupi (Lok Sabha constituency) as a nominee of Indian National Congress (U) and lost elections to Oscar Fernandes.In 1977, Pai was one among the three ministers from the cabinet of Indira Gandhi who were examined by Shah Commission on emergency excesses. Pai gave testimony against Indira Gandhi saying the ministry was 'under siege' and he protested the decisions. The 1998 book by Australian journalist, Hamish McDonald titled The Polyester Prince made references about Pai and his relationship with Dhirubhai Ambani","1972లో రాజ్యసభకు ఎన్నికై కేంద్ర రైల్వే శాఖ మంత్రిగా నియమితులయ్యారు. 1973లో, ఇతను కొత్తగా సృష్టించిన భారీ పరిశ్రమల మంత్రిత్వ శాఖకు బాధ్యత వహించాడు, తదనంతరం, ఉక్కు, గనుల మంత్రిత్వ శాఖకు అదనపు బాధ్యతలు అప్పగించారు. పాయ్ 1974లో పరిశ్రమలు, పౌర సరఫరాల మంత్రిత్వ శాఖ బాధ్యతలను స్వీకరించారు. ఇతను 1977లో భారత జాతీయ కాంగ్రెస్ అభ్యర్థిగా ఉడిపి లోక్సభ నియోజకవర్గానికి ప్రాతినిధ్యం వహించాడు. 1979లో డి. దేవరాజ్ ఉర్స్ ఇండియన్ నేషనల్ కాంగ్రెస్ నుండి విడిపోయారు, ఇండియన్ నేషనల్ కాంగ్రెస్ (U)ని స్థాపించారు, పాయ్ అతనితో చేరారు, కొత్త పార్టీకి మారారు. 1980 భారత సార్వత్రిక ఎన్నికలలో ఇతను ఉడిపి (లోక్సభ నియోజకవర్గం) నుండి భారత జాతీయ కాంగ్రెస్ (యు) నామినీగా మళ్లీ పోటీ చేసి ఆస్కార్ ఫెర్నాండెజ్ చేతిలో ఓడిపోయాడు. 1977లో ఇందిరాగాంధీ మంత్రివర్గంలోని ముగ్గురు మంత్రుల్లో ఎమర్జెన్సీ మితిమీరిపోవడంపై షా కమీషన్ పరిశీలించిన వారిలో పాయ్ ఒకరు. మంత్రిత్వ శాఖ 'సీజ్లో ఉంది' అని ఇందిరా గాంధీకి వ్యతిరేకంగా పాయ్ వాంగ్మూలం ఇచ్చాడు, ఇతను నిర్ణయాలను నిరసించాడు. 1998లో ఆస్ట్రేలియన్ జర్నలిస్ట్ హమీష్ మెక్డొనాల్డ్ రాసిన ది పాలిస్టర్ ప్రిన్స్ అనే పుస్తకం పాయ్ గురించి, ధీరూభాయ్ అంబానీతో అతని సంబంధం గురించి ప్రస్తావించింది. "
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,,
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
4006,T. Narayanayajwa Ramachandran,,
4007,T. P. Lahane,,
4008,T. P. Meenakshisundaram,,
4009,T. R. Mahalingam,,
4010,T. R. Seshadri,,
4011,T. S. Avinashilingam Chettiar,,
4012,T. S. Chandrasekar,,
4013,T. S. Prahlad,,
4014,T. S. Ramaswami Aiyer,,
4015,T. S. Satyan,,
4016,T. S. Soundram,,
4017,T. Sailo,,
4018,T. V. Devarajan,,
4019,T. V. Gopalakrishnan,,
4020,T. V. Mahalingam,,
4021,T. V. Narayana,,
4022,T. V. R. Shenoy,,
4023,T. V. Rajeswar,,
4024,T. V. Ramakrishnan,,
4025,T. V. Sankaranarayanan,,
4026,T. Varadachari Ramanujam,,
4027,T. Venkatapathi Reddiar,,
4028,T.V. Mohandas Pai,,
4029,Taarak Mehta,,
4030,Tabu,,
4031,Tadepalli Venkanna,,
4032,Tafazzul Ali,,
4033,Talat Mahmood,,
4034,Tan Chung,,
4035,Tao Porchon-Lynch,,
4036,Tapan Raychaudhuri,,
4037,Tapan Sinha,,
4038,Tapishwar Narain Raina,,
4039,Tara Chand,,
4040,Tara Cherian,,
4041,Tarabai Modak,,
4042,Taranath Narayan Shenoy,,
4043,Tarapada Basu,,
4044,Taraprasad Das,,
4045,Tarasankar Bandyopadhyay,,
4046,Tarla Dalal,,
4047,Tarlochan Singh,,
4048,Tarlochan Singh Kler,,
4049,Tarlok Singh (economist),,
4050,Taro Nakayama,,
4051,Tarun Das,,
4052,Tarun Gogoi,"Gogoi started his political career as a member of the municipal board at Jorhat in 1968 before being elected to the Fifth Lok Sabha in 1971 from Jorhat. He represented Jorhat in Lok Sabha through the next two terms until 1985. He represented Kaliabor in the Tenth Lok Sabha between 1991 and 1996, and the Twelfth and Thirteenth Lok Sabha between 1998 and 2001. He quit the Thirteenth Lok Sabha, mid-term, to assume office as the Chief Minister of Assam in 2001, serving a total of six terms as a member of parliament.During his second term in the Lok Sabha, he was elected as the Joint Secretary of the All India Congress Committee (AICC) in 1976 under Prime Minister Indira Gandhi. He later served as the General Secretary of the AICC, from 1985 to 1990, under Prime Minister Rajiv Gandhi. He served in the Union Cabinet of India under Prime Minister P. V. Narasimha Rao as the Union Minister of State in the Ministry of Food Processing Industries between 1991 and 1996. He was a member of the Committee on Government Assurances, Consultative Committee, Union Ministry of Petroleum and Natural Gas, and Committee on External Affairs in the Tenth Lok Sabha","1971లో జోర్హాట్ నుంచి ఐదవ లోక్సభకు ఎన్నికయ్యే ముందు 1968లో జోర్హాట్లోని మునిసిపల్ బోర్డు సభ్యునిగా గొగోయ్ తన రాజకీయ జీవితాన్ని ప్రారంభించారు. ఇతను 1985 వరకు తదుపరి రెండు పర్యాయాలు లోక్సభకు జోర్హాట్కు ప్రాతినిధ్యం వహించాడు. ఇతను 1991, 1996 మధ్య పదవ లోక్సభకు, 1998, 2001 మధ్య పన్నెండవ, పదమూడవ లోక్సభకు కలియాబోర్కు ప్రాతినిధ్యం వహించాడు. ఇతను 2001లో అస్సాం ముఖ్యమంత్రిగా పదమూడవ లోక్సభ నుండి పదమూడవ లోక్సభను విడిచిపెట్టాడు, మొత్తం ఆరు సార్లు పార్లమెంటు సభ్యునిగా పనిచేశాడు. లోక్సభలో రెండోసారి ఎన్నికైన సమయంలో, 1976లో ప్రధాని ఇందిరా గాంధీ ఆధ్వర్యంలో అఖిల భారత కాంగ్రెస్ కమిటీ (AICC) జాయింట్ సెక్రటరీగా ఎన్నికయ్యారు. తర్వాత 1985 నుండి 1990 వరకు ప్రధాని రాజీవ్ గాంధీ హయాంలో AICC ప్రధాన కార్యదర్శిగా పనిచేశారు. ఇతను ప్రధానమంత్రి పి ఆధ్వర్యంలో భారత కేంద్ర మంత్రివర్గంలో పనిచేశాడు. వి. నరసింహారావు 1991, 1996 మధ్య ఫుడ్ ప్రాసెసింగ్ పరిశ్రమల మంత్రిత్వ శాఖలో కేంద్ర సహాయ మంత్రిగా ఉన్నారు. పదవ లోక్సభలో ప్రభుత్వ హామీల కమిటీ, కన్సల్టేటివ్ కమిటీ, కేంద్ర పెట్రోలియం, సహజ వాయువు మంత్రిత్వ శాఖ, విదేశాంగ వ్యవహారాల కమిటీలో ఆయన సభ్యుడు. "
4053,Tarun Majumdar,,
4054,Tarundeep Rai,,
4055,Tashi Tondup,,
4056,Tatyana Elizarenkova,,
4057,Teejan Bai,,
4058,Teesta Setalvad,,
4059,Tehemton Erach Udwadia,,
4060,Tejas Patel,,
4061,Tejomayananda,,
4062,Tekkatte Narayan Shanbhag,,
4063,Tekur Kashi Nath,,
4064,Telo Mascarenhas,,
4065,Temsula Ao,,
4066,Tenzing Norgay,,
4067,Tetsu Nakamura,,
4068,Thackkadu Natesasastrigal Jagadisan,,
4069,Thakazhi Sivasankara Pillai,,
4070,Thakur Jaideva Singh,,
4071,Thalappil Pradeep,,
4072,Thanga Darlong,,
4073,Thangam Philip,,
4074,Thanikachalam Sadagopan,,
4075,Thant Myint-U,,
4076,Thanu Padmanabhan,,
4077,Thapfoorya Haralu,,
4078,Thayil John Cherian,,
4079,Theilin Phanbuh,,
4080,Thekkethil Kochandy Alex,,
4081,Thenumgal Poulose Jacob,,
4082,Thiagarajan Muthian,,
4083,Thikkurissy Sukumaran Nair,,
4084,Thilakan,,
4085,Thingbaijam Babu Singh,,
4086,Thirumalachari Ramasami,,
4087,Thirumalraya Swaminathan,,
4088,Thiruvengadam Lakshman Sankar,,
4089,Thiruvizhimazhalai Subramania Pillai,,
4090,Thomas Kailath,,
4091,Thomas Kunnunkal,,
4092,Thoppil Varghese Antony,,
4093,Thota Tharani,,
4094,Thrity H. Taleyarkhan,,
4095,Tilak Gitai,,
4096,Tiruppattur R. Venkatachala Murthi,,
4097,Tiruvadi Sambasiva Venkataraman,,
4098,Tiruvadi Venkataraman Ramamurti,,
4099,Tokheho Sema,,
4100,Tom Alter,,
4101,Tomio Mizokami,,
4102,Tommy Koh,,
4103,Tony Fernandez,,
4104,Toppur Seethapathy Sadasivan,,
4105,Tribhuvandas Kishibhai Patel,,
4106,Tribhuvandas Luhar (Sundaram),,
4107,Trichur V. Ramachandran,,
4108,Tridib Nath Banerjee,,
4109,Triguna Sen,,
4110,Trilochan Pradhan,,
4111,Triloki Nath Chaturvedi,,
4112,Triloki Nath Khoshoo,,
4113,Trilokinath Sharma,,
4114,Trinity Saioo,,
4115,Tripti Mitra,,
4116,Tripti Mukherjee,,
4117,Tripuraneni Hanuman Chowdary,,
4118,Trivandrum Kannusami Pillai Shanmugam,,
4119,Tsering Landol,,
4120,Tsering Norboo,,
4121,Tsering Wangdus,,
4122,Tsultrim Chonjor,,
4123,Tulasi Gowda,,
4124,Tulasi Munda,,
4125,Tulsi Das,,
4126,Tulsidas Borkar,,
4127,Tumkur Ramaiya Satishchandran,,
4128,Turlapaty Kutumba Rao,,
4129,Tushar Kanjilal,,
4130,Tushar Kanti Ghosh,,
4131,Tyeb Mehta,,
4132,U. N. Dhebar,,
