,Recipients,recognition,recognition Telugu
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,"Sahitya Akademi Award, 1964
Afro-Asian Lotus Prize, 1977
Kumaran Asan Award, 1982
Mirzo Tursunzoda Prize (USSR), 1982
Ananda Puraskar, 1991
Soviet Land Nehru Award
Jnanpith Award, 1991.He was a fellow of the Sahitya Akademi, and was the Deputy Secretary of the Progressive Writers' Union. He was conferred Deshikottama (Honorary D.Litt.) by the Visva-Bharati University, Santiniketan. He was the Organizer-General of the Afro-Asian Writers' Association in 1983. He was also a member of the Executive Board of the Sahitya Akademi since 1987.
The U.S. Library of Congress has a collection of forty titles by him including translations","సాహిత్య అకాడమీ అవార్డు, 1964 ఆఫ్రో-ఏషియన్ లోటస్ ప్రైజ్, 1977 కుమారన్ అసన్ అవార్డు, 1982 మీర్జో తుర్సుంజోడా ప్రైజ్ (USSR), 1982 ఆనంద పురస్కారం, 1991 సోవియట్ ల్యాండ్ నెహ్రూ అవార్డు జ్ఞానపీఠ అవార్డు, 1991. ఇతను సాహిత్య అకాడమీ సహచరుడు, ప్రగతిశీల రచయితల సంఘం ఉప కార్యదర్శి. అతనికి దేశికోత్తమ (గౌరవ డి. కొంచెం. ) విశ్వభారతి విశ్వవిద్యాలయం, శాంతినికేతన్ ద్వారా. ఇతను 1983లో ఆఫ్రో-ఆసియన్ రైటర్స్ అసోసియేషన్, ఆర్గనైజర్-జనరల్. 1987 నుండి సాహిత్య అకాడమీ కార్యనిర్వాహక మండలి సభ్యుడు కూడా. యు. ఎస్. లైబ్రరీ ఆఫ్ కాంగ్రెస్ అనువాదాలతో సహా అతని నలభై శీర్షికల సేకరణను కలిగి ఉంది. "
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,"Her reputation as a successful artiste resulted in her appointment as lecturer in Rabindra Bharati University, where she held the prestigious office of Head of the Department of Music. She also succeeded Pankaj Mullick in Sangeet Sikshar Asar - a very popular programme of Akashvani - a tutorial on Rabindrasangeet that was broadcast live.  In recognition of her creative talents, Suchitra Mitra received numerous accolades. Some of Mitra's notable awards included.

Tagore Hymn Prize in 1945 from London Tagore Hymn Society.
Padma Shri in 1974 from the Government of India
Sangeet Natak Academy Award in 1986 from the Government of India
HMV Golden Disc Award,
Shiromoni Puraskar from Asian Paints,
Desikottama from Visva-Bharati,
Allauddin Puraskar from the Government of West Bengal, among numerous others.She was conferred 3 honorary D.Litt. degrees by the Rabindra Bharati University, the University of Burdwan and Jadavpur University. As aforementioned, Mitra was also the recipient of the Desikottama (or honorary D","విజయవంతమైన కళాకారిణిగా ఈమె ఖ్యాతిని రవీంద్రభారతి విశ్వవిద్యాలయంలో అధ్యాపకురాలిగా నియమించారు, అక్కడ ఈమె సంగీత విభాగాధిపతిగా ప్రతిష్టాత్మకమైన కార్యాలయాన్ని నిర్వహించింది. ఈమె సంగీత శిక్ష్ అసర్లో పంకజ్ ముల్లిక్ వారసుడు - ఆకాశవాణి, చాలా ప్రజాదరణ పొందిన కార్యక్రమం - ప్రత్యక్ష ప్రసారం చేయబడిన రవీంద్రసంగీత్పై ట్యుటోరియల్. ఈమె సృజనాత్మక ప్రతిభకు గుర్తింపుగా, సుచిత్రా మిత్ర అనేక ప్రశంసలు అందుకుంది. మిత్రా, కొన్ని ప్రముఖ అవార్డులు ఉన్నాయి. లండన్ టాగోర్ హైమ్ సొసైటీ నుండి 1945లో టాగోర్ హైమ్ ప్రైజ్. 1974లో భారత ప్రభుత్వ సంగీత నాటక అకాడమీ అవార్డు 1986లో భారత ప్రభుత్వం నుంచి పద్మశ్రీ, హెచ్ఎంవీ గోల్డెన్ డిస్క్ అవార్డు, ఏషియన్ పెయింట్స్ నుంచి శిరోమోని పురస్కారం, విశ్వభారతి నుంచి దేశికోత్తమ, పశ్చిమ బెంగాల్ ప్రభుత్వం నుంచి అల్లావుద్దీన్ పురస్కారం, అనేక ఇతరాలు. ఈమెకు 3 గౌరవ డి. కొంచెం. రవీంద్రభారతి విశ్వవిద్యాలయం, బుర్ద్వాన్ విశ్వవిద్యాలయం, జాదవ్పూర్ విశ్వవిద్యాలయం నుండి డిగ్రీలు పొందారు. పైన పేర్కొన్న విధంగా, మిత్రా దేశికోత్తమ (లేదా గౌరవ D) గ్రహీత కూడా. "
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),"The Royal Asiatic Society of London honoured him with a Jubilee Gold Medal in 1984, making him the first Asian to receive the prize. Other prizes include the Rabindra Puraskar (1963), Ananda Puraskar (1966, 1984), Vidyasagar Puraskar (1981), Desikottam (1982), and the Padma Bhushan (1990). The Asiatic Society, Calcutta, awarded him the Jadunath Sarkar Medal. He was elected as an honorary fellow of Sahitya Akademi in 1973.He received the prestigious Ashutosh Memorial Gold Medal and Griffith Memorial prize twice. He was also awarded the University Gold medal and Sarojini medal.
A college in Gotan was named in his honour.","లండన్లోని రాయల్ ఏషియాటిక్ సొసైటీ 1984లో జూబ్లీ గోల్డ్ మెడల్తో సత్కరించింది, ఈ బహుమతిని అందుకున్న మొదటి ఆసియన్గా నిలిచాడు. ఇతర బహుమతులలో రవీంద్ర పురస్కారం (1963), ఆనంద పురస్కారం (1966, 1984), విద్యాసాగర్ పురస్కారం (1981), దేశికోట్టం (1982),, పద్మ భూషణ్ (1990) ఉన్నాయి. ఏషియాటిక్ సొసైటీ, కలకత్తా, అతనికి జాదునాథ్ సర్కార్ మెడల్ అందించింది. 1973లో సాహిత్య అకాడెమీ గౌరవ సభ్యునిగా ఎన్నికయ్యారు. ఇతను ప్రతిష్టాత్మకమైన అశుతోష్ మెమోరియల్ గోల్డ్ మెడల్, గ్రిఫిత్ మెమోరియల్ ప్రైజ్ రెండుసార్లు అందుకున్నాడు. అతనికి యూనివర్సిటీ గోల్డ్ మెడల్, సరోజిని మెడల్ కూడా లభించాయి. అతని గౌరవార్థం గోటాన్లోని ఒక కళాశాలకు పేరు పెట్టారు. "
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,"Suresh Krishna took active interest in representing the voice of the industry.  He served as the President of the Automotive Component Manufacturers Association of India from 1982 to 1984 and as the President of the Confederation of Indian Industry from 1987 to 1988.Suresh Krishna's counsel was sought after by many organizations by way of appointing him as a Director on their Governing Boards.  Besides being a Director on the Board of several TVS Group companies, he has also been a Director on the Boards of the Industrial Credit & Investment Corporation of India, Tata Steel, Videsh Sanchar Nigam Ltd, Institute for Financial Management & Research, etc.
Both the Central and State Governments have recognized him by having him as a member of several public bodies and committees from time to time.  He was appointed as a Director on the Central Board of the Reserve Bank of India. He was one of the members of the Advisory Council to the Prime Minister formed to advise the Prime Minister on matters relating to trade and industry.","పరిశ్రమ వాయిస్కి ప్రాతినిధ్యం వహించడంలో సురేష్ కృష్ణ చురుకైన ఆసక్తిని కనబరిచారు. ఇతను 1982 నుండి 1984 వరకు ఆటోమోటివ్ కాంపోనెంట్ మ్యానుఫ్యాక్చరర్స్ అసోసియేషన్ ఆఫ్ ఇండియా అధ్యక్షుడిగా, 1987 నుండి 1988 వరకు భారత పరిశ్రమల సమాఖ్య అధ్యక్షుడిగా పనిచేశాడు. సురేశ్ కృష్ణను తమ పాలక మండలిలో డైరెక్టర్గా నియమించడం ద్వారా అనేక సంస్థలు అతని న్యాయవాదిని కోరాయి. అనేక TVS గ్రూప్ కంపెనీల బోర్డులో డైరెక్టర్గా ఉండటమే కాకుండా, ఇతను ఇండస్ట్రియల్ క్రెడిట్ & ఇన్వెస్ట్మెంట్ కార్పొరేషన్ ఆఫ్ ఇండియా, టాటా స్టీల్, విదేశ్ సంచార్ నిగమ్ లిమిటెడ్, ఇన్స్టిట్యూట్ ఫర్ ఫైనాన్షియల్ మేనేజ్మెంట్ & రీసెర్చ్ మొదలైన బోర్డులలో డైరెక్టర్గా కూడా ఉన్నారు. కేంద్ర, రాష్ట్ర ప్రభుత్వాలు ఆయనను ఎప్పటికప్పుడు అనేక ప్రజా సంఘాలు, కమిటీలలో సభ్యునిగా చేయడం ద్వారా గుర్తించాయి. రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా సెంట్రల్ బోర్డ్లో డైరెక్టర్గా నియమితులయ్యారు. వాణిజ్యం, పరిశ్రమలకు సంబంధించిన విషయాలపై ప్రధానమంత్రికి సలహా ఇచ్చేందుకు ఏర్పాటు చేసిన ప్రధానమంత్రి సలహా మండలి సభ్యులలో ఆయన ఒకరు. "
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,"Askari awarded the title of ""Khan Saheb"" by the British Indian Government in 1945.Askari was presented the Ghalib Award in 1974 by his Excellency Fakhruhddin Ali Ahmad, the then President of India.Neelam Sanjeeva Reddy presented  the President's Certificate of Honor to Askari, in 1978.Gyani Zail Singh, awarded Padma Shri to Askari in 1985.","అస్కారీకి 1945లో బ్రిటిష్ భారత ప్రభుత్వం ""ఖాన్ సాహెబ్"" బిరుదును ప్రదానం చేసింది. అస్కారీకి 1974లో అప్పటి భారత రాష్ట్రపతి అయిన ఎక్సలెన్సీ ఫక్రుద్దీన్ అలీ అహ్మద్ గాలిబ్ అవార్డును అందజేశారు. నీలం సంజీవ రెడ్డి 1978లో అస్కారీకి రాష్ట్రపతి సర్టిఫికేట్ ఆఫ్ హానర్ అందించారు. గ్యానీ జైల్ సింగ్, 1985లో అస్కారీకి పద్మశ్రీ పురస్కారం అందించారు. "
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,,
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,"Murthy has received honors and awards including the following:

Laya Ratnakara from Sivananda Saraswati, Rishikesh,
Kalaimamani from the T.N. Iyal Isai Nataka Mandram,
Mridanga Bhoopathy from Chembai Vaidyanatha Bhagavathar,
Mridanga Bhooshanam from Sri Sankaracharya of Kanchipuram,
Sangeet Natak Academy Award in 1987,
Palghat Mani Iyer Award by Percussive Arts Centre, Bangalore,
Tala Vilas Award by Sur Singar Samsad, Bombay,
Kerala Sangeet Nataka Academy Fellowship,
Sangeetha Kalanidhi of The Music Academy.
Sangeet Natak Academy Fellowship, 2010 (See List of Sangeet Natak Akademi fellows § List of fellows
Padma Shri by the Government of India, 2017He was the Asthana Vidwan in Trivandrum Palace. He is a graded ""National Artiste"" of Prasar Bharathi.","మూర్తి కింది వాటితో సహా సన్మానాలు, అవార్డులను అందుకున్నారు: శివానంద సరస్వతి నుండి లయ రత్నాకర, రిషికేశ్, టి నుండి కళైమామణి. ఎన్. ఇయల్ ఇసాయి నాటక మండ్రం, చెంబై వైద్యనాథ భాగవతార్ నుండి మృదంగ భూపతి, కాంచీపురం శ్రీ శంకరాచార్యుల నుండి మృదంగ భూషణం, 1987లో సంగీత నాటక అకాడమీ అవార్డు, పాల్ఘాట్ మణి అయ్యర్ అవార్డు, బెంగుళూరులోని పెర్క్యూసివ్ ఆర్ట్స్ సెంటర్, తాల విలాస్ అవార్డ్, బెంగళూరు, తాల విలాస్ అవార్డ్, సుర్ సింగరాయ్ కేరళ. నాటక అకాడమీ ఫెలోషిప్, ది మ్యూజిక్ అకాడమీకి చెందిన సంగీత కళానిధి. సంగీత నాటక అకాడమీ ఫెలోషిప్, 2010 (సంగీత నాటక అకాడమీ సభ్యుల జాబితా చూడండి § భారత ప్రభుత్వంచే సహచరుల జాబితా పద్మశ్రీ, 2017 ఇతను త్రివేండ్రం ప్యాలెస్లో ఆస్థాన విద్వాన్. ఇతను ప్రసార భారతి, గ్రేడెడ్ ""నేషనల్ ఆర్టిస్ట్"". "
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
4006,T. Narayanayajwa Ramachandran,,
4007,T. P. Lahane,,
4008,T. P. Meenakshisundaram,,
4009,T. R. Mahalingam,,
4010,T. R. Seshadri,,
4011,T. S. Avinashilingam Chettiar,,
4012,T. S. Chandrasekar,,
4013,T. S. Prahlad,,
4014,T. S. Ramaswami Aiyer,,
4015,T. S. Satyan,,
4016,T. S. Soundram,,
4017,T. Sailo,,
4018,T. V. Devarajan,,
4019,T. V. Gopalakrishnan,,
4020,T. V. Mahalingam,,
4021,T. V. Narayana,,
4022,T. V. R. Shenoy,,
4023,T. V. Rajeswar,,
4024,T. V. Ramakrishnan,,
4025,T. V. Sankaranarayanan,,
4026,T. Varadachari Ramanujam,,
4027,T. Venkatapathi Reddiar,,
4028,T.V. Mohandas Pai,,
4029,Taarak Mehta,,
4030,Tabu,,
4031,Tadepalli Venkanna,,
4032,Tafazzul Ali,,
4033,Talat Mahmood,,
4034,Tan Chung,,
4035,Tao Porchon-Lynch,,
4036,Tapan Raychaudhuri,,
4037,Tapan Sinha,,
4038,Tapishwar Narain Raina,,
4039,Tara Chand,"Allahabad University established the Dr. Tara Chand hostel in Chand's memory.  The University Alumni Association grants an annual scholarship in his name.
Tarachand Gold Medal for History is awarded in his name.
Tarachand Gold Medal was awarded to Chandrarekha Mantri for obtaining highest number of marks in History at the All India Higher Secondary Examination of Central Board of Secondary Education held in 1973.",అలహాబాద్ విశ్వవిద్యాలయం డా. చంద్ జ్ఞాపకార్థం తారా చంద్ హాస్టల్. యూనివర్సిటీ పూర్వ విద్యార్థుల సంఘం అతని పేరు మీద వార్షిక స్కాలర్షిప్ను మంజూరు చేస్తుంది. తారాచంద్ చరిత్రకు బంగారు పతకం అతని పేరు మీద ఇవ్వబడింది. 1973లో జరిగిన సెంట్రల్ బోర్డ్ ఆఫ్ సెకండరీ ఎడ్యుకేషన్ ఆల్ ఇండియా హయ్యర్ సెకండరీ పరీక్షలో చరిత్రలో అత్యధిక మార్కులు సాధించినందుకు చంద్రరేఖ మంత్రికి తారాచంద్ గోల్డ్ మెడల్ లభించింది. 
4040,Tara Cherian,,
4041,Tarabai Modak,,
4042,Taranath Narayan Shenoy,,
4043,Tarapada Basu,,
4044,Taraprasad Das,,
4045,Tarasankar Bandyopadhyay,,
4046,Tarla Dalal,,
4047,Tarlochan Singh,,
4048,Tarlochan Singh Kler,,
4049,Tarlok Singh (economist),,
4050,Taro Nakayama,,
4051,Tarun Das,,
4052,Tarun Gogoi,,
4053,Tarun Majumdar,,
4054,Tarundeep Rai,,
4055,Tashi Tondup,,
4056,Tatyana Elizarenkova,,
4057,Teejan Bai,,
4058,Teesta Setalvad,,
4059,Tehemton Erach Udwadia,,
4060,Tejas Patel,"Tejas Patel, whose name was listed in the 18th edition of Marquis Who's Who, He is a recipient of Dr. K. Sharan Cardiology Excellence Award from the Indian Medical Association. The Government of India awarded him the highest Indian medical award of Dr. B. C. Roy Award in 2005 and Padma Shri in 2015.","తేజస్ పటేల్, అతని పేరు మార్క్విస్ హూస్ హూ, 18వ ఎడిషన్లో జాబితా చేయబడింది, ఇతను డా. కె. ఇండియన్ మెడికల్ అసోసియేషన్ నుండి శరణ్ కార్డియాలజీ ఎక్సలెన్స్ అవార్డు. భారత ప్రభుత్వం అతనికి అత్యున్నత భారతీయ వైద్య పురస్కారం డా. బి. సి. 2005లో రాయ్ అవార్డు, 2015లో పద్మశ్రీ అవార్డులు అందుకున్నారు. "
4061,Tejomayananda,,
4062,Tekkatte Narayan Shanbhag,,
4063,Tekur Kashi Nath,,
4064,Telo Mascarenhas,,
4065,Temsula Ao,,
4066,Tenzing Norgay,,
4067,Tetsu Nakamura,,
4068,Thackkadu Natesasastrigal Jagadisan,,
4069,Thakazhi Sivasankara Pillai,,
4070,Thakur Jaideva Singh,,
4071,Thalappil Pradeep,"Pradeep is a Fellow of the Indian National Science Academy, Indian Academy of Sciences, Indian National Academy of Engineering, The National Academy of Sciences, The Royal Society of Chemistry, The American Association for the Advancement of Science, and The World Academy of Sciences. He has received the lifetime achievement research award of Indian Institute of Technology, Madras and is designated as an Institute Professor.
He is Associate Editor of the journal, ACS Sustainable Chemistry & Engineering, 2014-. 
Editorial Boards: Asian Journal of   Spectroscopy, 2000-; Oriental Journal of Chemistry, 2000-; Nano Reviews, 2010- ACS Applied Materials and Interfaces, 2012–2015; Particle, 2012-; Surface Innovations, 2012-; Nanoscale, 2014-; Chemistry – An Asian Journal, 2014-; Scientific Reports (Nature Group), 2015-; International Journal of Water and Wastewater Treatment, 2015-; Chemistry of Materials, 2018-; ACS Nano, 2018-; Nanoscale Advances, 2019-; Analytical Chemistry, 2020-.","ప్రదీప్ ఇండియన్ నేషనల్ సైన్స్ అకాడమీ, ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, ఇండియన్ నేషనల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్, నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, ది రాయల్ సొసైటీ ఆఫ్ కెమిస్ట్రీ, ది అమెరికన్ అసోసియేషన్ ఫర్ ది అడ్వాన్స్మెంట్ ఆఫ్ సైన్స్, ది వరల్డ్ అకాడమీ ఆఫ్ సైన్సెస్ల ఫెలో. ఇతను ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ, మద్రాస్, జీవితకాల సాఫల్య పరిశోధన అవార్డును అందుకున్నాడు, ఇన్స్టిట్యూట్ ప్రొఫెసర్గా నియమించబడ్డాడు. ఇతను జర్నల్, అసోసియేట్ ఎడిటర్, ACS సస్టైనబుల్ కెమిస్ట్రీ & ఇంజనీరింగ్, 2014-. సంపాదకీయ బోర్డులు: ఏషియన్ జర్నల్ ఆఫ్ స్పెక్ట్రోస్కోపీ, 2000-; ఓరియంటల్ జర్నల్ ఆఫ్ కెమిస్ట్రీ, 2000-; నానో రివ్యూలు, 2010- ACS అప్లైడ్ మెటీరియల్స్, ఇంటర్ఫేస్లు, 2012–2015; పార్టికల్, 2012-; ఉపరితల ఆవిష్కరణలు, 2012-; నానోస్కేల్, 2014-; కెమిస్ట్రీ – ఏషియన్ జర్నల్, 2014-; సైంటిఫిక్ రిపోర్ట్స్ (నేచర్ గ్రూప్), 2015-; ఇంటర్నేషనల్ జర్నల్ ఆఫ్ వాటర్ అండ్ వేస్ట్ వాటర్ ట్రీట్మెంట్, 2015-; కెమిస్ట్రీ ఆఫ్ మెటీరియల్స్, 2018-; ACS నానో, 2018-; నానోస్కేల్ అడ్వాన్సెస్, 2019-; అనలిటికల్ కెమిస్ట్రీ, 2020-. "
4072,Thanga Darlong,,
4073,Thangam Philip,,
4074,Thanikachalam Sadagopan,,
4075,Thant Myint-U,,
4076,Thanu Padmanabhan,,
4077,Thapfoorya Haralu,,
4078,Thayil John Cherian,,
4079,Theilin Phanbuh,,
4080,Thekkethil Kochandy Alex,,
4081,Thenumgal Poulose Jacob,,
4082,Thiagarajan Muthian,,
4083,Thikkurissy Sukumaran Nair,,
4084,Thilakan,,
4085,Thingbaijam Babu Singh,,
4086,Thirumalachari Ramasami,,
4087,Thirumalraya Swaminathan,,
4088,Thiruvengadam Lakshman Sankar,,
4089,Thiruvizhimazhalai Subramania Pillai,,
4090,Thomas Kailath,,
4091,Thomas Kunnunkal,,
4092,Thoppil Varghese Antony,,
4093,Thota Tharani,,
4094,Thrity H. Taleyarkhan,,
4095,Tilak Gitai,,
4096,Tiruppattur R. Venkatachala Murthi,,
4097,Tiruvadi Sambasiva Venkataraman,,
4098,Tiruvadi Venkataraman Ramamurti,,
4099,Tokheho Sema,,
4100,Tom Alter,,
4101,Tomio Mizokami,,
4102,Tommy Koh,,
4103,Tony Fernandez,,
4104,Toppur Seethapathy Sadasivan,,
4105,Tribhuvandas Kishibhai Patel,,
4106,Tribhuvandas Luhar (Sundaram),,
4107,Trichur V. Ramachandran,,
4108,Tridib Nath Banerjee,,
4109,Triguna Sen,,
4110,Trilochan Pradhan,,
4111,Triloki Nath Chaturvedi,,
4112,Triloki Nath Khoshoo,,
4113,Trilokinath Sharma,,
4114,Trinity Saioo,,
4115,Tripti Mitra,,
4116,Tripti Mukherjee,,
4117,Tripuraneni Hanuman Chowdary,,
4118,Trivandrum Kannusami Pillai Shanmugam,,
4119,Tsering Landol,,
4120,Tsering Norboo,,
4121,Tsering Wangdus,,
4122,Tsultrim Chonjor,,
4123,Tulasi Gowda,,
4124,Tulasi Munda,,
4125,Tulsi Das,,
4126,Tulsidas Borkar,,
4127,Tumkur Ramaiya Satishchandran,,
4128,Turlapaty Kutumba Rao,,
4129,Tushar Kanjilal,,
4130,Tushar Kanti Ghosh,,
4131,Tyeb Mehta,,
4132,U. N. Dhebar,,
4133,U. R. Ananthamurthy,,
4134,U. Srinivas,,
4135,Uday Shankar,,
4136,Udaybhansinhji Natwarsinhji Jethwa,,
4137,Uddhab Bharali,,
4138,Udit Narayan,,
4139,Udupi Ramachandra Rao,,
4140,Ujjwal Nikam,,
4141,Ujwala Patil,,
4142,Ulhas Kashalkar,,
