,Recipients,positions held,positions held Telugu
3445,Santosh Kumar Mazumdar,,
3446,Santosh Kumar Mukerji,,
3447,Santosh Kumar Mukherjee,,
3448,Santosh Kumar Sen,,
3449,Santosh Sivan,,
3450,Santosh Yadav,,
3451,Santu Shahaney,,
3452,Sarabjit Singh,,
3453,Sarbdeep Singh Virk,,
3454,Sarbeswar Sahariah,,
3455,Sarda Nand Singh,,
3456,Sarda Prasad Varma,,
3457,Sardar Anjum,,
3458,Sardar Harnarain Singh,,
3459,Sardar Mohan Singh,,
3460,Sardar Sohan Singh,,
3461,Sardara Singh,,
3462,Sardara Singh Johl,,
3463,Sardarilal Mathradas Nanda,,
3464,Sarita Joshi,,
3465,Saroj Chooramani Gopal,,
3466,Saroj Ghose,,
3467,Saroj Kumar Gupta,,
3468,Saroj Raj Choudhury,,
3469,Saroja Chidambaram,,
3470,Saroja Vaidyanathan,,
3471,Sarojini Varadappan,,
3472,Sartaj Singh,,
3473,Sarungbam Bimola Kumari Devi,,
3474,Sarvagya Singh Katiyar,,
3475,Sarvepalli Gopal,,
3476,Saryu Vinod Doshi,,
3477,Sashadhar Mukherjee,,
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,,
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,,
3501,Satya Prakash,,
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,,
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,,
3522,Sengaku Mayeda,"Mayeda is the Professor Emeritus, University of Tokyo and Musashino University. He has held, during his career, various positions of importance.

President - Ashikaga Gakko, Ashikaga
Director - Japanese Association of Indian and Buddhist Studies
Director - Association of Buddhist Thought
Councilor - Japanese Association of Religious Studies
Chairman - Editorial Committee of the English Tripitaka
Chairman - Society for the Promotion of Buddhism
President - Nakamura Hajime Eastern Institute, Tokyo
Director - Nakamura Hajime Memorial Hall, Matsue, Shimane Prefecture
Advisor - Indo-Japanese Association
Director - Indo-Japanese Association
Special Advisor of the Sanin-India Association and Buddhist Studies","మయెడ ప్రొఫెసర్ ఎమెరిటస్, టోక్యో విశ్వవిద్యాలయం, ముసాషినో విశ్వవిద్యాలయం. ఇతను తన కెరీర్లో, అనేక ముఖ్యమైన పదవులను నిర్వహించాడు. ప్రెసిడెంట్ - అషికాగా గక్కో, అషికాగాడైరెక్టర్ - జపనీస్ అసోసియేషన్ ఆఫ్ ఇండియన్ అండ్ బౌద్ధ స్టడీస్ డైరెక్టర్ - అసోసియేషన్ ఆఫ్ బౌద్ధ థాట్ కౌన్సిలర్ - జపనీస్ అసోసియేషన్ ఆఫ్ రిలిజియస్ స్టడీస్ ఛైర్మన్ - ఇంగ్లీష్ త్రిపిటకా ఎడిటోరియల్ కమిటీ ఛైర్మన్ - సొసైటీ ఫర్ ది ప్రమోషన్ ఆఫ్ బౌద్ధమతం ప్రెసిడెంట్ - నకమురా హాజిమే ఈస్టర్న్ ఇన్స్టిట్యూట్, టోక్యోడైరెక్టర్ హాల్, మాట్సూ, షిమనే ప్రిఫెక్చర్ అడ్వైజర్ - ఇండో-జపనీస్ అసోసియేషన్ డైరెక్టర్ - ఇండో-జపనీస్ అసోసియేషన్ సానిన్-ఇండియా అసోసియేషన్, బౌద్ధ అధ్యయనాల ప్రత్యేక సలహాదారు. "
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,,
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,"Sashikumar Chitre has been honored by fellowships by many prominent scientific institutions.
MaxPlanck Fellow at the Max Planck Institute for Extraterrestrial Physics
Indian Academy of Sciences
Indian National Science Academy (1988)
National Academy of Sciences, India (1992)
Third World Academy of Sciences (1999)
Maharashtra Academy of Sciences
Royal Astronomical Society
International Astronomical UnionChitre also served as a visiting fellow or visiting professor at various prestigious institutions around the world.
UGC National Lecturer in Physics - 1975-76
Visiting Professor - University of Cambridge
Visiting Professor - Princeton University
Visiting Professor - University of Sussex
Visiting Professor - University of Amsterdam
Visiting Professor - University of Columbia
Visiting Professor - University of Virginia
Visiting Professor - Queen Mary and Westfield College, University of London - 1992-1993, '94-'95 and '97
Senior Research Associateship at Goddard Space Flight Centre, NASA
Senior Research Associateship of the National Academy of Sciences, USA
Visiting Astronomer - Institute of Astronomy, Cambridge - 2003-2005 and 2007
Perren Visiting Fellow and Visiting Professor - Physical Research Laboratory, Ahmedabad - 1999-2000
Raja Ramanna Fellow - University of Mumbai - 2001-06.He has also held the posts of:
President - Astronomical Society of India
Chairman — Indian National Committee for Astronomy
Chairman — Bombay Association for Science Education
Member, Management Board - National Centre for Radio Astrophysics
Member, Management Boards - Homi Bhabha Centre for Science Education
Council Member, - Indian Academy of Sciences, Bangalore
Council Member, Indian National Science Academy, New Delhi
Council Member, National Academy of Sciences, Allahabad","శశికుమార్ చిత్రేని అనేక ప్రముఖ శాస్త్రీయ సంస్థలు ఫెలోషిప్ల ద్వారా సత్కరించాయి. మాక్స్ ప్లాంక్ ఇన్స్టిట్యూట్ ఫర్ ఎక్స్ట్రాటెరెస్ట్రియల్ ఫిజిక్స్ ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్లో మాక్స్ప్లాంక్ ఫెలో ఇండియన్ నేషనల్ సైన్స్ అకాడమీ (1988)నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, ఇండియా (1992)థర్డ్ వరల్డ్ అకాడమీ ఆఫ్ సైన్సెస్ (1999)మహారాష్ట్ర అకాడెమీ ఆఫ్ సైన్సెస్ రాయల్ ఆస్ట్రోనామికల్ సొసైటీని సందర్శిస్తోంది. లేదా ప్రపంచంలోని వివిధ ప్రతిష్టాత్మక సంస్థలలో విజిటింగ్ ప్రొఫెసర్. UGC నేషనల్ లెక్చరర్ ఇన్ ఫిజిక్స్ - 1975-76విజిటింగ్ ప్రొఫెసర్ - యూనివర్శిటీ ఆఫ్ కేంబ్రిడ్జ్ విజిటింగ్ ప్రొఫెసర్ - ప్రిన్స్టన్ యూనివర్శిటీ విజిటింగ్ ప్రొఫెసర్ - యూనివర్శిటీ ఆఫ్ సస్సెక్స్ విజిటింగ్ ప్రొఫెసర్ - యూనివర్శిటీ ఆఫ్ ఆమ్స్టర్డామ్ విజిటింగ్ ప్రొఫెసర్ - యూనివర్సిటీ ఆఫ్ కొలంబియా విజిటింగ్ ప్రొఫెసర్ - యూనివర్సిటీ ఆఫ్ కొలంబియా విజిటింగ్ ప్రొఫెసర్ - యూనివర్సిటీ ఆఫ్ కొలంబియా 1992-1993, '94-'95, '97గొడ్దార్డ్ స్పేస్ ఫ్లైట్ సెంటర్లో సీనియర్ రీసెర్చ్ అసోసియేట్షిప్, నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, NASAS సీనియర్ రీసెర్చ్ అసోసియేట్షిప్, USA విజిటింగ్ ఖగోళ శాస్త్రవేత్త - ఇన్స్టిట్యూట్ ఆఫ్ ఆస్ట్రానమీ, కేంబ్రిడ్జ్ - 2003-20005 విజిటింగ్స్, ఫెలోరెన్ విజిటింగ్స్ ఫిజికల్ రీసెర్చ్ లాబొరేటరీ, అహ్మదాబాద్ - 1999-2000రాజా రామన్న ఫెలో - యూనివర్శిటీ ఆఫ్ ముంబై - 2001-06. ఇతను ప్రెసిడెంట్ - ఆస్ట్రోనామికల్ సొసైటీ ఆఫ్ ఇండియా చైర్మన్ — ఇండియన్ నేషనల్ కమిటీ ఫర్ ఆస్ట్రానమీ చైర్మన్ — బాంబే అసోసియేషన్ ఫర్ సైన్స్ ఎడ్యుకేషన్ సభ్యుడు, మేనేజ్మెంట్ బోర్డ్ - నేషనల్ సెంటర్ ఫర్ రేడియో ఆస్ట్రోఫిజిక్స్ సభ్యుడు, మేనేజ్మెంట్ బోర్డులు - హోమీ భాభా సెంటర్ ఫర్ సైన్స్ ఎడ్యుకేషన్ కౌన్సిల్ సభ్యుడు, - ఇండియన్ అకాడమీ సైన్సెస్, బెంగళూరు కౌన్సిల్ సభ్యుడు, ఇండియన్ నేషనల్ సైన్స్ అకాడమీ, న్యూఢిల్లీ కౌన్సిల్ సభ్యుడు, నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, అలహాబాద్. "
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,,
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,,
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,,
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,"In 1979, Ramaseshan was appointed joint-director of the Indian Institute of Science and in 1981 became its director. He served as the director of IISc from 1981 to 1984, as president of the Indian Academy of Sciences (1983–1985), and honorary distinguished professor emeritus at the Raman Research Institute (1984–2003).","1979లో, రామశేషన్ ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్కు జాయింట్-డైరెక్టర్గా నియమితులయ్యారు, 1981లో దాని డైరెక్టర్గా మారారు. ఇతను 1981 నుండి 1984 వరకు IISc డైరెక్టర్గా, ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్ (1983-1985) అధ్యక్షుడిగా, రామన్ రీసెర్చ్ ఇన్స్టిట్యూట్లో గౌరవనీయ విశిష్ట ప్రొఫెసర్ ఎమెరిటస్గా పనిచేశాడు (1984-2003). "
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,"Patwa contested from a variety of seats and he held a variety of official posts:
1957-67 - MLA from Manasa
Lost Vidhan Sabha elections from Manasa in 1967 and 1972.
1977-1980 - MLA from Mandsaur
1980-1985 - MLA from Sehore
1985–90 - MLA from Bhojpur. But lost from Manasa.
1990–92, 1993-97 - MLA from Bhojpur
1997-1998 : Lok Sabha Member from Chhindwara (Lok Sabha constituency) by defeating Kamal Nath
1998-99 - MLA from Bhojpur
1999-2004 : Lok Sabha Member from Hoshangabad (Lok Sabha constituency)
1957-67 - Chief Whip, Opposition Party, Madhya Pradesh Legislative Assembly
1975 - General Secretary, Jana Sangh, Madhya Pradesh
1977 - Member, Working Committee, Janata Party
20 Jan 1980 - 17 Feb 1980 - Chief Minister of Madhya Pradesh
1980-85 - Leader of Opposition, Madhya Pradesh Legislative Assembly; Chairman, Public Accounts Committee, Madhya Pradesh Legislative Assembly
1986 - President, B.J.P., Madhya Pradesh; Member, General Purposes Committee, Madhya Pradesh Legislative Assembly
5 March 1990 - 15 December 1992 - Chief Minister of Madhya Pradesh
13 Oct 1999 – 30 September 2000 - Minister of Rural Development, in Vajpayee Govt
30 Sep 2000 – 7 Nov 2000 - Minister of Chemicals and Fertilizers, in Vajpayee Govt
7 Nov 2000 – 1 September 2001 - Minister of Mines, in Vajpayee Govt","పట్వా వివిధ స్థానాల నుండి పోటీ చేశారు, ఇతను వివిధ అధికారిక పదవులను నిర్వహించారు: 1957-67 - మానస నుండి ఎమ్మెల్యే 1967, 1972లో మానస నుండి విధానసభ ఎన్నికలలో ఓడిపోయారు. 1977–1980 - మందసౌర్ నుండి ఎమ్మెల్యే1980–1985 - సెహోర్ నుండి ఎమ్మెల్యే1985–90 - భోజ్పూర్ నుండి ఎమ్మెల్యే. కానీ మానస చేతిలో ఓడిపోయింది. 1990–92, 1993-97 - భోజ్పూర్ నుండి ఎమ్మెల్యే 1997-1998 : కమల్ నాథ్ను ఓడించడం ద్వారా చింద్వారా (లోక్సభ నియోజకవర్గం) నుండి లోక్సభ సభ్యుడు - చీఫ్ విప్, ప్రతిపక్ష పార్టీ, మధ్యప్రదేశ్ శాసనసభ 1975 - ప్రధాన కార్యదర్శి, జనసంఘ్, మధ్యప్రదేశ్ 1977 - సభ్యుడు, వర్కింగ్ కమిటీ, జనతా పార్టీ20 జనవరి 1980 - 17 ఫిబ్రవరి 1980 - మధ్యప్రదేశ్ ముఖ్యమంత్రి1980-85 - ప్రతిపక్ష నాయకుడు, మధ్యప్రదేశ్ శాసనసభ అసెంబ్లీ; చైర్మన్, పబ్లిక్ అకౌంట్స్ కమిటీ, మధ్యప్రదేశ్ శాసనసభ 1986 - అధ్యక్షుడు, బి. జె. పి., మధ్యప్రదేశ్; సభ్యుడు, సాధారణ ప్రయోజనాల కమిటీ, మధ్యప్రదేశ్ శాసనసభ 5 మార్చి 1990 - 15 డిసెంబర్ 1992 - మధ్యప్రదేశ్ ముఖ్యమంత్రి13 అక్టోబర్ 1999 – 30 సెప్టెంబర్ 2000 - గ్రామీణాభివృద్ధి మంత్రి, వాజ్పేయి ప్రభుత్వంలో 30 సెప్టెంబర్ 2000 – 7 నవంబర్ 2000లో చీమికల్స్ మంత్రి వాజ్పేయి ప్రభుత్వంలో 7 నవంబర్ 2000 – 1 సెప్టెంబర్ 2001 - గనుల మంత్రి, వాజ్పేయి ప్రభుత్వంలో. "
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
