,Recipients,honours,honours Telugu
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,"Vembu was awarded the 2019 Ernst & Young ""Entrepreneur of the Year Award"" in India. He was also the recipient of the Padma Shri, India's fourth highest civilian honor, in 2021. He was also appointed to the National Security Advisory Board (NSAB) of India in 2021.","వెంబుకు భారతదేశంలో 2019 ఎర్నెస్ట్ & యంగ్ ""ఎంట్రప్రెన్యూర్ ఆఫ్ ది ఇయర్ అవార్డు"" లభించింది. ఇతను 2021లో భారతదేశ నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని కూడా అందుకున్నాడు. ఇతను 2021లో భారత జాతీయ భద్రతా సలహా బోర్డు (NSAB)కి కూడా నియమించబడ్డాడు. "
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,"''' Club '''
Dempo

I-League: 2009–10Churchill Brothers

I-League: 2012–13Bengaluru

Indian Super League: 2018–19
I-League: 2013–14, 2015–16
Indian Federation Cup: 2014–15, 2016–17
Super Cup: 2018
AFC Cup: runner-up 2016


''' International '''
India U-20

South Asian GamesSilver medal: 2004India

AFC Challenge Cup: 2008
SAFF Championship: 2011, 2015, 2021
Nehru Cup: 2007, 2009, 2012
Intercontinental Cup: 2017, 2018


''' Individual '''

AIFF Player of the Year (6): 2007, 2011, 2013, 2014, 2017, 2018–19
FPAI Indian Player of the Year (3): 2009, 2018, 2019
SAFF Championship Player of the Tournament: 2011, 2015, 2021
SAFF Championship Top Scorer: 2011, 2021
I-League Golden Boot: 2013–14
Hero of the I-League: 2016–17
Hero of the Indian Super League: 2017–18
Hero of the Intercontinental Cup: 2018
AFC Asian Icon: 3 August 2018
Football Ratna Award (first recipient) by Football Delhi: 18 February 2019Others

AFC Cup All-time XI (The Strikers): Inductee (2021)


''' Awards and accolades '''
2011 − Arjuna Award, by the Government of India in recognition of his outstanding achievement in sports.
2019 −  Padma Shri, India's fourth highest civilian award.
2021 – Khel Ratna Award, highest sporting honour of India.


''' Records '''

First Indian player to have played in three different continents
Most goals by an Indian in AFC Competitions
Most hat-tricks by an Indian in ISL
First Indian player to score hat-trick in ISL
Highest Indian goal scorer in ISL
Highest Indian goal scorer in I-League
AIFF Player of the Year for a record six times
Most hat-tricks for India
Most appearances for India (125)
Highest international goals by an Indian (80)","'''క్లబ్ '''డెంపోఐ-లీగ్: 2009–10చర్చిల్ బ్రదర్స్I-లీగ్: 2012–13బెంగళూరుఇండియన్ సూపర్ లీగ్: 2018–19ఐ-లీగ్: 2013–14, 2015–16ఇండియన్ ఫెడరేషన్ కప్: AFS కప్: 2014–15, 170 వరకు కప్: రన్నరప్ 2016''' అంతర్జాతీయ '''భారత అండర్-20 దక్షిణాసియా క్రీడలు రజత పతకం: 2004IndiaAFC ఛాలెంజ్ కప్: 2008SAFF ఛాంపియన్షిప్: 2011, 2015, 2021నెహ్రూ కప్: 2007, 2002లో 2009 కప్ ''AIFF ప్లేయర్ ఆఫ్ ది ఇయర్ (6): 2007, 2011, 2013, 2014, 2017, 2018–19FPAI ఇండియన్ ప్లేయర్ ఆఫ్ ది ఇయర్ (3): 2009, 2018, 2019SAFF ఛాంపియన్షిప్ ప్లేయర్ ఆఫ్ ది టోర్నమెంట్, 20111, 2011112 టాప్ స్కోరర్: 2011, 2021I-లీగ్ గోల్డెన్ బూట్: 2013–14 I-లీగ్ హీరో: 2016–17ఇండియన్ సూపర్ లీగ్ హీరో: 2017–18ఇంటర్కాంటినెంటల్ కప్ హీరో: 2018AFC ఆసియన్ ఐకాన్ 18FICoo అవార్డు ఫుట్బాల్ ద్వారా ఢిల్లీ: 18 ఫిబ్రవరి 2019OthersAFC కప్ ఆల్-టైమ్ XI (ది స్ట్రైకర్స్): ఇండక్టీ (2021)''' అవార్డులు, ప్రశంసలు '''2011 − అర్జున అవార్డు, ప్రభుత్వంచే క్రీడలలో అతని అత్యుత్తమ విజయానికి గుర్తింపుగా ndia. 2019 - పద్మశ్రీ, భారతదేశపు నాల్గవ అత్యున్నత పౌర పురస్కారం. 2021 - ఖేల్ రత్న అవార్డు, భారతదేశ అత్యున్నత క్రీడా పురస్కారం. ''' రికార్డులు '''మూడు వేర్వేరు ఖండాలలో ఆడిన తొలి భారతీయ ఆటగాడు AFC పోటీలలో భారతీయుడు అత్యధిక గోల్స్ సాధించాడు ISLలో అత్యధిక హ్యాట్రిక్ సాధించిన మొదటి భారతీయ ఆటగాడు ISLలో అత్యధికంగా హ్యాట్రిక్ సాధించిన మొదటి భారతీయ ఆటగాడు ISL అత్యధిక గోల్ స్కోరర్ I-LeagueAIFF ప్లేయర్ ఆఫ్ ది ఇయర్ రికార్డు ఆరు సార్లు భారతదేశం కోసం అత్యధిక హ్యాట్రిక్లు భారతదేశం కోసం అత్యధిక మ్యాచ్లు (125)భారతదేశం ద్వారా అత్యధిక అంతర్జాతీయ గోల్లు (80). "
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,"In 1980, Gavaskar received the Padma Bhushan award for his successful International career representing Team India from the former Indian President Neelam Sanjiva Reddy.
On 22 December 1994, Gavaskar was sworn in as Bombay Sheriff—an honorary post, for a year, at Raj Bhavan in Mumbai in the presence of former Governor P C Alexander and former Chief minister Sharad Pawar.
In 1996, The Border-Gavaskar Trophy has been instituted in his co-honour. It was decided that any bilateral Test series between India and Australia will be called as Border-Gavaskar Trophy, named after iconic players Allan Border and Sunil Gavaskar. Both these players scored more than 10,000 runs in their respective Test careers and captained their teams.
""Gavaskar Stadium"" in his home district of Vengurla has been named after him.
In 2003, he became the first and till now the only Indian to have delivered a MCC Spirit Of Cricket Cowdrey Lecture. He was the 3rd lecturer in the history of the Cowdrey lecture.
On 21 November 2012, Gavaskar was conferred with BCCI's prestigious Col. CK Nayudu Lifetime Achievement Award at the BCCI Annual Awards Function 2011–12","1980లో, భారత మాజీ అధ్యక్షుడు నీలం సంజీవ రెడ్డి నుండి టీమ్ ఇండియాకు ప్రాతినిధ్యం వహించిన తన విజయవంతమైన అంతర్జాతీయ కెరీర్కు గావస్కర్ పద్మభూషణ్ అవార్డును అందుకున్నాడు. 22 డిసెంబర్ 1994న, ముంబైలోని రాజ్ భవన్లో మాజీ గవర్నర్ P C అలెగ్జాండర్, మాజీ ముఖ్యమంత్రి శరద్ పవార్ సమక్షంలో గవాస్కర్ బొంబాయి షెరీఫ్గా ఒక సంవత్సరం పాటు గౌరవప్రదంగా ప్రమాణ స్వీకారం చేశారు. 1996లో, ది బోర్డర్-గవాస్కర్ ట్రోఫీ అతని సహ-గౌరవంగా స్థాపించబడింది. భారతదేశం, ఆస్ట్రేలియా మధ్య జరిగే ఏదైనా ద్వైపాక్షిక టెస్ట్ సిరీస్ను బోర్డర్-గవాస్కర్ ట్రోఫీగా పిలవాలని నిర్ణయించారు, దీనికి దిగ్గజ ఆటగాళ్లు అలన్ బోర్డర్, సునీల్ గవాస్కర్ పేరు పెట్టారు. ఈ ఇద్దరు ఆటగాళ్లు తమ తమ టెస్ట్ కెరీర్లో 10, 000 కంటే ఎక్కువ పరుగులు సాధించారు, వారి జట్లకు కెప్టెన్గా వ్యవహరించారు. అతని స్వంత జిల్లా వెంగుర్లలోని ""గవాస్కర్ స్టేడియం"" పేరు అతని పేరు పెట్టారు. 2003లో, ఇతను MCC స్పిరిట్ ఆఫ్ క్రికెట్ కౌడ్రీ లెక్చర్ని అందించిన మొదటి, ఇప్పటివరకు ఏకైక భారతీయుడు అయ్యాడు. కౌడ్రీ లెక్చర్ చరిత్రలో ఇతను 3వ ఉపన్యాసకుడు. 21 నవంబర్ 2012న, గవాస్కర్కు BCCI, ప్రతిష్టాత్మక కల్నల్తో సత్కరించారు. BCCI వార్షిక అవార్డ్స్ ఫంక్షన్ 2011–12లో CK నాయుడు లైఫ్టైమ్ అచీవ్మెంట్ అవార్డు. "
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,"Recipient of the Rashtriyra Krantiveer Award, Ujjain (2014)
Recipient of the Padma Bhushan award by Government of India (2012)
Recipient of the Dr. B. C. Roy National Award by Medical Council of India (2005)
Awarded Lifetime Achievement in Oncology by Harvard Medical International (2005)
Recipient of the Padma Shri by Government of India (2002)
Recipient of the Dhanvantari award (2002)
Elected fellow - National Academy of Medical Sciences (1996),
Voted as “Pharma Leaders Indian of the Year – Oncology” at 11th Annual Pharma Leaders Power Brand awards 2018","రాష్ట్రీయ క్రాంతివీర్ అవార్డు గ్రహీత, ఉజ్జయిని (2014)భారత ప్రభుత్వంచే పద్మభూషణ్ అవార్డు గ్రహీత (2012)డాక్టర్ గ్రహీత. బి. సి. మెడికల్ కౌన్సిల్ ఆఫ్ ఇండియాచే రాయ్ జాతీయ అవార్డు (2005)హార్వర్డ్ మెడికల్ ఇంటర్నేషనల్ ద్వారా ఆంకాలజీలో జీవితకాల సాఫల్యత (2005)భారత ప్రభుత్వంచే పద్మశ్రీ గ్రహీత (2002)ధన్వంతరి అవార్డు గ్రహీత (2002)ఎన్నికైన సహచరుడు - నేషనల్ అకాడమీ ఆఫ్ మెడికల్ సైన్సెస్ (1996), 11వ వార్షిక ఫార్మా లీడర్స్ పవర్ బ్రాండ్ అవార్డ్స్ 2018లో “ఫార్మా లీడర్స్ ఇండియన్ ఆఫ్ ది ఇయర్ – ఆంకాలజీ”గా ఓటు వేయబడింది. "
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,,
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,,
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
4006,T. Narayanayajwa Ramachandran,,
4007,T. P. Lahane,,
4008,T. P. Meenakshisundaram,,
4009,T. R. Mahalingam,,
4010,T. R. Seshadri,,
4011,T. S. Avinashilingam Chettiar,,
4012,T. S. Chandrasekar,,
4013,T. S. Prahlad,,
4014,T. S. Ramaswami Aiyer,,
4015,T. S. Satyan,,
4016,T. S. Soundram,,
4017,T. Sailo,,
4018,T. V. Devarajan,,
4019,T. V. Gopalakrishnan,,
4020,T. V. Mahalingam,Mahalingam was awarded the Padma Shri by the Government of India in 1969.,మహాలింగం 1969లో భారత ప్రభుత్వంచే పద్మశ్రీ పురస్కారంతో సత్కరించారు. 
4021,T. V. Narayana,,
4022,T. V. R. Shenoy,,
4023,T. V. Rajeswar,,
4024,T. V. Ramakrishnan,,
4025,T. V. Sankaranarayanan,,
4026,T. Varadachari Ramanujam,,
4027,T. Venkatapathi Reddiar,,
4028,T.V. Mohandas Pai,,
4029,Taarak Mehta,,
4030,Tabu,,
4031,Tadepalli Venkanna,,
4032,Tafazzul Ali,,
4033,Talat Mahmood,,
4034,Tan Chung,,
4035,Tao Porchon-Lynch,,
4036,Tapan Raychaudhuri,,
4037,Tapan Sinha,,
4038,Tapishwar Narain Raina,,
4039,Tara Chand,,
4040,Tara Cherian,,
4041,Tarabai Modak,,
4042,Taranath Narayan Shenoy,,
4043,Tarapada Basu,,
4044,Taraprasad Das,,
4045,Tarasankar Bandyopadhyay,,
4046,Tarla Dalal,,
4047,Tarlochan Singh,,
4048,Tarlochan Singh Kler,,
4049,Tarlok Singh (economist),,
4050,Taro Nakayama,,
4051,Tarun Das,,
4052,Tarun Gogoi,,
4053,Tarun Majumdar,,
4054,Tarundeep Rai,,
4055,Tashi Tondup,,
4056,Tatyana Elizarenkova,,
4057,Teejan Bai,,
4058,Teesta Setalvad,,
4059,Tehemton Erach Udwadia,,
4060,Tejas Patel,,
4061,Tejomayananda,,
4062,Tekkatte Narayan Shanbhag,,
4063,Tekur Kashi Nath,,
4064,Telo Mascarenhas,,
4065,Temsula Ao,,
4066,Tenzing Norgay,"In 1938, after Norgay's third Everest expedition as a porter, the Himalayan Club awarded him its Tiger Medal for high-altitude work.On 7 June 1953, it was announced that the newly crowned Queen Elizabeth II wished to recognize Norgay's achievements. 10 Downing Street announced on 1 July that, following consultation with the governments of India and Nepal, the Queen had approved awarding Norgay the George Medal. He also received, along with the rest of the Everest party, the Queen Elizabeth II Coronation Medal.In 1953, King Tribhuvan of Nepal presented him with the Order of the Star of Nepal, 1st Class (Supradipta-Manyabara-Nepal-Tara).In 1959, the Government of India awarded him the Padma Bhushan, the third-highest civilian award of India. In May 2013, Norgay's grandson, Tashi Tenzing, said he believed his grandfather should have been knighted, not just given ""a bloody medal.""In September 2013, the Government of Nepal proposed naming a 7,916-metre (25,971 ft) mountain in Nepal Tenzing Peak in Norgay's honour. Both Tenzing Peak and Hillary Peak are points on the long Ridge from Cho Oyu to Gyuchung Kang with Tenzing Peak nearer to Cho Oyu
In July 2015, the highest-known, 3.4-kilometre-high (11,000 ft) mountain range on the dwarf planet Pluto was named Tenzing Montes","1938లో, పోర్టర్గా నార్గే, మూడవ ఎవరెస్ట్ యాత్ర తర్వాత, హిమాలయన్ క్లబ్ అతనికి అధిక ఎత్తులో పని చేసినందుకు టైగర్ మెడల్ను ప్రదానం చేసింది. 7 జూన్ 1953న, కొత్తగా పట్టాభిషేకం చేయబడిన క్వీన్ ఎలిజబెత్ II నార్గే, విజయాలను గుర్తించాలని కోరుకుంటున్నట్లు ప్రకటించబడింది. 10 జూలై 1న డౌనింగ్ స్ట్రీట్ ప్రకటించింది, భారతదేశం, నేపాల్ ప్రభుత్వాలతో సంప్రదింపులు జరిపిన తర్వాత, నార్గేకు జార్జ్ మెడల్ ఇవ్వడానికి రాణి ఆమోదం తెలిపింది. ఇతను మిగిలిన ఎవరెస్ట్ పార్టీతో పాటు క్వీన్ ఎలిజబెత్ II పట్టాభిషేక పతకాన్ని కూడా అందుకున్నాడు. 1953లో, నేపాల్ రాజు త్రిభువన్ అతనికి ఆర్డర్ ఆఫ్ ది స్టార్ ఆఫ్ నేపాల్, 1వ తరగతి (సుప్రదీప్త-మన్యబార-నేపాల్-తారా)ను బహుకరించాడు. 1959లో, భారత ప్రభుత్వం అతనికి భారతదేశంలోని మూడవ అత్యున్నత పౌర పురస్కారమైన పద్మభూషణ్ను అందించింది. మే 2013లో, నార్గే మనవడు, తాషి టెన్జింగ్, తన తాతకు ""రక్తపాత పతకం ఇవ్వడమే కాకుండా, నైట్ బిడ్ని ఇచ్చి ఉండాల్సిందని తాను నమ్ముతున్నానని చెప్పాడు. ""సెప్టెంబర్ 2013లో, నేపాల్ ప్రభుత్వం నేపాల్ టెన్జింగ్ శిఖరంలోని 7, 916-మీటర్ల (25, 971 అడుగులు) పర్వతానికి నార్గే గౌరవార్థం పేరు పెట్టాలని ప్రతిపాదించింది. టెన్జింగ్ శిఖరం, హిల్లరీ శిఖరం రెండూ చో ఓయు నుండి గ్యుచుంగ్ కాంగ్ వరకు పొడవైన శిఖరంపై ఉన్న పాయింట్లు, చో ఓయుకు సమీపంలో ఉన్న టెన్జింగ్ శిఖరం జూలై 2015లో అత్యంత ప్రసిద్ధమైనది, 3. మరగుజ్జు గ్రహం ప్లూటోపై 4-కిలోమీటర్ల ఎత్తు (11, 000 అడుగులు) పర్వత శ్రేణికి టెన్జింగ్ మోంటెస్ అని పేరు పెట్టారు. "
4067,Tetsu Nakamura,,
4068,Thackkadu Natesasastrigal Jagadisan,,
4069,Thakazhi Sivasankara Pillai,,
4070,Thakur Jaideva Singh,,
4071,Thalappil Pradeep,,
4072,Thanga Darlong,"Padma Shri (2019)
Sangeet Natak Akademi Award (2014)",పద్మశ్రీ (2019)సంగీత నాటక అకాడమీ అవార్డు (2014). 
4073,Thangam Philip,,
4074,Thanikachalam Sadagopan,,
4075,Thant Myint-U,,
4076,Thanu Padmanabhan,,
4077,Thapfoorya Haralu,,
4078,Thayil John Cherian,,
4079,Theilin Phanbuh,,
4080,Thekkethil Kochandy Alex,,
4081,Thenumgal Poulose Jacob,,
4082,Thiagarajan Muthian,,
4083,Thikkurissy Sukumaran Nair,,
4084,Thilakan,,
4085,Thingbaijam Babu Singh,,
4086,Thirumalachari Ramasami,,
4087,Thirumalraya Swaminathan,,
4088,Thiruvengadam Lakshman Sankar,,
4089,Thiruvizhimazhalai Subramania Pillai,,
4090,Thomas Kailath,,
4091,Thomas Kunnunkal,,
4092,Thoppil Varghese Antony,,
4093,Thota Tharani,,
4094,Thrity H. Taleyarkhan,,
4095,Tilak Gitai,,
4096,Tiruppattur R. Venkatachala Murthi,,
4097,Tiruvadi Sambasiva Venkataraman,,
4098,Tiruvadi Venkataraman Ramamurti,,
4099,Tokheho Sema,,
4100,Tom Alter,,
4101,Tomio Mizokami,,
4102,Tommy Koh,,
4103,Tony Fernandez,,
4104,Toppur Seethapathy Sadasivan,,
4105,Tribhuvandas Kishibhai Patel,,
4106,Tribhuvandas Luhar (Sundaram),,
4107,Trichur V. Ramachandran,,
4108,Tridib Nath Banerjee,,
4109,Triguna Sen,,
4110,Trilochan Pradhan,,
4111,Triloki Nath Chaturvedi,,
4112,Triloki Nath Khoshoo,,
4113,Trilokinath Sharma,,
4114,Trinity Saioo,,
4115,Tripti Mitra,,
4116,Tripti Mukherjee,,
4117,Tripuraneni Hanuman Chowdary,,
4118,Trivandrum Kannusami Pillai Shanmugam,,
4119,Tsering Landol,,
4120,Tsering Norboo,,
4121,Tsering Wangdus,,
4122,Tsultrim Chonjor,,
4123,Tulasi Gowda,,
4124,Tulasi Munda,,
4125,Tulsi Das,,
4126,Tulsidas Borkar,,
