,Recipients,positions,positions Telugu
3275,Ravindra Kumar Sinha,,
3276,Ravindra Nagar,,
3277,Ravindra Nath Shrivastava,,
3278,Ravindra Santram Dharkar,,
3279,Ravindra Singh Bisht,,
3280,Ravindra and Smita Kolhe,,
3281,Ravishankar Raval,,
3282,Rear Francis Leslie Fraser,,
3283,Reema Nanavati,,
3284,Reeta Devi,,
3285,Rehana Khatoon,"Apart from working as the Head of the Department of Persian Language, University of Delhi, Rehana Khatoon has served as the Deputy Coordicator of the DRS Programme of the University Grants Commission and as a Member, Library Sub Committee - Ghalib Institute - 2014 She has also been the Vice President of the Scholar Association, New Delhi and was the Visiting Fellow at Aligarh Muslim University in 2007 and 2008. She has also served as the member of organizations of forums such as Ghalib Institute, Amir Khusro Society, Encyclopedia of Persian of the Subcontinent and Anjuman Tarriqi Urdu.","ఢిల్లీ విశ్వవిద్యాలయంలోని పర్షియన్ భాషా విభాగానికి అధిపతిగా పని చేయడంతో పాటు, రెహానా ఖాతూన్ యూనివర్సిటీ గ్రాంట్స్ కమిషన్, DRS ప్రోగ్రామ్కు డిప్యూటీ కోఆర్డికేటర్గా, లైబ్రరీ సబ్ కమిటీ - గాలిబ్ ఇన్స్టిట్యూట్ - 2014 సభ్యురాలిగా కూడా పనిచేశారు. స్కాలర్ అసోసియేషన్, న్యూఢిల్లీ వైస్ ప్రెసిడెంట్, 2007, 2008లో అలీఘర్ ముస్లిం యూనివర్శిటీలో విజిటింగ్ ఫెలో. ఈమె గాలిబ్ ఇన్స్టిట్యూట్, అమీర్ ఖుస్రో సొసైటీ, ఎన్సైక్లోపీడియా ఆఫ్ పర్షియన్ ఆఫ్ ది సబ్కాంటినెంట్, అంజుమాన్ తార్రికీ ఉర్దూ వంటి ఫోరమ్లలో సభ్యురాలుగా కూడా పనిచేశారు. "
3286,Rehman Rahi,,
3287,Rehmath Beegum Sailaniyoda,,
3288,Rekandar Nageswara Rao,,
3289,Rekha,,
3290,Relangi,,
3291,Remo Fernandes,,
3292,Renana Jhabvala,,
3293,Renuka Ray,,
3294,Resul Pookutty,,
3295,Reuben David,,
3296,Rev Joel K. Lakra,,
3297,Rewben Mashangva,,
3298,Richard Attenborough,,
3299,Rita Ganguly,,
3300,Ritu Kumar,,
3301,Ritu Menon,,
3302,Ritwik Ghatak,,
3303,Riyaz Punjabi,,
3304,Robert Blackwill,,
3305,Robert Brocklesby Davis,,
3306,Robert Thurman,,
3307,Robin Banerjee,,
3308,Roddam Narasimha,,
3309,Rohini Godbole,,
3310,Roman Sarmah,,
3311,Romesh Wadhwani,,
3312,Romuald D'Souza,,
3313,Romulus Whitaker,,
3314,Ronald Carlton Vivian Piadade Noronha,,
3315,Ronen Sen,,
3316,Rongbong Terang,,
3317,Roshan Kumari,,
3318,Roshan Lal Anand,,
3319,Roshan Phooken,,
3320,Rostislav Rybakov,,
3321,Rudraradhya Muddu Basavaradhya,,
3322,Rukmini Baburao Pawar,,
3323,Rukmini Devi Arundale,,
3324,Runa Banerjee,,
3325,Ruskin Bond,,
3326,Russi Mody,,
3327,Rustom Jal Vakil,,
3328,Rustom Phiroze Soonawala,,
3329,Rustomji Bomanji Billimoria,,
3330,Rustomji Marwanji Alpaiwala,,
3331,S. B. Mujumdar,,
3332,S. C. Jamir,,
3333,S. C. Manchanda,,
3334,S. C. Munshi,,
3335,S. D. Burman,,
3336,S. Dhakshinamurthy Pillai,,
3337,S. G. Mahalingayyar Subramaniam,,
3338,S. G. Thakur Singh,,
3339,S. H. Raza,,
3340,S. I. Padmavati,,
3341,S. Jaishankar,,
3342,S. K. M. Maeilanandhan,,
3343,S. K. Misra,,
3344,S. K. Sama,,
3345,S. K. Shivkumar,,
3346,S. K. Sikka,,
3347,S. Krishnaswamy,,
3348,S. L. Bhyrappa,,
3349,S. M. Ganapathy,,
3350,S. N. Goenka,,
3351,S. N. Swamy,,
3352,S. Narasimhan,,
3353,S. P. Balasubrahmanyam,,
3354,S. P. Balasubramaniam,,
3355,S. P. Kothari,,
3356,S. P. Nimbalkar,,
3357,S. P. Oswal,"Business Positions

Chairman and managing director – Vardhman Textiles Ltd
Chairman – Vardhman Holdings Ltd
Chairman – Vardhman Acrylics Ltd
Chairman – Nimbua Greenfield (Punjab) LtdSocial Positions

Chairman – National Committee on Textiles, Confederation of Indian Industry
Director – Exim Bank of India
Director – UTI Trustee Company Pvt Ltd (He resigned from the post in 2013)
Chairman – Indian Institute of Technology, Delhi
Chairman – Managing Committee- Sri Aurobindo College of Commerce and Management
Member – National Council, Confederation of Indian Industry
Member – Industrial Advisory Council, Government of Madhya Pradesh
Member – Board of Governors – Punjab Technical University, Jalandhar
Member – Senate, Punjab University
Founder President and Director (1983–87)- Ludhiana Stock Exchange","వ్యాపార పదవులు చైర్మన్, మేనేజింగ్ డైరెక్టర్ – వర్ధమాన్ టెక్స్టైల్స్ లిమిటెడ్ చైర్మన్ – వర్ధమాన్ హోల్డింగ్స్ లిమిటెడ్ చైర్మన్ – వర్ధమాన్ అక్రిలిక్స్ లిమిటెడ్ చైర్మన్ – నింబువా గ్రీన్ఫీల్డ్ (పంజాబ్) లిమిటెడ్ సామాజిక పదవులు చైర్మన్ – టెక్స్టైల్స్పై నేషనల్ కమిటీ చైర్మన్ – కాన్ఫెడరేషన్ ఆఫ్ ఇండియా నుండి వైదొలిగిన ట్రస్టు బ్యాంక్ ఆఫ్ ఇండియా 2013లో పోస్ట్) చైర్మన్ – ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ, ఢిల్లీ చైర్మన్ – మేనేజింగ్ కమిటీ- శ్రీ అరబిందో కాలేజ్ ఆఫ్ కామర్స్ అండ్ మేనేజ్మెంట్ సభ్యుడు – నేషనల్ కౌన్సిల్, కాన్ఫెడరేషన్ ఆఫ్ ఇండియన్ ఇండస్ట్రీ సభ్యుడు – ఇండస్ట్రియల్ అడ్వైజరీ కౌన్సిల్, మధ్యప్రదేశ్ ప్రభుత్వం సభ్యుడు – బోర్డ్ ఆఫ్ గవర్నర్స్ – పంజాబ్ టెక్నికల్ యూనివర్సిటీ, జలంధర్ సభ్యుడు – సెనేట్, పంజాబ్ యూనివర్సిటీ వ్యవస్థాపక అధ్యక్షుడు, డైరెక్టర్ (1983–87)- లూథియానా స్టాక్ ఎక్స్ఛేంజ్. "
3358,S. P. P. Thorat,,
3359,S. P. Varma,,
3360,S. R. Janakiraman,,
3361,S. R. Ranganathan,,
3362,S. R. Srinivasa Varadhan,,
3363,S. Ramachandran,,
3364,S. Ramakrishnan,,
3365,S. Ramaswamy Iyer Balasubrahmanyam,,
3366,S. S. Badrinath,,
3367,S. S. Rajamouli,,
3368,S. S. Rathore,,
3369,S. S. Vasan,,
3370,S. Shakir Ali,,
3371,S. Somasundaram,,
3372,S. Srinivasa Sriramacharyulu,,
3373,S. Srinivasan,,
3374,S. V. S. Raghavan,,
3375,Saalumarada Thimmakka,,
3376,Saba Anjum Karim,,
3377,Sabarmatee,,
3378,Sabitri Chatterjee,,
3379,Sabitri Heisnam,,
3380,Sabri Khan,,
3381,Sabya Sachi Sarkar,,
3382,Sachchidanand Sahai,,
3383,Sachidananda Routray,,
3384,Sachin Tendulkar,,
3385,Sadashiv Rath Sharma,,
3386,Sadashiv Vasantrao Gorakshkar,,
3387,Sadasiv Misra,,
3388,Sadat Abul Masud,,
3389,Sadhu Meher,,
3390,Sadhu Singh Hamdard,,
3391,Sadiq-ur-Rahman Kidwai,,
3392,Saeed Jaffrey,,
3393,Sagat Singh,,
3394,Sahir Ludhianvi,,
3395,Sai Paranjpye,,
3396,Saibaba Goud,,
3397,Saichiro Misumi,,
3398,Saif Ali Khan,,
3399,Saif-ud-din Ahmad,,
3400,Saikhom Mirabai Chanu,,
3401,Sailabala Das,,
3402,Sailen Manna,,
3403,Sailesh Kumar Bandopadhyay,"Secretary District Congress Committee – 1946 to 1951
Deputy Director – Khadi and Village Industries Commission – 1961
Chief Executive — Gandhi Centenary Committee – 1969
Chief Executive Officer – Khadi and Village Industries Commission – 1984
Member — Khadi and Village Industries Commission – 1984
Secretary — Gandhi Smarak Nidhi
Joint Convenor — Khadi Mission
Chairman, Central Certification Committee on Khadi","కార్యదర్శి జిల్లా కాంగ్రెస్ కమిటీ – 1946 నుండి 1951 వరకు డిప్యూటీ డైరెక్టర్ – ఖాదీ, విలేజ్ ఇండస్ట్రీస్ కమిషన్ – 1961 చీఫ్ ఎగ్జిక్యూటివ్ — గాంధీ సెంటినరీ కమిటీ – 1969 చీఫ్ ఎగ్జిక్యూటివ్ ఆఫీసర్ – ఖాదీ అండ్ విలేజ్ ఇండస్ట్రీస్ కమీషన్ – 1984 సభ్యుడు — ఖాదీ అండ్ విలేజ్ కాన్ఫరెన్స్ 1984 సభ్యురాలు — ఖాదీ, విలేజ్ 1984 లో ఖాదీ, గ్రామం., ఖాదీపై సెంట్రల్ సర్టిఫికేషన్ కమిటీ. "
3404,Saina Nehwal,,
3405,Saiyid Amir Hasan Abidi,,
3406,Sajan Misra,,
3407,Sakar Khan Manganiar,,
3408,Sakharam Abaji Pawar Patil,,
3409,Sakshi Malik,,
3410,Salam Machhlisheri,,
3411,Saliha Abid Hussain,,
3412,Salik Lucknawi,,
3413,Salim Ali,,
3414,"Salman Amin ""Sal"" Khan",,
3415,Sam Manekshaw,,
3416,Sam Pitroda,,
3417,Samad Yar Khan Saghar Nizami,,
3418,Samarendranath Sen,,
3419,Samiran Nundy,,
3420,Sampat Ramteke,,
3421,Samta Prasad,,
3422,Samuel Paul,,
3423,Sandeep Guleria,,
3424,Sandip Kumar Basu,,
3425,Sandra Desa Souza,,
3426,Sanduk Ruit,,
3427,Sanganbasappa Mallangouda Patil,,
3428,Sania Mirza,,
3429,Sanjay Govind Dhande,,
3430,Sanjay Leela Bhansali,,
3431,Sanjaya Rajaram,,
3432,Sanjeev Bagai,,
3433,Sanjeev Bikhchandani,,
3434,Sanjeev Kapoor,,
3435,Sanjida Khatun,,
3436,Sanjukta Panigrahi,,
3437,Sankar Kumar Pal,,
3438,Sankho Chaudhuri,,
3439,Sant Kaur,,
3440,Sant Singh Chatwal,,
3441,Sant Singh Sekhon,,
3442,Sant Singh Virmani,,
3443,Santidev Ghosh,,
3444,Santosh Kumar Kackar,,
3445,Santosh Kumar Mazumdar,,
3446,Santosh Kumar Mukerji,,
3447,Santosh Kumar Mukherjee,,
3448,Santosh Kumar Sen,,
3449,Santosh Sivan,,
3450,Santosh Yadav,,
3451,Santu Shahaney,,
3452,Sarabjit Singh,,
3453,Sarbdeep Singh Virk,,
3454,Sarbeswar Sahariah,,
3455,Sarda Nand Singh,,
3456,Sarda Prasad Varma,,
3457,Sardar Anjum,,
3458,Sardar Harnarain Singh,,
3459,Sardar Mohan Singh,,
3460,Sardar Sohan Singh,,
3461,Sardara Singh,,
3462,Sardara Singh Johl,,
3463,Sardarilal Mathradas Nanda,,
3464,Sarita Joshi,,
3465,Saroj Chooramani Gopal,"Saroj Gopal holds the position of the honorary Professor of the Centre of Biomedical Research. She was the President of the Indian Association of Pediatric Surgeons, in 1998, of which she is currently a member. She has been a member of the Expert Panel of the National Academy of Medical Sciences, New Delhi, an examiner with many universities and an inspector of the University Grants Commission. Currently she is the President of the National Academy of Medical Sciences, New DelhiShe is also a member of professional bodies like the Association of Surgeons of India, the Indian Medical Association and the Indian Academy of Medical Sciences.","సరోజ్ గోపాల్ సెంటర్ ఆఫ్ బయోమెడికల్ రీసెర్చ్ గౌరవ ప్రొఫెసర్ హోదాలో ఉన్నారు. ఈమె 1998లో ఇండియన్ అసోసియేషన్ ఆఫ్ పీడియాట్రిక్ సర్జన్స్ అధ్యక్షురాలిగా ఉన్నారు, ప్రస్తుతం ఈమె సభ్యురాలు. ఈమె న్యూ ఢిల్లీలోని నేషనల్ అకాడమీ ఆఫ్ మెడికల్ సైన్సెస్, నిపుణుల ప్యానెల్లో సభ్యురాలు, అనేక విశ్వవిద్యాలయాలలో ఎగ్జామినర్, యూనివర్శిటీ గ్రాంట్స్ కమిషన్ ఇన్స్పెక్టర్. ప్రస్తుతం ఈమె నేషనల్ అకాడమీ ఆఫ్ మెడికల్ సైన్సెస్, న్యూఢిల్లీ అధ్యక్షురాలు, ఈమె అసోసియేషన్ ఆఫ్ సర్జన్స్ ఆఫ్ ఇండియా, ఇండియన్ మెడికల్ అసోసియేషన్, ఇండియన్ అకాడమీ ఆఫ్ మెడికల్ సైన్సెస్ వంటి ప్రొఫెషనల్ బాడీలలో కూడా సభ్యురాలు. "
3466,Saroj Ghose,,
3467,Saroj Kumar Gupta,,
3468,Saroj Raj Choudhury,,
3469,Saroja Chidambaram,,
3470,Saroja Vaidyanathan,,
3471,Sarojini Varadappan,,
3472,Sartaj Singh,,
3473,Sarungbam Bimola Kumari Devi,,
3474,Sarvagya Singh Katiyar,,
3475,Sarvepalli Gopal,,
3476,Saryu Vinod Doshi,,
3477,Sashadhar Mukherjee,,
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,,
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,"Secretary General of the Indian Red Cross Society – 2005 onwards
Chair of the IFRC Advisory Body on Sustainable Development and Health – International Federation of Red Cross and Red Crescent
Director General of Health Services, Government of India – 1996 to 2005
President – Tuberculosis Association of India (TAI)","ఇండియన్ రెడ్క్రాస్ సొసైటీ సెక్రటరీ జనరల్ – 2005 నుండి సస్టైనబుల్ డెవలప్మెంట్ అండ్ హెల్త్పై IFRC అడ్వైజరీ బాడీ చైర్మన్ – ఇంటర్నేషనల్ ఫెడరేషన్ ఆఫ్ రెడ్ క్రాస్, రెడ్ క్రెసెంట్ డైరెక్టర్ జనరల్ ఆఫ్ హెల్త్ సర్వీసెస్, భారత ప్రభుత్వం – 1996 నుండి 2005 ప్రెసిడెంట్ – ట్యూబర్క్యులోసిస్ అసోసియేషన్ ఆఫ్ ఇండియా (TAI). "
3501,Satya Prakash,,
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,,
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,,
3522,Sengaku Mayeda,,
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,"Joshi is the President of two important organizations, the Indian Academy of Diabetes and the Association of Physicians of India (API). He was also a former President of the Research Society for Study of Diabetes in India (RSSDI) and the All India Association of Advancing Research in Obesity. He is the former Vice President of the Association of Physicians of India and is now its advisory board member.Joshi is involved with the activities of the American Association of Clinical Endocrinology (AACE) and is serving as the Chairperson of its India Chapter. Some of the past positions he held include:

Visiting Clinician at the Mayo Clinic.
Member of the ICMR-WHO Task Force for Management of Type 2 Diabetes.
Director of the Asian Health Clinic in Western Australia.","జోషి ఇండియన్ అకాడమీ ఆఫ్ డయాబెటిస్, అసోసియేషన్ ఆఫ్ ఫిజీషియన్స్ ఆఫ్ ఇండియా (API) అనే రెండు ముఖ్యమైన సంస్థలకు అధ్యక్షుడు. ఇతను రీసెర్చ్ సొసైటీ ఫర్ స్టడీ ఆఫ్ డయాబెటిస్ ఇన్ ఇండియా (RSSDI), ఆల్ ఇండియా అసోసియేషన్ ఆఫ్ అడ్వాన్సింగ్ రీసెర్చ్ ఇన్ ఒబేసిటీకి మాజీ అధ్యక్షుడు కూడా. ఇతను అసోసియేషన్ ఆఫ్ ఫిజీషియన్స్ ఆఫ్ ఇండియాకు మాజీ వైస్ ప్రెసిడెంట్, ఇప్పుడు దాని సలహా బోర్డు సభ్యుడు. జోషి అమెరికన్ అసోసియేషన్ ఆఫ్ క్లినికల్ ఎండోక్రినాలజీ (AACE) కార్యకలాపాలతో పాలుపంచుకున్నారు, దాని ఇండియా చాప్టర్ చైర్పర్సన్గా పనిచేస్తున్నారు. ఇతను గతంలో నిర్వహించిన కొన్ని స్థానాల్లో ఇవి ఉన్నాయి: మాయో క్లినిక్లో విజిటింగ్ క్లినిషియన్. టైప్ 2 డయాబెటిస్ నిర్వహణ కోసం ICMR-WHO టాస్క్ ఫోర్స్ సభ్యుడు. పశ్చిమ ఆస్ట్రేలియాలోని ఏషియన్ హెల్త్ క్లినిక్ డైరెక్టర్. "
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,,
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,,
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,,
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,"Sarin served as the chairman of the Board of Governors of the Medical Council of India, the body for medical education in India for the 2010–2011 term. He is a former president of the Indian Society of Gastroenterology, Indian National Association for the Study of the Liver (INASL) and the Asian Pacific Association for the Study of the Liver (APASL) and is the chairman of the steering committee of APASL. He has been the vice-chair of the International Association for Surgeons, Gastroenterologists and Oncologists (IASGO) and sat in the External Advisory Board of the Clinical Research Center of Yonsei University Severance Hospital. He is a member of the steering committees of Indo-German Science Centre for Infectious Diseases  (IG-SCID) and the World Digestive Health Day (WDHD) and is a board member of the Institute of Translational Hepatology, Beijing and Asian Pacific Digestive Week Federation (APDWF), Singapore. He is also a Collaborating Investigator of the APASL-ACLF Research Consortium, a forum of the experts on Acute-on-Chronic Liver Failure (ACLF) disease from the Asia Pacific region.","సరిన్ 2010-2011 కాలానికి భారతదేశంలో వైద్య విద్య కోసం మెడికల్ కౌన్సిల్ ఆఫ్ ఇండియా, బోర్డ్ ఆఫ్ గవర్నర్స్ ఛైర్మన్గా పనిచేశారు. ఇతను ఇండియన్ సొసైటీ ఆఫ్ గ్యాస్ట్రోఎంటరాలజీ, ఇండియన్ నేషనల్ అసోసియేషన్ ఫర్ ది స్టడీ ఆఫ్ ది లివర్ (INASL), ఆసియన్ పసిఫిక్ అసోసియేషన్ ఫర్ ది స్టడీ ఆఫ్ ది లివర్ (APASL)కి మాజీ అధ్యక్షుడు, APASL, స్టీరింగ్ కమిటీకి ఛైర్మన్. ఇతను ఇంటర్నేషనల్ అసోసియేషన్ ఫర్ సర్జన్స్, గ్యాస్ట్రోఎంటరాలజిస్ట్స్, ఆంకాలజిస్ట్స్ (IASGO)కి వైస్-చైర్గా ఉన్నాడు, యోన్సే యూనివర్శిటీ సెవెరెన్స్ హాస్పిటల్, క్లినికల్ రీసెర్చ్ సెంటర్, బాహ్య సలహా బోర్డులో కూర్చున్నాడు. ఇతను ఇండో-జర్మన్ సైన్స్ సెంటర్ ఫర్ ఇన్ఫెక్షియస్ డిసీజెస్ (IG-SCID), వరల్డ్ డైజెస్టివ్ హెల్త్ డే (WDHD), స్టీరింగ్ కమిటీలలో సభ్యుడు, ఇన్స్టిట్యూట్ ఆఫ్ ట్రాన్స్లేషనల్ హెపటాలజీ, బీజింగ్, ఆసియన్ పసిఫిక్ డైజెస్టివ్ వీక్ ఫెడరేషన్, బోర్డు సభ్యుడు. (APDWF), సింగపూర్. ఇతను APASL-ACLF రీసెర్చ్ కన్సార్టియం, సహకార పరిశోధకుడిగా కూడా ఉన్నారు, ఇది ఆసియా పసిఫిక్ ప్రాంతం నుండి అక్యూట్-ఆన్-క్రానిక్ లివర్ ఫెయిల్యూర్ (ACLF) వ్యాధిపై నిపుణుల ఫోరమ్. "
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
