,Recipients,family,family Telugu
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,,
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,,
3501,Satya Prakash,"Satya Prakash was married to Sushila Mittal, and has three children; Meena, Veena, and Div. Meena was born at Ottawa, Canada, while Veena and Div were both born in India.","సత్య ప్రకాష్ సుశీల మిట్టల్ను వివాహం చేసుకున్నారు, ముగ్గురు పిల్లలు ఉన్నారు; మీనా, వీణ, డివి. మీనా కెనడాలోని ఒట్టావాలో జన్మించగా, వీణా, దివ్ ఇద్దరూ భారతదేశంలో జన్మించారు. "
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,,
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,"At a very young age, he was married to Thayyu ammal. Thayyu ammal, he always acknowledged, was a pivotal factor in the success of his career. The entire family was run with stream line precision by Thayyu ammal, when he had to frequently travel for concerts and also spend most of his time involved in music.

Sons – Swaminathan, Gopalaswamy, Radhakrishnan
Daughters – Shantha, Dharma.
Grand Children – Jayaraman, Hariharan, Sreeraman, Lakshmanan, Yoga, Bala, Padma, Anandhi, Sankar, Jayashree, Srinivas, Vivekanandan, Vidya, JagannathAll his music and his notations are being digitized and it is available in the portal www.abhijaanaathi.com.  Notations can be dowloaded by Rasikas for free.","చాలా చిన్న వయస్సులో, ఇతను తయ్యు అమ్మాళ్తో వివాహం చేసుకున్నాడు. తయ్యు అమ్మాళ్, ఇతను ఎప్పుడూ అంగీకరించేది, అతని కెరీర్ విజయానికి కీలకమైన అంశం. ఇతను తరచూ సంగీత కచేరీల కోసం ప్రయాణించవలసి వచ్చినప్పుడు, సంగీతంలో ఎక్కువ సమయం గడపవలసి వచ్చినప్పుడు, తయ్యు అమ్మాల్ ద్వారా మొత్తం కుటుంబాన్ని స్ట్రీమ్ లైన్ ఖచ్చితత్వంతో నడిపించారు. కుమారులు - స్వామినాథన్, గోపాలస్వామి, రాధాకృష్ణన్ కుమార్తెలు - శాంత, ధర్మ. మనుమలు - జయరామన్, హరిహరన్, శ్రీరామన్, లక్ష్మణన్, యోగా, బాల, పద్మ, ఆనంది, శంకర్, జయశ్రీ, శ్రీనివాస్, వివేకానందన్, విద్య, జగన్నాథ్ అతని సంగీతం, అతని సంజ్ఞామానాలు అన్నీ డిజిటలైజ్ చేయబడుతున్నాయి, ఇది www పోర్టల్లో అందుబాటులో ఉంది. అభిజానాతి. com. రసికలు ఉచితంగా నోటేషన్లను డౌన్లోడ్ చేసుకోవచ్చు. "
3522,Sengaku Mayeda,,
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,,
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,,
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,"Smt. Bibijan is the only daughter of Sheik Chinna Moulana.  Chinna Moulana taught vocal music to his daughter.  Sheik Subhan Sahib is the son in law and also disciple of Sheik Chinna Moulana. Subhan Sahib accompanied sheik in concerts for few years. Chinna Moulana has five grand sons and one granddaughter. Of his five grandsons, Chinna Moulana trained Kasim and Babu vigorously and the brothers accompanied Chinna Moulana in his concerts both in home and abroad for many years.  Today, Kasim-Babu are the front ranking Nadhaswaram artistes and are the torch bearers of Chinnamoulana's tradition. Paul Sheik Chinna Kasim, one of the grandsons is actively involved in Christian ministry after his dramatic conversion to Christianity","శ్రీమతి. బీబీజాన్ షేక్ చిన్న మౌలానా ఏకైక కుమార్తె. చిన్న మౌలానా తన కుమార్తెకు గాత్ర సంగీతం నేర్పించారు. షేక్ సుభాన్ సాహిబ్ అల్లుడు, షేక్ చిన్న మౌలానా శిష్యుడు కూడా. సుభాన్ సాహిబ్ షేక్తో పాటు కొన్ని సంవత్సరాలు కచేరీలలో పాల్గొన్నారు. చిన్న మౌలానాకు ఐదుగురు మనుమలు, ఒక మనవరాలు ఉన్నారు. అతని ఐదుగురు మనవళ్లలో, చిన మౌలానా కాసిం, బాబుకు తీవ్రంగా శిక్షణ ఇచ్చాడు, సోదరులు చిన్న మౌలానాతో పాటు స్వదేశంలో, విదేశాలలో అతని సంగీత కచేరీలలో చాలా సంవత్సరాలు ఉన్నారు. ఈరోజు కాసిం-బాబు నాధస్వరం కళాకారులలో అగ్రస్థానంలో ఉన్నారు, చిన్నమౌలానా సంప్రదాయానికి జ్యోతి ప్రజ్వలన చేసేవారు. మనవళ్లలో ఒకరైన పాల్ షేక్ చిన్నా కాసిం నాటకీయంగా క్రైస్తవ మతంలోకి మారిన తర్వాత క్రైస్తవ పరిచర్యలో చురుకుగా పాల్గొంటున్నాడు. "
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,,
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,,
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,"Khale was born in a Chandraseniya Kayastha Prabhu family, having origins from Parali village in Kokan-Raigad zilla, Maharashtra, India. His father was Vinayak Kashinath Khale, and mother was Laxmi Vinayak Khale. His elder brother, Kashinath Khale, influenced his choice of a career in music.","ఖలే చంద్రసేనియా కాయస్థ ప్రభు కుటుంబంలో జన్మించాడు, భారతదేశంలోని మహారాష్ట్రలోని కోకన్-రాయ్గడ్ జిల్లాలోని పరలి గ్రామం నుండి మూలాలు కలిగి ఉన్నాడు. అతని తండ్రి వినాయక్ కాశీనాథ్ ఖాలే, తల్లి లక్ష్మీ వినాయక్ ఖాలే. అతని అన్నయ్య, కాశీనాథ్ ఖలే సంగీతంలో అతని వృత్తిని ఎంచుకున్నాడు. "
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,"Satwalekar's son, Madhav Satwalekar (1915 – 2006) was also a renowned painter and artist in his own right.","సత్వలేకర్ కుమారుడు, మాధవ్ సత్వలేకర్ (1915 - 2006) కూడా తన స్వంత హక్కులో ప్రఖ్యాత చిత్రకారుడు, కళాకారుడు. "
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,"Mishra is married to Kadambini Mishra, who has also acted as co-scriptwriter for a number of his films. He has two sons, Sagar and Sameer.","మిశ్రా కాదంబిని మిశ్రాను వివాహం చేసుకున్నాడు, ఇతను తన అనేక చిత్రాలకు సహ-స్క్రిప్ట్ రైటర్గా కూడా పనిచేశాడు. ఆయనకు సాగర్, సమీర్ అనే ఇద్దరు కుమారులు ఉన్నారు. "
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,"Ganesan was the fourth son of his family. He had three brothers and one sister. Ganesan married Kamala in 1952 and had four children. His younger son Prabhu is a notable Tamil actor. Ganesan established a film production company in the late 1950s, now called Sivaji Productions, which is now being looked after by his elder son Ramkumar. He has two daughters Shanthi and Thenmozhi. Two of his grandsons have also appeared in films, with Ramkumar's son Dushyanth Ramkumar having the stage name of Junior Sivaji. Moreover, Vikram Prabhu debuted in the critically acclaimed film Kumki in 2012.","గణేశన్ అతని కుటుంబానికి నాల్గవ కుమారుడు. అతనికి ముగ్గురు సోదరులు, ఒక సోదరి ఉన్నారు. గణేశన్ 1952లో కమలను వివాహమాడి నలుగురు పిల్లలను కన్నారు. అతని చిన్న కుమారుడు ప్రభు ప్రముఖ తమిళ నటుడు. గణేశన్ 1950ల చివరలో ఒక చలనచిత్ర నిర్మాణ సంస్థను స్థాపించాడు, ఇప్పుడు శివాజీ ప్రొడక్షన్స్ అని పిలవబడేది, దానిని ఇప్పుడు అతని పెద్ద కుమారుడు రామ్కుమార్ చూసుకుంటున్నాడు. ఆయనకు శాంతి, తేన్మొళి అనే ఇద్దరు కుమార్తెలు ఉన్నారు. రామ్కుమార్ కుమారుడు దుష్యంత్ రామ్కుమార్కు జూనియర్ శివాజీ అనే స్టేజ్ పేరు ఉండడంతో అతని ఇద్దరు మనవళ్లు కూడా సినిమాల్లో కనిపించారు. అంతేకాకుండా, విక్రమ్ ప్రభు 2012లో విమర్శకుల ప్రశంసలు పొందిన చిత్రం కుమ్కిలో అడుగుపెట్టారు. "
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,"His elder brother, Satish Ranjan Khastgir, was a noted physicist, whose granddaughter is married to writer Amit Chaudhuri, while his own daughter Shyamoli Khastgir, an environmental activist, once married to architect, Lee Tan, lives in Purba Palli, Shantiniketan.","అతని అన్నయ్య, సతీష్ రంజన్ ఖస్త్గీర్, ప్రముఖ భౌతిక శాస్త్రవేత్త, అతని మనవరాలు రచయిత అమిత్ చౌధురిని వివాహం చేసుకున్నారు, అతని స్వంత కుమార్తె శ్యామోలి ఖస్త్గీర్, పర్యావరణ కార్యకర్త, ఒకప్పుడు ఆర్కిటెక్ట్ లీ తాన్ను వివాహం చేసుకుంది, శాంతినికేతన్లోని పుర్బా పల్లిలో నివసిస్తుంది. "
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,"He is survived by his wife Bano, son Sabir Khan who is his disciple and a sarangi player, as well as two daughters Reshma and Shera. His brother Late Nasir Khan was a sitar player, as is his younger brother Niyaz Ahmed Khan. His nephews include Salamat Ali Khan (sitar player), Imran Khan (sitar player and music composer), Dilshad Khan (sarangi player) and Irfan Khan (sitar player). His most prominent student has been London-based Kaleem Sheikh (vocalist and musicologist). He has been a music journalist for the BBC and has successfully performed at London's Nehru centre and other venues. His work has received commendations from British Parliamentatians.","అతనికి భార్య బానో, కుమారుడు సాబీర్ ఖాన్ శిష్యుడు, సారంగి వాయకుడు, అలాగే ఇద్దరు కుమార్తెలు రేష్మ, షేరా ఉన్నారు. అతని సోదరుడు దివంగత నాసిర్ ఖాన్, అతని తమ్ముడు నియాజ్ అహ్మద్ ఖాన్ కూడా సితార్ వాద్యకారుడు. అతని మేనల్లుళ్లలో సలామత్ అలీ ఖాన్ (సితార్ ప్లేయర్), ఇమ్రాన్ ఖాన్ (సితార్ ప్లేయర్, మ్యూజిక్ కంపోజర్), దిల్షాద్ ఖాన్ (సారంగి ప్లేయర్), ఇర్ఫాన్ ఖాన్ (సితార్ ప్లేయర్) ఉన్నారు. అతని అత్యంత ప్రముఖ విద్యార్థి లండన్కు చెందిన కలీమ్ షేక్ (గాయకుడు, సంగీత విద్వాంసుడు). ఇతను BBC కోసం మ్యూజిక్ జర్నలిస్ట్గా ఉన్నాడు, లండన్లోని నెహ్రూ సెంటర్, ఇతర వేదికలలో విజయవంతంగా ప్రదర్శన ఇచ్చాడు. అతని పని బ్రిటిష్ పార్లమెంటు సభ్యుల నుండి ప్రశంసలు అందుకుంది. "
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,"Mittal has been married ""for decades"" to Nyna Mittal, a philanthropist who focuses on education.  The couple has one daughter and two sons, who are twins, born August 31, 1987.  The daughter, Eiesha Bharti Pasricha, a ""lifestyle investor,"" lives in London with her husband, businessman Sharan Pasricha, and their two children.  One son, Kavin Bharti Mittal, is an entrepreneur and the founder and CEO of Hike, a New Delhi-headquartered tech and internet startup.  The other son, Shravin Bharti Mittal, is the founder and CEO of Unbound, a London-based venture capital and private equity firm, and a director of Bharti Global Ltd, a London-headquartered firm in the Bharti corporate family.  He was reportedly instrumental in the successful acquisition of OneWeb.  In April 2015, in Delhi, Shavrin married Sakshi Chhabra.","మిట్టల్ విద్యపై దృష్టి సారించే పరోపకారి నినా మిట్టల్తో ""దశాబ్దాల"" వివాహం చేసుకున్నారు. ఈ దంపతులకు ఒక కుమార్తె, ఇద్దరు కుమారులు ఉన్నారు, వీరు కవలలు, ఆగస్టు 31, 1987న జన్మించారు. కుమార్తె, ఈషా భారతి పస్రిచా, ""లైఫ్స్టైల్ ఇన్వెస్టర్"", ఈమె భర్త, వ్యాపారవేత్త శరణ్ పస్రిచా, వారి ఇద్దరు పిల్లలతో కలిసి లండన్లో నివసిస్తున్నారు. ఒక కుమారుడు, కవిన్ భారతి మిట్టల్, ఒక పారిశ్రామికవేత్త, హైక్, న్యూఢిల్లీ ప్రధాన కార్యాలయం కలిగిన టెక్, ఇంటర్నెట్ స్టార్టప్ వ్యవస్థాపకుడు, CEO. మరొక కుమారుడు, శ్రవీణ్ భారతీ మిట్టల్, లండన్కు చెందిన వెంచర్ క్యాపిటల్, ప్రైవేట్ ఈక్విటీ సంస్థ అయిన అన్బౌండ్ వ్యవస్థాపకుడు, CEO, భారతి కార్పొరేట్ కుటుంబంలో లండన్ ప్రధాన కార్యాలయం కలిగిన భారతి గ్లోబల్ లిమిటెడ్, డైరెక్టర్. వన్వెబ్ని విజయవంతంగా కొనుగోలు చేయడంలో ఆయన కీలక పాత్ర పోషించినట్లు సమాచారం. ఏప్రిల్ 2015లో, ఢిల్లీలో, షావ్రిన్ సాక్షి ఛబ్రాను వివాహం చేసుకుంది. "
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
