,Recipients,education and career,education and career Telugu
3438,Sankho Chaudhuri,,
3439,Sant Kaur,,
3440,Sant Singh Chatwal,,
3441,Sant Singh Sekhon,,
3442,Sant Singh Virmani,,
3443,Santidev Ghosh,,
3444,Santosh Kumar Kackar,,
3445,Santosh Kumar Mazumdar,,
3446,Santosh Kumar Mukerji,,
3447,Santosh Kumar Mukherjee,,
3448,Santosh Kumar Sen,,
3449,Santosh Sivan,,
3450,Santosh Yadav,,
3451,Santu Shahaney,,
3452,Sarabjit Singh,,
3453,Sarbdeep Singh Virk,,
3454,Sarbeswar Sahariah,,
3455,Sarda Nand Singh,,
3456,Sarda Prasad Varma,,
3457,Sardar Anjum,,
3458,Sardar Harnarain Singh,,
3459,Sardar Mohan Singh,,
3460,Sardar Sohan Singh,,
3461,Sardara Singh,,
3462,Sardara Singh Johl,,
3463,Sardarilal Mathradas Nanda,,
3464,Sarita Joshi,,
3465,Saroj Chooramani Gopal,,
3466,Saroj Ghose,,
3467,Saroj Kumar Gupta,,
3468,Saroj Raj Choudhury,,
3469,Saroja Chidambaram,,
3470,Saroja Vaidyanathan,,
3471,Sarojini Varadappan,,
3472,Sartaj Singh,,
3473,Sarungbam Bimola Kumari Devi,,
3474,Sarvagya Singh Katiyar,,
3475,Sarvepalli Gopal,,
3476,Saryu Vinod Doshi,,
3477,Sashadhar Mukherjee,,
3478,Sat Pal Khattar,,
3479,Satchindanand Keshav Nargundkar,,
3480,Sathyanarayan Mundayoor,,
3481,Satish Alekar,,
3482,Satish Chandra Kakati,,
3483,Satish Chandra Kala,,
3484,Satish Chandra Majumdar,,
3485,Satish Chandra Rai,,
3486,Satish Dhawan,,
3487,Satish Gujral,,
3488,Satish Kumar,,
3489,Satish Kumar Kaura,,
3490,Satish Nambiar,,
3491,Satish Vyas,,
3492,Satpal Singh,,
3493,Sattaiyappa Dhandapani Desikar,,
3494,Satya Dev,,
3495,Satya N. Atluri,"Atluri received his pre-university education at the Government College, Rajahmundry, university education at Andhra University (1964) at the engineering college in Kakinada now known as the Jawaharlal Nehru Technological University, Kakinada, the Indian Institute of Science (1966), and Massachusetts Institute of Technology (earned, March 1969). He received Doctor of Science degrees from Massachusetts Institute of Technology (March 1969), National University of Ireland (1988, honoris causa), Slovak Academy of Sciences (2005, honoris causa), University of Patras, Greece (2007, honoris causa),  University of Nova Gorica, Slovenia (2009, honoris causa), and University of Montenegro Podgorica, Montengro (2020,honoris causa). He joined MIT as a research associate from 1969 to 1971 and then joined the faculty in the Aero & Astro department at the University of Washington as an assistant professor from 1971 to 1973. He moved to Georgia Tech as a professor of Engineering Science & Mechanics from 1973 to 1979, and became the youngest regents’ professor of Engineering to be appointed in Georgia Tech's history from 1979 to 1998. He was the first institute professor to be appointed in Georgia Tech's history from 1991 to 1998. From 1991 to 1998, he became the director of Federal Aviation Administration National Center for Aircraft Structures, and was appointed as Hightower Chair in Engineering at Georgia Tech from 1996 to 1998. He was also appointed as Jerome C. Hunsaker Professor of Aeronautics at MIT from 1990 to 1991, Distinguished Professor of aerospace engineering at University of California, Los Angeles from 1996 to 2002, and the Theodore von Karman Chair Professor in Aerospace Engineering and Distinguished Professor, University of California, Irvine from 2002 to 2015. In December 2015, he moved to Lubbock, Texas, and joined the faculty of Texas Tech University as the Presidential Chair and University Distinguished Professor.
He was honored as Faculty Fellow and Eminent Scholar at the Hagler Institute for Advanced Studies at Texas A & M University, and as Distinguished Professor of Multidisciplinary Engineering & Computer Science, King Abdulaziz University, Saudi Arabia, from 2013 to the present","అట్లూరి రాజమండ్రిలోని ప్రభుత్వ కళాశాలలో పూర్వ విశ్వవిద్యాలయ విద్యను, ఆంధ్ర విశ్వవిద్యాలయంలో విశ్వవిద్యాలయ విద్యను (1964) కాకినాడలోని ఇంజనీరింగ్ కళాశాలలో ప్రస్తుతం జవహర్లాల్ నెహ్రూ సాంకేతిక విశ్వవిద్యాలయం, కాకినాడ, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్ (1966), మసాచుసెట్స్లో పొందారు. ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ (మార్చి 1969లో సంపాదించబడింది). ఇతను మసాచుసెట్స్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ (మార్చి 1969), నేషనల్ యూనివర్శిటీ ఆఫ్ ఐర్లాండ్ (1988, హానోరిస్ కాసా), స్లోవాక్ అకాడమీ ఆఫ్ సైన్సెస్ (2005, హానర్రిస్ కాసా), యూనివర్శిటీ ఆఫ్ పట్రాస్, గ్రీస్ (2007, హానోరిస్ కాసా) నుండి డాక్టర్ ఆఫ్ సైన్స్ డిగ్రీలను అందుకున్నాడు. యూనివర్శిటీ ఆఫ్ నోవా గోరికా, స్లోవేనియా (2009, హానోరిస్ కాసా),, యూనివర్శిటీ ఆఫ్ మోంటెనెగ్రో పోడ్గోరికా, మోంటెంగ్రో (2020, హానోరిస్ కాసా). ఇతను 1969 నుండి 1971 వరకు MITలో రీసెర్చ్ అసోసియేట్గా చేరాడు, 1971 నుండి 1973 వరకు వాషింగ్టన్ విశ్వవిద్యాలయంలోని ఏరో & ఆస్ట్రో విభాగంలో అధ్యాపకులుగా అసిస్టెంట్ ప్రొఫెసర్గా చేరాడు. ఇతను 1973 నుండి 1979 వరకు ఇంజినీరింగ్ సైన్స్ & మెకానిక్స్ ప్రొఫెసర్గా జార్జియా టెక్కి మారాడు, 1979 నుండి 1998 వరకు జార్జియా టెక్ చరిత్రలో నియమించబడిన అత్యంత పిన్న వయస్కులైన ఇంజినీరింగ్ ప్రొఫెసర్ అయ్యాడు. ఇతను 1991 నుండి 1998 వరకు జార్జియా టెక్ చరిత్రలో నియమించబడిన మొదటి ఇన్స్టిట్యూట్ ప్రొఫెసర్. 1991 నుండి 1998 వరకు, ఇతను ఫెడరల్ ఏవియేషన్ అడ్మినిస్ట్రేషన్ నేషనల్ సెంటర్ ఫర్ ఎయిర్క్రాఫ్ట్ స్ట్రక్చర్స్ డైరెక్టర్ అయ్యాడు, 1996 నుండి 1998 వరకు జార్జియా టెక్లో ఇంజనీరింగ్లో హైటవర్ చైర్గా నియమించబడ్డాడు. ఇతను జెరోమ్ సిగా కూడా నియమించబడ్డాడు. 1990 నుండి 1991 వరకు MITలో హున్సేకర్ ఏరోనాటిక్స్ ప్రొఫెసర్, 1996 నుండి 2002 వరకు యూనివర్సిటీ ఆఫ్ కాలిఫోర్నియా, లాస్ ఏంజిల్స్లో ఏరోస్పేస్ ఇంజినీరింగ్ విశిష్ట ప్రొఫెసర్, థియోడర్ వాన్ కర్మన్ చైర్ ప్రొఫెసర్, ఇంజినీరింగ్ నుండి Cv20 2015. డిసెంబర్ 2015లో, ఇతను టెక్సాస్లోని లుబ్బాక్కి వెళ్లి, టెక్సాస్ టెక్ యూనివర్సిటీ ఫ్యాకల్టీలో ప్రెసిడెన్షియల్ చైర్గా, యూనివర్సిటీ విశిష్ట ప్రొఫెసర్గా చేరాడు. ఇతను టెక్సాస్ A & M విశ్వవిద్యాలయంలోని హాగ్లర్ ఇన్స్టిట్యూట్ ఫర్ అడ్వాన్స్డ్ స్టడీస్లో ఫ్యాకల్టీ ఫెలో, ఎమినెంట్ స్కాలర్గా, సౌదీ అరేబియాలోని కింగ్ అబ్దులాజీజ్ విశ్వవిద్యాలయంలో మల్టీడిసిప్లినరీ ఇంజనీరింగ్ & కంప్యూటర్ సైన్స్ విశిష్ట ప్రొఫెసర్గా 2013 నుండి ఇప్పటి వరకు గౌరవించబడ్డాడు. "
3496,Satya Narayan Gourisaria,,
3497,Satya Narayana Shastri,,
3498,Satya Pal Jagota,,
3499,Satya Pal Wahi,,
3500,Satya Paul Agarwal,,
3501,Satya Prakash,,
3502,Satya Prosad Chatterjee,,
3503,Satya Vrat Shastri,,
3504,Satyadev Dubey,,
3505,Satyajit Ray,,
3506,Satyamitranand Giri,,
3507,Satyanarayana Rajguru,,
3508,Satyapal Dang,,
3509,Satyaram Reang,,
3510,Satyendra Nath Bose,,
3511,Saumitra Rawat,,
3512,Saurabh Srivastava,,
3513,Savita Behen,,
3514,Savitri Indrajit Parekh,,
3515,Savitri Sahni,,
3516,Sayed Mehboob Shah Qadri,,
3517,Sayyid Ahmedullah Qadri,,
3518,Sekhar Basu,"Basu was born on 20 September 1952 in Muzaffarpur, in the Indian state of Bihar. He attended Ballygunge Government High School, Kolkata, and graduated in mechanical engineering from Veermata Jijabai Technological Institute, University of Mumbai in 1974.After completion of a year at the Bhabha Atomic Research Centre's training school, he joined the Reactor Engineering Division in the same institute in 1975. He went on to work as a project director of the Nuclear Submarine program and as the chief executive of the Nuclear Recycle Board at BARC India.He further went on to become the Director of the Bhabha Atomic Research Centre in 2012 and was appointed the chairman of the Indian Atomic Energy Commission and Secretary to the Government of India, Department of Atomic Energy (DAE) in 2015, and served in this position through September 2018.","బసు భారతదేశంలోని బీహార్ రాష్ట్రంలోని ముజఫర్పూర్లో 20 సెప్టెంబర్ 1952న జన్మించాడు. ఇతను కోల్కతాలోని బల్లిగంజ్ ప్రభుత్వ ఉన్నత పాఠశాలలో చదివాడు, 1974లో ముంబై విశ్వవిద్యాలయంలోని వీర్మాత జిజాబాయి టెక్నలాజికల్ ఇన్స్టిట్యూట్ నుండి మెకానికల్ ఇంజనీరింగ్లో పట్టభద్రుడయ్యాడు. భాభా అటామిక్ రీసెర్చ్ సెంటర్ శిక్షణ పాఠశాలలో ఒక సంవత్సరం పూర్తి చేసిన తర్వాత, ఇతను 1975లో అదే సంస్థలోని రియాక్టర్ ఇంజనీరింగ్ విభాగంలో చేరాడు. ఇతను న్యూక్లియర్ సబ్మెరైన్ ప్రోగ్రామ్, ప్రాజెక్ట్ డైరెక్టర్గా, BARC ఇండియాలో న్యూక్లియర్ రీసైకిల్ బోర్డ్, చీఫ్ ఎగ్జిక్యూటివ్గా పనిచేశాడు. ఇతను 2012లో భాభా అటామిక్ రీసెర్చ్ సెంటర్కు డైరెక్టర్గా కొనసాగాడు, 2015లో భారత అణుశక్తి కమిషన్ ఛైర్మన్గా, భారత ప్రభుత్వ అటామిక్ ఎనర్జీ డిపార్ట్మెంట్ (DAE) కార్యదర్శిగా నియమితులయ్యారు, ఈ పదవిలో పనిచేశారు. సెప్టెంబర్ 2018 వరకు. "
3519,Sekharipuram Narayana Aiyar Seshadri,,
3520,Selma D' Silva,,
3521,Semmangudi Srinivasa Iyer,,
3522,Sengaku Mayeda,,
3523,Sentila T. Yanger,,
3524,Seth Govind Das,,
3525,Seth Sri Krishan Dass,,
3526,Setu Madhavrao Pagdi,,
3527,Seyed E. Hasnain,,
3528,Shabana Azmi,,
3529,Shabbir Sayyad,,
3530,Shadab Mohammad,,
3531,Shadi Lal Dhawan,,
3532,Shafaat Ahmed Khan,,
3533,Shah Rukh Khan,,
3534,Shahabuddin Rathod,,
3535,Shahid Parvez Khan,,
3536,Shahir Krishnarao Sable,,
3537,Shahnaz Husain,,
3538,Shaik Khader Noordeen,,
3539,Shailendra Nath Shrivastava,,
3540,Shaji N. Karun,,
3541,Shakoor Khan,,
3542,Shakuntala Paranjpye,,
3543,Shalil Ghosh,,
3544,Shalini Moghe,,
3545,Shamaprasad Rupshanker Vasavada,,
3546,Shambhu Dayal Sinvhal,,
3547,Shambhu Maharaj,,
3548,Shambu Nath Khajuria,,
3549,Shambu Nath Mukheerjee,,
3550,Shameem Dev Azad,,
3551,Shamrao Sakaramrao Kadam,,
3552,Shamshad Begum,,
3553,Shamshad Begum (social worker),,
3554,Shamsher Singh,,
3555,Shamsuddin Sheikh,,
3556,Shamsur Rahman Faruqi,,
3557,Shankar Bapu Apegaonkar,,
3558,Shankar Lakshman,,
3559,Shankar Mahadevan,,
3560,Shankar Ramachandra Panhale,,
3561,Shanker Singh Ram Raghuvanshi,,
3562,Shankha Ghosh,,
3563,Shanmugam Kameshwaran,,
3564,Shanno Khurana,,
3565,Shanta Dhananjayan,,
3566,Shanta Gandhi,,
3567,Shanta Rao,,
3568,Shantanu Lakshman Kirloskar,,
3569,Shantanu Narayen,,
3570,Shantha Sinha,,
3571,Shanthi Ranganathan,,
3572,Shanti Dave,,
3573,Shanti Hiranand,,
3574,Shanti Jain,,
3575,Shanti Kumar Tribhuvandas Raja,,
3576,Shanti Lal Jain,,
3577,Shanti Prasad,,
3578,Shanti Roy,,
3579,Shanti Swaroop Bhatnagar,,
3580,Shanti Teresa Lakra,,
3581,Shantilal B. Pandya,,
3582,Shantilal C. Sheth,,
3583,Shantilal Jamnadas Mehta,,
3584,Shaoli Mitra,,
3585,Sharad Joshi,,
3586,Sharad Kumar Dixit,,
3587,Sharad Moreshwar Hardikar,,
3588,Sharad P. Kale,,
3589,Sharad Pawar,,
3590,Sharada Srinivasan,,
3591,Sharafat Hussain Khan,,
3592,Sharan Rani Backliwal,,
3593,Sharath Kamal,,
3594,Sharayu Daftary,,
3595,Sharda Sinha,,
3596,Shareefunnisa Begum Ansari,,
3597,Sharmila Tagore,,
3598,Shashadhar Acharya,,
3599,Shashank R. Joshi,,
3600,Shashi Bhushan,,
3601,Shashi Deshpande,,
3602,Shashi Kapoor,,
3603,Shashikala,,
3604,Shashikumar Chitre,,
3605,Shayama Chona,,
3606,Sheela Borthakur,,
3607,Sheela Patel,,
3608,Sheik Chinna Moulana,,
3609,Sheik Mahabook Subani,,
3610,Sheik Nazar,,
3611,Sheikh Abdullah,,
3612,Sheikh Gulab,,
3613,Sheikh Mohd. Rafique,,
3614,Sheila Bhatia,,
3615,Shekhar Gupta,,
3616,Shekhar Kapur,,
3617,Shekhar Naik,,
3618,Shekhar Pathak,,
3619,Shekhar Sen,,
3620,Sheldon Pollock,,
3621,Sheo Bhagwan Tibrewal,,
3622,Sher Singh Sher,,
3623,Shiba P. Chatterjee,,
3624,Shiela Mehra,,
3625,Shila Jhunjhunwala,,
3626,Shiny Abraham,,
3627,Shinzo Abe,,
3628,Shishupal Ram,,
3629,Shital Mahajan,,
3630,Shital Raj Mehta,,
3631,Shiv Datt Nirmohi,,
3632,Shiv Dutt Upadhyaya,,
3633,Shiv K. Kumar,,
3634,Shiv Kumar Sarin,,
3635,Shiv Nadar,,
3636,Shiv Narain Kureel,,
3637,Shiv Raj Kumar Malik,,
3638,Shiv Sharma,,
3639,Shivaji Ganesh Patwardhan,,
3640,Shivajirao Girdhar Patil,,
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,"Sucheta did her schooling at St. Joseph’s Convent School, Belagavi. She then studied B.Sc Statistics at Karnataka College, Dharwad. She is a trained lawyer having gained LL.B and LL.M from Bombay University.Subsequently, in 1984, Sucheta began her career in journalism by landing a job with Fortune India, an investment magazine.  Later, she went on to work in news companies like Business Standard and The Economic Times. 
In the early 1990s, Dalal joined the prominent Mumbai based newspaper Times of India as a journalist for their Business and economics wing","సుచేత సెయింట్లో పాఠశాల విద్యను అభ్యసించింది. జోసెఫ్ కాన్వెంట్ స్కూల్, బెలగావి. ఆ తర్వాత బి చదివింది. కర్నాటక కళాశాల, ధార్వాడ్లో Sc గణాంకాలు. LL పట్టా పొందిన ఈమె శిక్షణ పొందిన న్యాయవాది. B, LL. బాంబే యూనివర్సిటీ నుండి ఎం. తదనంతరం, 1984లో, సుచేత ఫార్చ్యూన్ ఇండియా అనే పెట్టుబడి పత్రికలో ఉద్యోగం చేయడం ద్వారా జర్నలిజంలో తన వృత్తిని ప్రారంభించింది. తరువాత, ఈమె బిజినెస్ స్టాండర్డ్, ది ఎకనామిక్ టైమ్స్ వంటి వార్తా సంస్థలలో పని చేసింది. 1990ల ప్రారంభంలో, దలాల్ ముంబైకి చెందిన ప్రముఖ వార్తాపత్రిక టైమ్స్ ఆఫ్ ఇండియాలో వారి వ్యాపారం, ఆర్థిక శాస్త్ర విభాగానికి పాత్రికేయుడిగా చేరారు. "
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,,
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,,
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,,
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,,
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,,
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
