,Recipients,controversy,controversy Telugu
3641,Shivakumara Swami,,
3642,Shivanarayan Motilal Rathi,,
3643,Shivkumar Sharma,,
3644,Shivmangal Singh Suman,,
3645,Shivram Bhoje,,
3646,Shobana,,
3647,Shobha Deepak Singh,,
3648,Shobha Gurtu,,
3649,Shobha Naidu,,
3650,Shobha Raju,,
3651,Shobhana Bhartia,,
3652,Shobhana Ranade,,
3653,Shoji Shiba,,
3654,Shovana Narayan,,
3655,Shree Lal Joshi,,
3656,Shreekrishna Mahadeo Beharay,,
3657,Shreyans Prasad Jain,,
3658,Shri Krishna Joshi,,
3659,Shri Ram Mehta,,
3660,Shridhar Sharma,,
3661,Shrikrishna N. Ratanjankar,,
3662,Shrinivas Khale,,
3663,Shrinivas S. Vaishya,,
3664,Shriniwas,,
3665,Shripad Damodar Satwalekar,,
3666,Shriram Lagoo,,
3667,Shriram Sharma,,
3668,Shubha Mudgal,,
3669,Shyam Benegal,,
3670,Shyam Nandan Prasad Kishore,,
3671,Shyam Nandan Sahay,,
3672,Shyam Narain Panday,,
3673,Shyam Narayan Arya,,
3674,Shyam Saran,,
3675,Shyam Singh Shashi,,
3676,Shyam Sundar Paliwal,,
3677,Shyam Sundar Sharma,,
3678,Shyam Sunder Maheshwari,,
3679,Shyama Charan Pati,,
3680,Shyama Prasad Mandal,,
3681,Shyama Prasad Mukherjee,,
3682,Shyamala Pappu,,
3683,Shyamlal Chaturvedi,,
3684,Shyamlal Gupta,,
3685,Sibte Hasan Zaidi,,
3686,Sidda Nath Kaul,,
3687,Siddhartha Mehta,,
3688,Siddhartha Mukherjee,,
3689,Siddheshwar Shastri Chitrav,,
3690,Siddheshwar Varma,,
3691,Siddheshwari Devi,,
3692,Sidhu Randhawa,,
3693,Sidney Dillon Ripley,,
3694,Sikandar Ali Wajd,,
3695,Sikander Bakht,,
3696,Sikkil Natesan Neela,,
3697,Sikkil Venkatraman Kunjumani,,
3698,Silverine Swer,,
3699,Simon Oraon,,
3700,Siramdasu Venkata Rama Rao,,
3701,Sirivennela Seetharama Sastry,,
3702,Sirkazhi G. Sivachidambaram,,
3703,Sirkazhi Govindarajan,,
3704,Sirtaj Singh Sahi,,
3705,Sis Ram Ola,,
3706,Sisir Kumar Bhaduri,,
3707,Sisir Kumar Lahiri,,
3708,Sisir Kumar Mitra,,
3709,Sisir Mishra,,
3710,Sister M. Cyril Mooney,,
3711,Sister Nirmala,,
3712,Sistha Venkata Seetharama Shastry,,
3713,Sita Devi,,
3714,Sita Ram Lalas,,
3715,Sita Ram Pal,,
3716,Sitakant Mahapatra,,
3717,Sitanshu Yashaschandra,,
3718,Sitara Devi,,
3719,Sitaram Rao Valluri,,
3720,Sitaram Seksaria,,
3721,Sitavva Joddati,,
3722,Sitimon Sawain,,
3723,Sivaji Ganesan,,
3724,Sivamani,,
3725,Sivananda Rajaram,,
3726,Sivanthi Adithan,,
3727,Sivapatham Vittal,,
3728,Sivaraj Ramseshan,,
3729,Sivaramakrishna Chandrasekhar,,
3730,Siyaram Tiwari,,
3731,Skendrowell Syiemlieh,,
3732,Smita Patil,,
3733,Sneh Bhargava,,
3734,Sobha Singh,,
3735,Sohan Lal Dwivedi,,
3736,Sohan Singh Bhakna,,
3737,Sohrab Pestonji Shroff,,
3738,Sohrab Pirojsha Godrej,,
3739,Soli Sorabjee,,
3740,Solomon Pappaiah,,
3741,Som Nath Bhaskar,,
3742,Som Nath Sadhu,,
3743,Soma Ghosh,,
3744,Somasundaram Subramanian,,
3745,Sombhu Mitra,,
3746,Somdet Phra Maha Muniwong,,
3747,Somdev Devvarman,,
3748,Somnath Hore,,
3749,Sonal Mansingh,,
3750,Sonam Gyatso (mountaineer),,
3751,Sonam Narboo,,
3752,Sonam Paljor,,
3753,Sonam Skalzang,,
3754,Sonam Tshering Lepcha,,
3755,Sonam Wangyal,,
3756,Sooni Taraporevala,,
3757,Sooranad Kunjan Pillai,,
3758,Sophia Wadia,,
3759,Sougaijam Thanil Singh,,
3760,Soumitra Chatterjee,,
3761,Sourav Ganguly,,
3762,Sourendra Nath Kohli,,
3763,Sri Lal Sukla,,
3764,Sri M,,
3765,Sri Prakasa,,
3766,Sri Ram Bharatya,,
3767,Sri Sri Ravi Shankar,,
3768,Sribhas Chandra Supakar,,
3769,Sridevi,,
3770,Sridhar Upadhyay,,
3771,Sridhar Vembu,,
3772,Srikant Datar,,
3773,Srikanth Kidambi,,
3774,Srikumar Banerjee,,
3775,Srinibash Udgata,,
3776,Srinivasa Ambujammal,,
3777,Srinivasa Anandaram,,
3778,Srinivasa Natarajan,,
3779,Srinivasan Varadarajan,,
3780,Srinivasaraghavan Venkataraghavan,,
3781,Sripada Pinakapani,,
3782,Sriram Singh,,
3783,Srirangam Gopalaratnam,,
3784,Stanislaus Joseph Coelho,,
3785,Stanley John,,
3786,Stella Kramrisch,,
3787,Sthanam Narasimha Rao,,
3788,Subashni,,
3789,Subbiah Arunan,,
3790,Subbu Arumugam,,
3791,Subhash C. Kashyap,,
3792,Subhash Kak,,
3793,Subhash Mukhopadhyay,,
3794,Subhash Palekar,,
3795,Subhasini Mistry,,
3796,Subodh Chandra Muk Dev,,
3797,Subodh Chandra Sengupta,,
3798,Subra Suresh,,
3799,Subrahmanyan Chandrasekhar,,
3800,Subramaniam Ramadorai,,
3801,Subramanya Iyer Balakrishnan,,
3802,Subramanyam Paramanandan,,
3803,Subrat Kumar Acharya,,
3804,Subrata Mitra,,
3805,Subroto Das,,
3806,Sucheta Dalal,,
3807,Suchitra Mitra,,
3808,Suchitra Sen,,
3809,Sudam Kate,,
3810,Sudarsan Pattnaik,,
3811,Sudarshan K. Aggarwal,,
3812,Sudarshan Sahoo,,
3813,Sudha Kaul,,
3814,Sudha Malhotra,,
3815,Sudha Murty,,
3816,Sudha Ragunathan,,
3817,Sudha Varghese,,
3818,Sudha Venkatasiva Reddy,,
3819,Sudhakar Dwarka Nath Soman,,
3820,Sudhanshu Biswas,,
3821,Sudhansu Kumar Chakravarty,,
3822,Sudhansu Sobhan Maitra,,
3823,Sudharak Olwe,,
3824,Sudharani Raghupathy,,
3825,Sudheer Sojwal,,
3826,Sudhindra Nath Mukerjee,,
3827,Sudhir K. Jain,,
3828,Sudhir Khastgir,,
3829,Sudhir Kumar Sopory,,
3830,Sudhir M. Parikh,,
3831,Sudhir Ranjan Sengupta,,
3832,Sudhir Tailang,,
3833,Sudhir V. Shah,,
3834,Sugathakumari,,
3835,Suhas Pandurang Sukhatme,,
3836,Suhas Vitthal Mapuskar,,
3837,Sujit Chattopadhyay,,
3838,Sujoy B. Roy,,
3839,Sujoy K. Guha,,
3840,Sukh Dev,,
3841,Sukhadeo Thorat,,
3842,Sukhbir Singh Badal,,
3843,Sukhdev Pande,,
3844,Sukhdev Singh,,
3845,Sukhdev Singh Dhindsa,,
3846,Sukhlal Sanghvi,,
3847,Sukri Bommagowda,,
3848,Sukumar Bose,,
3849,Sukumar Sen (civil servant),,
3850,Sukumar Sen (linguist),,
3851,Sukumari,,
3852,Sulabha Panandikar,,
3853,Sulagitti Narasamma,,
3854,Sulochana Latkar,,
3855,Sulochana Mohan Lal Modi,,
3856,Sultan Khan,,
3857,Sultan Singh,,
3858,Suman Sahai,,
3859,Sumant Kishore Jain,,
3860,Sumant Moolgaokar,,
3861,Sumathiben Nemchand Shah,,
3862,Sumati Morarjee,,
3863,Sumati Mutatkar,,
3864,Sumitra Charat Ram,,
3865,Sumitra Guha,,
3866,Sumitra Mahajan,,
3867,Sumitranandan Pant,,
3868,Sunayana Hazarilal,,
3869,Sundar Menon,,
3870,Sundaram Balachander,,
3871,Sundaram Krishnamurthi,,
3872,Sundaram Natarajan,,
3873,Sundaram Ramakrishnan,,
3874,Sundaram Ramakrishnan (social activist),,
3875,Sundaram Verma,,
3876,Sundari K. Shridharani,,
3877,Sunder Das Khungar,,
3878,Sunder Lal Patwa,,
3879,Sunderlal Bahuguna,,
3880,Sunil Chhetri,,
3881,Sunil Dabas,,
3882,Sunil Das,,
3883,Sunil Dutt,,
3884,Sunil Gavaskar,,
3885,Sunil Janah,,
3886,Sunil Jogi,,
3887,Sunil Kanti Roy,,
3888,Sunil Kothari,,
3889,Sunil Kumar Bhattacharya,,
3890,Sunil Mittal,,
3891,Sunil Pradhan,"On 9 October 2006, Dr. Pradhan received a court summons from the Lucknow bench of the Allahabad High Court, on charges of contempt of court for allegedly ignoring a sitting judge of Allahabad High Court, to present himself before the judge the next day. Dr. Pradhan appeared before the judge at his chamber, along with the Advocate General and the Additional Advocate General of Uttar Pradesh and was asked to tender a written apology, which included an assurance to not to repeat the mistake in future. He duly did so and was released without a sentence. Reports about the incident appeared in the media, and drew comments from the public and the law circles. The comments of the judge, however, was not reported.Later, acting on the news report, the Governor of Uttar Pradesh, T. V. Rajeswar, ordered an enquiry into the incident","9 అక్టోబర్ 2006న, డా. అలహాబాద్ హైకోర్టు సిట్టింగ్ జడ్జిని విస్మరించినందుకు కోర్టు ధిక్కార ఆరోపణలపై అలహాబాద్ హైకోర్టు లక్నో బెంచ్ నుండి ప్రధాన్ కోర్టు సమన్లు ​​అందుకున్నారు, మరుసటి రోజు జడ్జి ముందు హాజరు. డా. ఉత్తరప్రదేశ్ అడ్వకేట్ జనరల్, అదనపు అడ్వకేట్ జనరల్తో పాటు ప్రధాన్ తన ఛాంబర్లో న్యాయమూర్తి ముందు హాజరై, వ్రాతపూర్వకంగా క్షమాపణలు చెప్పవలసిందిగా అడిగారు, ఇందులో భవిష్యత్తులో తప్పు పునరావృతం కాకూడదనే హామీ కూడా ఉంది. ఇతను సరిగ్గా అలా చేసాడు, శిక్ష లేకుండా విడుదలయ్యాడు. ఈ సంఘటన గురించిన నివేదికలు మీడియాలో కనిపించాయి, ప్రజల నుండి, న్యాయ వర్గాల నుండి వ్యాఖ్యలు వచ్చాయి. అయితే న్యాయమూర్తి వ్యాఖ్యలు నివేదించబడలేదు. అనంతరం వార్తాకథనంపై స్పందించిన ఉత్తరప్రదేశ్ గవర్నర్ టి. వి. రాజేశ్వర్ ఘటనపై విచారణకు ఆదేశించారు. "
3892,Sunita Jain,,
3893,Sunita Kohli,,
3894,Sunita Narain,,
3895,Sunita Rani,"Sunita Rani was hit with controversy about her performance at the 2002 Asian games, where she won a gold medal in the 1500m and a bronze medal in 5000m, after she tested positive for nandrolone, a banned substance that aids recovery, strength and endurance, in the dope tests. Both her medals were revoked. However, the Indian Olympic Association fought to prove that the doping tests had major procedural irregularities, and that the results were not valid. Rani has categorically maintained that she had not taken any banned substances. She had also cleared the dope test in Delhi, on the eve of the Indian team's departure to Busan.The Olympic Council of Asia later officially admitted that there had been discrepancies in her dope test. On 3 January 2003, the International Association of Athletics Federations officially cleared her off her doping charges, and reinstated her medals. The Amateur Athletic Federation of India held a 'Restoration of Medals' ceremony on 4 February 2003, to officially return her medals to her.","సునీతా రాణి 2002 ఆసియా క్రీడలలో తన ప్రదర్శన గురించి వివాదానికి గురైంది, అక్కడ ఈమె 1500 మీటర్లలో బంగారు పతకం, 5000 మీటర్లలో కాంస్య పతకాన్ని గెలుచుకుంది, ఈమె కోలుకోవడానికి, బలానికి, ఓర్పుకు సహాయపడే నిషేధిత పదార్థమైన నాండ్రోలోన్కు పాజిటివ్ పరీక్షించిన తర్వాత. డోప్ పరీక్షలు. ఈమె రెండు పతకాలు రద్దు చేయబడ్డాయి. అయితే, డోపింగ్ పరీక్షల్లో పెద్ద విధానపరమైన అవకతవకలు ఉన్నాయని, ఫలితాలు చెల్లవని నిరూపించేందుకు భారత ఒలింపిక్ సంఘం పోరాడింది. తాను ఎలాంటి నిషేధిత పదార్థాలను తీసుకోలేదని రాణి స్పష్టం చేసింది. బుసాన్కు భారత జట్టు బయలుదేరే సందర్భంగా ఈమె ఢిల్లీలో జరిగిన డోప్ పరీక్షలో ఉత్తీర్ణులయ్యారు. ఈమె డోప్ పరీక్షలో తేడాలున్నాయని ఒలింపిక్ కౌన్సిల్ ఆఫ్ ఆసియా తర్వాత అధికారికంగా అంగీకరించింది. 3 జనవరి 2003న, ఇంటర్నేషనల్ అసోసియేషన్ ఆఫ్ అథ్లెటిక్స్ ఫెడరేషన్స్ అధికారికంగా ఈమె డోపింగ్ ఆరోపణలను తొలగించి, ఈమె పతకాలను పునరుద్ధరించింది. అమెచ్యూర్ అథ్లెటిక్ ఫెడరేషన్ ఆఫ్ ఇండియా 4 ఫిబ్రవరి 2003న 'పతకాల పునరుద్ధరణ' వేడుకను నిర్వహించి, ఈమె మెడల్స్ను అధికారికంగా ఈమెకు తిరిగి ఇచ్చేసింది. "
3896,Sunita Williams,,
3897,Sunitha Krishnan,,
3898,Suniti Kumar Chatterji,,
3899,Suniti Solomon,,
3900,Sunny Varkey,,
3901,Supriya Devi,,
3902,Suraj Bhan,,
3903,Suraj Mal Agrawal,,
3904,Suraj Parkash Malhotra,,
3905,Suranjan Das,,
3906,Surender Bansi Dhar Gupta,,
3907,Surender Kumar Dey,,
3908,Surendera Nath Ghosh,,
3909,Surendra Dubey,,
3910,Surendra Sharma,,
3911,Surendra Singh,,
3912,Surendra Singh Yadav,,
3913,Surendra Y. Mohanty,,
3914,Surendranath Kar,,
3915,Suresh Chandra Dutta,,
3916,Suresh Chandra Roy,,
3917,Suresh Dutta,,
3918,Suresh Gundu Amonkar,,
3919,Suresh H. Advani,,
3920,Suresh Krishna,,
3921,Suresh Kumar Neotia,,
3922,Suresh Shankar Nadkarni,,
3923,Suresh Singh,,
3924,Suresh Talwalkar,,
3925,Suresh Wadkar,,
3926,Surinder Kaur,,
3927,Surinder Kumar Dey,,
3928,Surinder Mehta,,
3929,Surinder Singh Gill,,
3930,Surindera Nath Banerjee,,
3931,Surjit Singh Gujral,,
3932,Surjit Singh Patar,,
3933,Surjya Kanta Hazarika,,
3934,Surrendar Saini,,
3935,Surya Deo Singh,,
3936,Surya Kumar Bhuyan,,
3937,Surya Narayan Vyas,,
3938,Suryadevara Ramachandra Rao,,
3939,Susanne Hoeber Rudolph,,
3940,Sushantha Kumar Bhattacharyya,,
3941,Sushil Doshi,,
3942,Sushil Gupta,,
3943,Sushil Kumar,,
3944,Sushil Kumar Saxena,,
3945,Sushil Sahai,,
3946,Sushma Swaraj,,
3947,Sushovan Banerjee,,
3948,Suwalal Chhaganmal Bafna,,
3949,Svetoslav Roerich,,
3950,Swadesh Chatterjee,,
3951,Swami Bichitranada Das,,
3952,Swami Harigovind,,
3953,Swami Kalyandev,,
3954,Swami Pranavananda,,
3955,Swami Vishudhananda,,
3956,Swaminathan Sivaram,,
3957,Swapan Chaudhuri,,
3958,Swapan Dasgupta,,
3959,Swapan Guha,,
3960,Swapna Sundari,,
3961,Swaran Singh,,
3962,Swaran Singh Boparai,,
3963,Swaroop Kishen Reu,,
3964,Swati A. Piramal,,
3965,Swraj Paul,"In October 2009  The Sunday Times reported that Lord Paul had been unable satisfactorily to explain claiming expenses of £38,000 for the period January 2005 to July 2006. Lord Paul immediately requested the Clerk of the Parliaments to investigate his expenses at the same time repaying,  £41,982 instead of £26,988 – £15,000, more than the House of Lords would have requested at the conclusion of their investigation. A refund of the difference was never issued by the House of Lords. The Metropolitan Police opened an investigation concerning these expense claims, but by the end of February 2010 concluded there was no case.  Lord Paul appeared before various committees for Lord's Conduct with ultimately the Privileges Committee concluding that Lord Paul had not acted dishonestly or in bad faith.  They did determine however that he had been negligent and acted in ignorance and that his actions did render him liable to sanction by the House."" Lord Paul's suspension was for four months.  Lord Paul completely disagreed with their finding, calling it ""unreasonable."" Lord Paul gave a   Speech in the House of Lords in June 2011 calling for reform and revision of the structure of the constitution.
Paul tendered his resignation as Deputy Speaker to the Lord Speaker on 1 November 2010","అక్టోబర్ 2009లో ది సండే టైమ్స్ జనవరి 2005 నుండి జూలై 2006 వరకు £38, 000 క్లెయిమ్ ఖర్చులను లార్డ్ పాల్ సంతృప్తికరంగా వివరించలేకపోయాడని నివేదించింది. లార్డ్ పాల్ వెంటనే పార్లమెంటు క్లర్క్ని తిరిగి చెల్లించే సమయంలో £41, 982కి బదులుగా £26, 988 - £15, 000, హౌస్ ఆఫ్ లార్డ్స్ తమ విచారణ ముగిసే సమయానికి కోరిన దానికంటే ఎక్కువని దర్యాప్తు చేయవలసిందిగా అభ్యర్థించాడు. తేడా, వాపసు హౌస్ ఆఫ్ లార్డ్స్ ద్వారా ఎప్పుడూ జారీ చేయబడలేదు. మెట్రోపాలిటన్ పోలీసులు ఈ ఖర్చు క్లెయిమ్లకు సంబంధించి దర్యాప్తు ప్రారంభించారు, అయితే ఫిబ్రవరి 2010 చివరి నాటికి ఎటువంటి కేసు లేదని నిర్ధారించారు. లార్డ్ పాల్ నిజాయితీగా లేదా చెడు విశ్వాసంతో ప్రవర్తించలేదని చివరికి ప్రివిలేజెస్ కమిటీ నిర్ధారించడంతో లార్డ్ పాల్ లార్డ్స్ ప్రవర్తన కోసం వివిధ కమిటీల ముందు హాజరయ్యారు. అయినప్పటికీ ఇతను నిర్లక్ష్యంగా వ్యవహరించాడని, అజ్ఞానంతో ప్రవర్తించాడని, అతని చర్యలు అతనిని సభ అనుమతికి బాధ్యులుగా చేశాయని వారు నిర్ధారించారు. ""లార్డ్ పాల్ సస్పెన్షన్ నాలుగు నెలల పాటు ఉంది. లార్డ్ పాల్ వారి అన్వేషణతో పూర్తిగా విభేదించాడు, దానిని ""అసమంజసమైనది"" అని పిలిచాడు. లార్డ్ పాల్ జూన్ 2011లో హౌస్ ఆఫ్ లార్డ్స్లో రాజ్యాంగ నిర్మాణాన్ని సంస్కరణలు, పునర్విమర్శలకు పిలుపునిచ్చాడు. పాల్ 1 నవంబర్ 2010న లార్డ్ స్పీకర్కు డిప్యూటీ స్పీకర్ పదవికి రాజీనామా చేశారు. "
3966,Syamal Bhushan Ghosh Dastidar,,
3967,Syed Abdul Latif,,
3968,Syed Abdul Malik,,
3969,Syed Abdul Qadir,,
3970,Syed Bashiruddin,,
3971,Syed Fareeduddin,,
3972,Syed Haider Raza,,
3973,Syed Hasan Askari,,
3974,Syed Hassan,,
3975,Syed Husain Zaheer,,
3976,Syed Hussain Ali Jaffri,,
3977,Syed Iqbal Hasnain,,
3978,Syed Kirmani,,
3979,Syed Mir Qasim,,
3980,Syed Mohammad Sharfuddin Quadri,,
3981,Syed Mohammed Arif,,
3982,Syed Mohd. Mirza Mohazzab,,
3983,Syed Mohd. Moinul Haq,,
3984,Syed Muazzem Ali,,
3985,Syed Nasaar Ahmed Shah,,
3986,Syed Shah Mohammed Hussaini,,
3987,Syed Zahoor Qasim,,
3988,Syeda Saiyidain Hameed,,
3989,Syedna Mohammed Burhanuddin,,
3990,T. A. Mudon Sharma,,
3991,T. A. Pai,,
3992,T. G. K. Menon,,
3993,T. H. Vinayakram,,
3994,T. J. S. George,,
3995,T. K. Lahiri,,
3996,T. K. Murthy,,
3997,T. K. Oommen,,
3998,T. K. Viswanathan,,
3999,T. M. A. Pai,,
4000,T. M. Ponnambalam Mahadevan,,
4001,T. M. Soundararajan,,
4002,T. N. Krishnan,,
4003,T. N. Manoharan,,
4004,T. N. Seshagopalan,,
4005,T. N. Srinivasan,,
4006,T. Narayanayajwa Ramachandran,,
4007,T. P. Lahane,,
4008,T. P. Meenakshisundaram,,
4009,T. R. Mahalingam,,
4010,T. R. Seshadri,,
4011,T. S. Avinashilingam Chettiar,,
4012,T. S. Chandrasekar,,
4013,T. S. Prahlad,,
4014,T. S. Ramaswami Aiyer,,
4015,T. S. Satyan,,
4016,T. S. Soundram,,
4017,T. Sailo,,
4018,T. V. Devarajan,,
4019,T. V. Gopalakrishnan,,
4020,T. V. Mahalingam,,
4021,T. V. Narayana,,
4022,T. V. R. Shenoy,,
4023,T. V. Rajeswar,,
4024,T. V. Ramakrishnan,,
4025,T. V. Sankaranarayanan,,
4026,T. Varadachari Ramanujam,,
4027,T. Venkatapathi Reddiar,,
4028,T.V. Mohandas Pai,,
4029,Taarak Mehta,,
4030,Tabu,"In 1998, Tabu was charged with poaching two blackbucks on the outskirts of Kankani village in Jodhpur district of Rajasthan during the filming of Hum Saath Saath Hain along with co-stars Salman Khan, Saif Ali Khan, Sonali Bendre and Neelam Kothari. A lower court charged her with the others under the Wildlife Protection Act, 1972 and the IPC. She had filed a revision petition before a sessions court which discharged her of Section 51 (causing harm to wildlife) of Wildlife Act and both of 147 (punishment for rioting) and 149 (unlawful assembly of persons) of the Indian Penal Code. The Rajasthan State Government then filed a revision petition before the Rajasthan High Court at Jodhpur which again added Section 149 against her, which had been dropped earlier. In December 2012, the Jodhpur court summoned her along with all the accused for commencement of the trial with the revised charges on 4 February 2013. Although Tabu was acquitted in the blackbuck poaching case on 5 April 2018, the Rajasthan High Court issued her with a notice, challenging her acquittal on 11 March 2019.","1998లో, హమ్ సాథ్ సాథ్ హై చిత్రీకరణ సమయంలో రాజస్థాన్లోని జోధ్పూర్ జిల్లాలోని కంకణి గ్రామ శివారులో సహ నటులు సల్మాన్ ఖాన్, సైఫ్ అలీ ఖాన్, సోనాలి బింద్రే, నీలం కొఠారీలతో కలిసి రెండు కృష్ణజింకలను వేటాడినట్లు టబుపై అభియోగాలు మోపారు. వన్యప్రాణి సంరక్షణ చట్టం, 1972, IPC కింద దిగువ కోర్టు ఈమెపై ఇతరులపై అభియోగాలు మోపింది. వన్యప్రాణుల చట్టంలోని సెక్షన్ 51 (వన్యప్రాణులకు హాని కలిగించడం), భారతీయ శిక్షాస్మృతిలోని 147 (అల్లర్లకు శిక్ష), 149 (వ్యక్తుల చట్టవిరుద్ధమైన సమావేశాలు) రెండింటినీ విడుదల చేస్తూ ఈమె సెషన్స్ కోర్టులో రివిజన్ పిటిషన్ దాఖలు చేసింది. రాజస్థాన్ రాష్ట్ర ప్రభుత్వం జోధ్పూర్లోని రాజస్థాన్ హైకోర్టులో రివిజన్ పిటిషన్ను దాఖలు చేసింది, ఇది ఈమెపై సెక్షన్ 149 జోడించబడింది, ఇది అంతకుముందు తొలగించబడింది. డిసెంబర్ 2012లో, జోధ్పూర్ కోర్టు 4 ఫిబ్రవరి 2013న సవరించిన అభియోగాలతో విచారణ ప్రారంభించేందుకు నిందితులందరితో పాటు ఈమెను పిలిపించింది. కృష్ణజింకలను వేటాడిన కేసులో 2018 ఏప్రిల్ 5న టబుకు విముక్తి లభించినప్పటికీ, రాజస్థాన్ హైకోర్టు 11 మార్చి 2019న నిర్దోషిగా విడుదల చేయడాన్ని సవాలు చేస్తూ ఈమెకు నోటీసులు జారీ చేసింది. "
4031,Tadepalli Venkanna,,
4032,Tafazzul Ali,,
4033,Talat Mahmood,,
4034,Tan Chung,,
4035,Tao Porchon-Lynch,,
4036,Tapan Raychaudhuri,,
4037,Tapan Sinha,,
4038,Tapishwar Narain Raina,,
4039,Tara Chand,,
4040,Tara Cherian,,
4041,Tarabai Modak,,
4042,Taranath Narayan Shenoy,,
4043,Tarapada Basu,,
4044,Taraprasad Das,,
4045,Tarasankar Bandyopadhyay,,
4046,Tarla Dalal,,
4047,Tarlochan Singh,,
4048,Tarlochan Singh Kler,,
4049,Tarlok Singh (economist),,
4050,Taro Nakayama,,
4051,Tarun Das,,
4052,Tarun Gogoi,,
4053,Tarun Majumdar,,
4054,Tarundeep Rai,,
4055,Tashi Tondup,,
4056,Tatyana Elizarenkova,,
4057,Teejan Bai,,
4058,Teesta Setalvad,,
4059,Tehemton Erach Udwadia,,
4060,Tejas Patel,,
4061,Tejomayananda,,
4062,Tekkatte Narayan Shanbhag,,
4063,Tekur Kashi Nath,,
4064,Telo Mascarenhas,,
4065,Temsula Ao,,
4066,Tenzing Norgay,,
4067,Tetsu Nakamura,,
4068,Thackkadu Natesasastrigal Jagadisan,,
4069,Thakazhi Sivasankara Pillai,,
4070,Thakur Jaideva Singh,,
4071,Thalappil Pradeep,,
4072,Thanga Darlong,,
4073,Thangam Philip,,
4074,Thanikachalam Sadagopan,,
4075,Thant Myint-U,,
4076,Thanu Padmanabhan,,
4077,Thapfoorya Haralu,,
4078,Thayil John Cherian,,
4079,Theilin Phanbuh,,
4080,Thekkethil Kochandy Alex,,
4081,Thenumgal Poulose Jacob,,
4082,Thiagarajan Muthian,,
4083,Thikkurissy Sukumaran Nair,,
4084,Thilakan,,
4085,Thingbaijam Babu Singh,,
4086,Thirumalachari Ramasami,,
4087,Thirumalraya Swaminathan,,
4088,Thiruvengadam Lakshman Sankar,,
4089,Thiruvizhimazhalai Subramania Pillai,,
4090,Thomas Kailath,,
4091,Thomas Kunnunkal,,
4092,Thoppil Varghese Antony,,
4093,Thota Tharani,,
4094,Thrity H. Taleyarkhan,,
4095,Tilak Gitai,,
4096,Tiruppattur R. Venkatachala Murthi,,
4097,Tiruvadi Sambasiva Venkataraman,,
4098,Tiruvadi Venkataraman Ramamurti,,
4099,Tokheho Sema,,
4100,Tom Alter,,
4101,Tomio Mizokami,,
4102,Tommy Koh,,
4103,Tony Fernandez,,
4104,Toppur Seethapathy Sadasivan,,
4105,Tribhuvandas Kishibhai Patel,,
4106,Tribhuvandas Luhar (Sundaram),,
4107,Trichur V. Ramachandran,,
4108,Tridib Nath Banerjee,,
4109,Triguna Sen,,
4110,Trilochan Pradhan,,
4111,Triloki Nath Chaturvedi,,
4112,Triloki Nath Khoshoo,,
4113,Trilokinath Sharma,,
4114,Trinity Saioo,,
4115,Tripti Mitra,,
4116,Tripti Mukherjee,,
4117,Tripuraneni Hanuman Chowdary,,
4118,Trivandrum Kannusami Pillai Shanmugam,,
4119,Tsering Landol,,
4120,Tsering Norboo,,
4121,Tsering Wangdus,,
4122,Tsultrim Chonjor,,
4123,Tulasi Gowda,,
4124,Tulasi Munda,,
4125,Tulsi Das,,
4126,Tulsidas Borkar,,
4127,Tumkur Ramaiya Satishchandran,,
4128,Turlapaty Kutumba Rao,,
4129,Tushar Kanjilal,,
4130,Tushar Kanti Ghosh,,
4131,Tyeb Mehta,,
4132,U. N. Dhebar,,
4133,U. R. Ananthamurthy,,
4134,U. Srinivas,,
4135,Uday Shankar,,
4136,Udaybhansinhji Natwarsinhji Jethwa,,
4137,Uddhab Bharali,,
4138,Udit Narayan,,
4139,Udupi Ramachandra Rao,,
4140,Ujjwal Nikam,,
4141,Ujwala Patil,,
4142,Ulhas Kashalkar,,
4143,Uma Shankar Dikshit,,
4144,Uma Sharma,,
4145,Uma Tuli,,
4146,Umakant Gundecha,"On 4 September 2020, a student of Dhrupad Sansthan (training school run by Gundecha brothers) accused the late Ramakant Gundecha and Akhilesh Gundecha of sexual abuse. Following this event, several more students came forward with their allegations of abuse in discussions with the media.  The school announced Akhilesh Gundecha would be stepping down while the accusations were investigated by the internal committee.","On 4 September 2020, a student of Dhrupad Sansthan (training school run by Gundecha brothers) accused the late Ramakant Gundecha and Akhilesh Gundecha of sexual abuse. ఈ సంఘటన తర్వాత, పలువురు విద్యార్థులు మీడియాతో చర్చల్లో తమ దుర్వినియోగ ఆరోపణలతో ముందుకు వచ్చారు. ఆరోపణలను అంతర్గత కమిటీ విచారించగా అఖిలేష్ గుండెచా పదవీవిరమణ చేస్తున్నట్లు పాఠశాల ప్రకటించింది. "
4147,Umayalpuram K. Sivaraman,,
4148,Umrao Singh,,
4149,Upendra Baxi,,
4150,Upendra Kaul,,
4151,Upendra Maharathi,,
4152,Upendra Trivedi,,
4153,Urvashi Butalia,,
4154,Usha Chaumar,,
4155,Usha Kehar Luthra,,
4156,Usha Kiran Khan,,
4157,Usha Mehta,,
4158,Usha Sharma,,
4159,Usha Uthup,,
4160,Ustad Anwar Khan Mangniyar,,
4161,Ustad Faiyyaz Ahmed Khan,,
4162,Ustad Ghulam Mustafa Khan,,
4163,Utpal K. Banerjee,,
4164,Utsav Charan Das,,
4165,V. Adimurthy,,
4166,V. C. Kulandaiswamy,,
