,Recipients,other works,other works Telugu
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,,
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,,
2791,Parixitalal Lallu Bhai Majumdar,,
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,,
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,,
2858,Prafulla Kumar Jena,,
2859,Prafulla Kumar Sen,,
2860,Prahlad Chandra Tasa,,
2861,Prahlad Kumar Sethi,,
2862,Prahlad Tipanya,,
2863,Prahlada,,
2864,Prakash Amte,,
2865,Prakash Chand Surana,,
2866,Prakash Chandra,,
2867,Prakash N. Dubey,,
2868,Prakash Nanalal Kothari,,
2869,Prakash Narain Tandon,,
2870,Prakash Padukone,,
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,,
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
2889,Prasoon Joshi,,
2890,Pratap Chandra Lal,,
2891,Pratap Govindrao Pawar,,
2892,Pratap Pawar,,
2893,Pratap Singh Hardia,,
2894,Pratapaditya Pal,,
2895,Pratapri Girdhari Lal Mehta,,
2896,Pratapsinh Jadhav,,
2897,Prathap C. Reddy,,
2898,Pratibha Prahlad,,
2899,Pratibha Ray,,
2900,Pratima Barua Pandey,,
2901,Pratul Chandra Gupta,,
2902,Pratury Trirumala Rao,,
2903,Pravakara Maharana,,
2904,Praveen Chandra,,
2905,Pravin Darji,,
2906,Pravin Gordhan,,
2907,Pravin H. Parekh,,
2908,Pravinchandra Varjivan Gandhi,,
2909,Predhiman Krishan Kaw,,
2910,Predrag K. Nikic,,
2911,Prem Chand Sharma,,
2912,Prem Chandra Dhanda,,
2913,Prem Chandra Luthar,,
2914,Prem Dhawan,,
2915,Prem Kumar Kakar,,
2916,Prem Nath Dhawan,,
2917,Prem Nath Mehra,,
2918,Prem Nath Sahni,,
2919,Prem Nath Wahi,,
2920,Prem Nazir,,
2921,Prem Prakash Sahni,,
2922,Prem Shanker Goel,,
2923,Prem Watsa,,
2924,Prema Narendra Purao,,
2925,Premchand Degra,,
2926,Premendra Mitra,,
2927,Premlata Agarwal,,
2928,Premlata Puri,,
2929,Premlila Vithaldas Thackersey,,
2930,Pritam Bhartwan,,
2931,Pritam Singh,,
2932,Prithipal Singh,,
2933,Prithipal Singh Maini,,
2934,Prithvi Nath Kaula,,
2935,Prithvi Nath Khoshoo,,
2936,Prithvi Raj Singh Oberoi,,
2937,Prithvi Singh Azad,,
2938,Prithviraj Kapoor,,
2939,Prithwindra Mukherjee,,
2940,Pritish Nandy,,
2941,Priya Paul,,
2942,Priya Ranjan Sen,,
2943,Priyadarshan,,
2944,Priyambada Mohanty Hejmadi,,
2945,Priyanka Chopra,,
2946,Pu Lalbiakthanga Pachuau,,
2947,Pucadyil Ittoop John,,
2948,Pukhraj Bafna,,
2949,Puliyur Krishnaswamy Duraiswami,,
2950,Pullela Gopichand,,
2951,Pullella Srirama Chandrudu,,
2952,Punam Suri,,
2953,Punamalai Ekambaranathan,,
2954,Punaram Nishad,,
2955,Pupul Jayakar,,
2956,Puran Chand Wadali,,
2957,Puran Lal Batra,,
2958,Purna Das Baul,,
2959,Purshotam Lal,,
2960,Purshottam Das,,
2961,Purshottam Das Jalota,,
2962,Purshottam Lal Wahi,,
2963,Purshottam Pandurang Gokhale,,
2964,Purushottam Dadheech,,
2965,Purushottam Kashinath Kelkar,,
2966,Purushottam Laxman Deshpande,,
2967,Purushottam Upadhyay,,
2968,Purushottama Lal,,
2969,Pushkar Bhan,,
2970,Pushpa Bhuyan,,
2971,Pushpa Hans,,
2972,Pushpa Mittra Bhargava,,
2973,Pushpalata Das,,
2974,Pushpavati Janardenrai Mehta,,
2975,Pushpesh Pant,,
2976,Puthenpurayil Mathew Joseph,,
2977,Puttaparthi Narayanacharyulu,,
2978,Puttaraj Gawai,,
2979,Qadri Ragi Aziz Ahmed Khan Warsi,,
2980,Qazi Abdul Sattar,,
2981,Quazi Sazzad Ali Zahir,,
2982,Queenie H. C. Captain,,
2983,Queenie Rynjah,,
2984,Qurratulain Hyder,,
2985,R Sathyanarayana,,
2986,R. Basappagowda Patil,,
2987,R. C. Mehta,,
2988,R. D. Pradhan,,
2989,R. Ganapati,,
2990,R. K. Krishna Kumar,,
2991,R. K. Laxman,,
2992,R. K. Lelhluna,,
2993,R. K. Narayan,,
2994,R. K. Srikantan,,
2995,R. Marthanda Varma,,
2996,R. N. Malhotra,,
2997,R. N. Tharanathan and R. N. Thyagarajan,,
2998,R. Nagarathnamma,,
2999,R. Nagendra Rao,,
3000,R. R. Handa,,
3001,R. Ranchandra Vishwanath Wardekar,,
3002,R. S. Narayan Singh Deo,,
3003,R. S. Subbalakshmi,,
3004,R. Sivaraman,,
3005,R. V. Pandit,,
3006,R. V. Ramani,,
3007,R. V. Ramaswamy,,
3008,R. Vasudevan,,
3009,Raasacha Swami Ram Swaroop Sharma,,
3010,Rabi Narayan Bastia,,
3011,Rabinder Gokaldas Ahuja,,
3012,Rabindra Narain Singh,,
3013,Rabindra Nath Chaudhuri,,
3014,Rabindra Nath Upadhyay,,
3015,Rachel Thomas,,
3016,Radha Krishan Gupta,,
3017,Radha Kumud Mukherjee,,
3018,Radha Mohan Gadanayak,,
3019,Radhabinod Pal,,
3020,Radhakamal Mukerjee,,
3021,Radhamohan,,
3022,Radhanath Rath,,
3023,Radhe Shyam Barle,,
3024,Radhika Herzberger,,
3025,Rafael Iruzubieta Fernandez,,
3026,Rafiuddin Ahmed,,
3027,Raghavan Thirumulpad,,
3028,Raghu Rai,,
3029,Raghu Raj,,
3030,Raghu Ram Pillarisetti,,
3031,Raghubhai Morarji Nayak,,
3032,Raghubir Singh (equestrian),,
3033,Raghubir Singh (photographer),,
3034,Raghunath Anant Mashelkar,,
3035,Raghunath Krishna Phadke,,
3036,Raghunath Mohapatra,,
3037,Raghunath Panigrahi,,
3038,Raghunath Saran,,
3039,Raghunath Sharma,,
3040,Raghunath Singh Gahlot,,
3041,Raghupati Sahay,,
3042,Raghuvir Sharan Mitra,,
3043,Rahibai Soma Popere,,
3044,Rahim Fahimuddin Dagar,,
3045,Rahim-ud-in Khan Dagar,,
3046,Rahul Bajaj,,
3047,Rahul Dravid,,
3048,Rahul Jain,,
3049,Rahul Sankrityayan,,
3050,Rai Krishnadas,,
3051,Rai Krishnadasa,,
3052,Rais Ahmed,,
3053,Raj Baveja,,
3054,Raj Begum,,
3055,Raj Bisaria,,
3056,Raj Bothra,,
3057,Raj Kapoor,,
3058,Raj Kumar Khanna,,
3059,Raj Raj Kumar Khanna,,
3060,Raj Reddy,,
3061,Raj Vir Singh Yadav,,
3062,Raja Chelliah,,
3063,Raja Radhika Raman Sinha,,
3064,Raja Ramanna,,
3065,Raja Rao,,
3066,Raja and Radha Reddy,,
3067,Rajagopala Chidambaram,,
3068,Rajagopalan Krishnan,,
3069,Rajagopalan Vasudevan,,
3070,Rajalakshmi Parthasarathy,,
3071,Rajam Ramaswamy,,
3072,Rajammal P. Devadas,,
3073,Rajan Devadas,,
3074,Rajan Misra,,
3075,Rajan Saxena,,
3076,Rajani Kant,,
3077,Rajanikant Arole,,
3078,Rajaram Shastri,,
3079,Rajashree Birla,,
3080,Rajat Kumar Kar,,
3081,Rajat Sharma,,
3082,Rajdeep Sardesai,,
3083,Rajeev Sethi,,
3084,Rajeev Taranath,,
3085,Rajendra Achyut Badwe,,
3086,Rajendra K. Pachauri,,
3087,Rajendra Kumar,,
3088,Rajendra Kumar Saboo,,
3089,Rajendra Singh Paroda,,
3090,Rajendra Singh Pawar,,
3091,Rajendra Tansukh Vyas,,
3092,Rajendra Tikku,,
3093,Rajendra Vir Singh,,
3094,Rajesh Khanna,,
3095,Rajesh Kotecha,,
3096,Rajesh Kumar Grover,,
3097,Rajesh Saraiya,,
3098,Rajeshwar Acharya,,
3099,Rajeshwar Dayal,,
3100,Rajeshwar Nath Zutshi,,
3101,Rajeshwar Shastri Dravid,,
3102,Rajinder Gupta,,
3103,Rajinder Kumar,,
3104,Rajinder Singh Bedi,,
3105,Rajinikanth,,
3106,Rajkavi Inderjeet Singh Tulsi,,
3107,Rajkumar,,
3108,Rajkumar Achouba Singh,,
3109,Rajkumar Jhalajit Singh,,
3110,Rajkumar Singhajit Singh,,
3111,Rajkumar Sumitra Devi,,
3112,Rajkumari Devi,,
3113,Rajmohini Devi,,
3114,Rajni Bector,,
3115,Rajni Kumar,,
3116,Rajnikant Shroff,,
3117,Rajpal Singh Sirohi,,
3118,Rajshekhar Basu,,
3119,Rajshree Pathy,,
3120,Rajyavardhan Singh Rathore,,
3121,Rakesh Bakshi,,
3122,Rakesh Kumar Jain,,
3123,Rakhaldas Sengupta,,
3124,Rakhee Gulzar,,
3125,Ralengnao Khathing,,
3126,Ralte L. Thanmawia,,
3127,Ralte Vanlawma,,
3128,Ram Badan Singh,,
3129,Ram Bahadur Rai,,
3130,Ram Chandra Varma,,
3131,Ram Chatur Mallick,,
3132,Ram Dayal Munda,,
3133,Ram Ganpati,,
3134,Ram Gopal Bajaj,,
3135,Ram Gopal Vijayvargiya,,
3136,Ram Harsh Singh,,
3137,Ram Kinkar Upadhyay,,
3138,Ram Kishore Chhipa,,
3139,Ram Krishan,,
3140,Ram Krishna Trivedi,,
3141,Ram Kumar (artist),,
3142,Ram Kumar Caroli,,
3143,Ram Lal Mehta,,
3144,Ram Lal Rajgarhia,,
3145,Ram Mohan,,
3146,Ram Narain Agarwal,,
3147,Ram Narain Bagley,,
3148,Ram Narain Nagu,,
3149,Ram Narayan,,
3150,Ram Narayan Chakravarti,,
3151,Ram Nath Shastri,,
3152,Ram Prakash Bambah,,
3153,Ram Prakash Gehlote,,
3154,Ram Prasad Choudhary Jaiswal,,
3155,Ram Punjwani,,
3156,Ram Saran Verma,,
3157,Ram Sarup Lugani,,
3158,Ram Shankar Tripathi,,
3159,Ram Singh,,
3160,Ram V. Sutar,,
3161,Ram Vilas Paswan,,
3162,Ram Yatna Shukla,,
3163,Rama Kant Shukla,,
3164,Ramachandra Datatraya Lele,,
3165,Ramachandra Guha,,
3166,Ramachandran Balasubramanian,,
3167,Ramachandran Nagaswamy,,
3168,Ramadas P. Shenoy,,
3169,Ramakant Achrekar,,
3170,Ramakant Gundecha,,
3171,Ramakant Krishnaji Deshpande,,
3172,Ramakant Maheshwar Muzumdar,,
3173,Ramakanta Panda,,
3174,Ramakanta Rath,,
3175,Ramakrishna Ananthakrishnan,,
3176,Ramakrishna V. Hosur,,
3177,Ramamoorthi Belagaje,,
3178,Ramamurthi Badrinath,,
3179,Ramamurthy Thyagarajan,,
3180,Raman Gangakhedkar,,
3181,Raman Kapur,,
3182,Raman Madhavan Nair,,
3183,Raman Viswanathan,,
3184,Ramanand Sagar,,
3185,Ramanarayan Upadhyaya,,
3186,Ramanath Cowsik,,
3187,Ramanath Iyer Mathrubbotham,,
3188,Ramanatha Venkata Ramani,,
3189,Ramanathan Krishnan,,
3190,Ramanathapuram C. S. Murugabhoopathy,,
3191,Ramankutty Nair,,
3192,Ramanlal Gokaldas Saraiya,,
3193,Ramanujam Varatharaja Perumal,,
3194,Ramaranjan Mukherji,,
3195,Ramaswami Venkataswami,,
3196,Ramaswamy Duraiswamy Ayyar,,
3197,Ramaswamy Iyer,,
3198,Ramaswamy M. Vasagam,,
3199,Ramaswamy Rajaram,,
3200,Rambhadracharya,,
3201,Ramchand Kishindas Menda,,
3202,Ramchandra Manjhi,,
3203,Ramchandra Narayan Dandekar,,
3204,Ramdas Pai,,
3205,Ramdhari Singh Dinkar,,
3206,Ramesh Babaji Maharaj,,
3207,Ramesh Chandra Bhaskar Sule,,
3208,Ramesh Chandra Shah,,
3209,Ramesh Gelli,,
3210,Ramesh Inder Singh,,
3211,Ramesh Krishnan,,
3212,Ramesh Kumar (nephrologist),,
3213,Ramesh Nigam,,
3214,Ramesh Sippy,,
3215,Ramesh Tribhuvandas Doshi,,
3216,Rameshwar Nath Koul Bamezai,,
3217,Rameshwar Singh Kashyap,,
3218,Rameshwari Nehru,,
3219,Rameshwarlal Kabra,,
3220,Ramjee Singh,,
3221,Ramji Vasant Khanolkar,,
3222,Ramkinkar Baij,,
3223,Ramkumar Verma,,
3224,Ramli Bin Ibrahim,,
3225,Ramniklal K. Gandhi,,
3226,Ramoji Rao,,
3227,Ramprasad Ramchand Khandelwal,,
