,Recipients,in popular culture,in popular culture Telugu
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,"In 2002 and 2003, two non-feature films titled M.K. Binodini and Binodini: A Writer's Life respectively, documenting her life was made by Aribam Syam Sharma.","2002, 2003లో, రెండు నాన్-ఫీచర్ ఫిల్మ్లు M. కె. బినోదిని, బినోదిని: ఎ రైటర్స్ లైఫ్, ఈమె జీవితాన్ని డాక్యుమెంట్ చేస్తూ అరిబామ్ శ్యామ్ శర్మ రూపొందించారు. "
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
2122,Madhuri Dixit,"In a popular scene from the 1994 cult comedy Andaz Apna Apna, Dixit's photograph appears on the cover of a film magazine. In the scene, Amar (played by Aamir Khan) teases Prem (played by Salman Khan) of having been engaged to Dixit, advertently referring to her photograph on the magazine.
In a popular song ""Maine Kal Ek Sapna Dekha"" from the 1997 romantic drama action movie Sanam Dixit's name was referenced in the last line of the song.This song is picturised on main lead Sanjay Dutt as he is telling what he saw yesterday in his dream. He is telling about many other actresses of Bollywood that he wants all actresses close to him but in the last line he only wants to marry Madhuri Dixit.He says Banegi Madhuri Meri Dulhan(Madhuri will become my Bride).
In the song ""Tan Tana Tan Tan"" from the 1997 film Judwaa, Dixit's name was referenced in one line along with Govinda's name. The song was a huge hit and was recreated in the film's 2017 remake, but the line referring to the two actors was not used.
In 1997, a Zee TV television serial Mrs. Madhuri Dixit was named after her, starring Renuka Shahane","1994 కల్ట్ కామెడీ అందాజ్ అప్నా అప్నాలోని ఒక ప్రముఖ సన్నివేశంలో, దీక్షిత్ ఫోటో ఒక ఫిల్మ్ మ్యాగజైన్ ముఖచిత్రంపై కనిపిస్తుంది. సన్నివేశంలో, అమర్ (అమీర్ ఖాన్ పోషించినది) దీక్షిత్తో నిశ్చితార్థం జరిగినట్లు ప్రేమ్ (సల్మాన్ ఖాన్ పోషించాడు) ఎగతాళి చేస్తాడు, అనుకోకుండా మ్యాగజైన్లో ఈమె ఫోటోను ప్రస్తావిస్తూ. 1997 రొమాంటిక్ డ్రామా యాక్షన్ చిత్రం నుండి ""మైనే కల్ ఏక్ సప్నా దేఖా"" అనే ప్రసిద్ధ పాటలో సనమ్ దీక్షిత్ పేరు పాట చివరి లైన్లో ప్రస్తావించబడింది. ఈ పాట ప్రధాన కథానాయకుడు సంజయ్ దత్ తన కలలో నిన్న చూసినదాన్ని చెబుతూ చిత్రీకరించబడింది. ఇతను బాలీవుడ్లోని చాలా మంది నటీమణుల గురించి చెబుతున్నాడు, తనకు అందరు నటీమణులు సన్నిహితంగా ఉండాలని కోరుకుంటున్నానని, అయితే చివరి వరుసలో ఇతను మాధురీ దీక్షిత్ను మాత్రమే వివాహం చేసుకోవాలనుకుంటున్నాడు. ఇతను బనేగీ మాధురీ మేరీ దుల్హన్ (మాధురి నా వధువు అవుతుంది). 1997లో విడుదలైన జుద్వా చిత్రంలోని ""తాన్ తానా తన్ తాన్"" పాటలో, దీక్షిత్ పేరు గోవింద పేరుతో ఒక లైన్లో ప్రస్తావించబడింది. ఈ పాట భారీ విజయాన్ని సాధించింది, చిత్రం, 2017 రీమేక్లో పునర్నిర్మించబడింది, అయితే ఇద్దరు నటులను సూచించే లైన్ ఉపయోగించబడలేదు. 1997లో, జీ టీవీ టెలివిజన్ సీరియల్ శ్రీమతి. రేణుకా షహానే నటించిన మాధురీ దీక్షిత్ పేరు ఈమె పేరు పెట్టారు. "
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,,
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,"Mahananda, a Bengali film based on her life and works, directed by acclaimed director Arindam Sil will be released on 2022. Gargi Roychowdhury portrayed the titular role in the film.","ఈమె జీవితం, రచనల ఆధారంగా ప్రముఖ దర్శకుడు అరిందమ్ సిల్ దర్శకత్వం వహించిన బెంగాలీ చిత్రం మహానంద 2022న విడుదల కానుంది. గార్గి రాయ్ చౌదరి ఈ చిత్రంలో టైటిల్ రోల్ పోషించారు. "
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,,
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,"Actress Geraldine James portrayed her in Richard Attenborough's film, Gandhi, which premiered several months after Madeleine Slade's death in 1982.
Sudhir Kakar's Mira and the Mahatma is a fictional account on the relationship between Gandhi and Madeleine as his disciple Mirabehn.","నటి గెరాల్డిన్ జేమ్స్ రిచర్డ్ అటెన్బరో, చిత్రం గాంధీలో ఈమె పాత్రను పోషించింది, ఇది 1982లో మడేలిన్ స్లేడ్ మరణించిన చాలా నెలల తర్వాత ప్రదర్శించబడింది. సుధీర్ కాకర్, మీరా అండ్ ది మహాత్మా అనేది గాంధీ, మడేలీన్కి అతని శిష్యుడు మీరాబెన్గా మధ్య ఉన్న సంబంధంపై కల్పిత కథనం. "
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,"A Bollywood film Azhar, directed by Tony D'Souza, was based on his life. The film featured Emraan Hashmi as Azharuddin, Nargis Fakhri as Sangeeta Bijlani and Prachi Desai as first wife Naureen. It was released on 13 May 2016. The film was criticized for whitewashing his complicity in the match-fixing scandal.","అతని జీవితం ఆధారంగా టోనీ డిసౌజా దర్శకత్వం వహించిన బాలీవుడ్ చిత్రం అజర్. ఈ చిత్రంలో అజారుద్దీన్గా ఇమ్రాన్ హష్మీ, సంగీతా బిజ్లానీగా నర్గీస్ ఫక్రీ, మొదటి భార్య నౌరీన్గా ప్రాచీ దేశాయ్ నటించారు. ఇది 13 మే 2016న విడుదలైంది. మ్యాచ్ ఫిక్సింగ్ కుంభకోణంలో అతని భాగస్వామ్యాన్ని తెలుపుతూ ఈ చిత్రం విమర్శించబడింది. "
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,"Mohammed Rafi Academy was launched in Mumbai on 31 July 2010 on the 30th anniversary of the singer's death, started by his son Shahid Rafi to impart training in Indian classical and contemporary music.
After his death, numerous Hindi movies were dedicated to Rafi, including: Allah Rakha, Mard, Coolie, Desh-Premee, Naseeb, Aas-Paas and Heeralal-Pannalal.
A song in the 1990 Hindi film Kroadh ""Na Fankar Tujhsa"" picturised on actor Amitabh Bachchan and sung by singer Mohammed Aziz was also dedicated to the memory of Rafi.
Rafi is one of the recording artists mentioned in the 1997 hit British alternative rock song ""Brimful of Asha"" by Cornershop.
Rafi's song from the film Gumnaam (1965), ""Jaan Pehechan Ho"", was used on the soundtrack of Ghost World (2001). The film opens with the lead character dancing around in her bedroom to a video of Gumnaam. The song has also been used for Heineken's 2011 ""The Date"" commercial.
Rafi was commemorated on his 93rd birth anniversary by Search Engine Google which showed a special doodle on its Indian home page for him on 24 December 2017.
His ""Aaj Mausam Bada Beiman Hai"" is featured in the 2001 film Monsoon Wedding. His ""Kya Mil Gaya"" (Sasural, 1961) has been used in The Guru (2002), where Ramu and Sharonna sing a version of the song","భారతీయ శాస్త్రీయ, సమకాలీన సంగీతంలో శిక్షణనిచ్చేందుకు అతని కుమారుడు షాహిద్ రఫీచే ప్రారంభించబడిన గాయకుడి మరణానికి 30వ వార్షికోత్సవం సందర్భంగా 31 జూలై 2010న మహమ్మద్ రఫీ అకాడమీని ముంబైలో ప్రారంభించారు. అతని మరణానంతరం, అల్లా రఖా, మర్ద్, కూలీ, దేశ్-ప్రీమీ, నసీబ్, ఆస్-పాస్, హీరాలాల్-పన్నాలాల్ వంటి అనేక హిందీ సినిమాలు రఫీకి అంకితం చేయబడ్డాయి. 1990 క్రోడ్ హిందీ చిత్రం ""నా ఫంకర్ తుజ్సా""లో నటుడు అమితాబ్ బచ్చన్పై చిత్రీకరించబడి గాయకుడు మహమ్మద్ అజీజ్ పాడిన పాట కూడా రఫీ జ్ఞాపకార్థం అంకితం చేయబడింది. కార్నర్షాప్ ద్వారా 1997 హిట్ బ్రిటిష్ ఆల్టర్నేటివ్ రాక్ సాంగ్ ""బ్రిమ్ఫుల్ ఆఫ్ ఆషా""లో పేర్కొన్న రికార్డింగ్ ఆర్టిస్టులలో రఫీ ఒకరు. గుమ్నామ్ (1965) చిత్రంలోని రఫీ పాట ""జాన్ పెహెచాన్ హో"", ఘోస్ట్ వరల్డ్ (2001) సౌండ్ట్రాక్లో ఉపయోగించబడింది. గుమ్నామ్, వీడియో కోసం ప్రధాన పాత్ర తన పడకగదిలో నృత్యం చేయడంతో చిత్రం ప్రారంభమవుతుంది. ఈ పాట హీనెకెన్, 2011 ""ది డేట్"" వాణిజ్య ప్రకటన కోసం కూడా ఉపయోగించబడింది. 24 డిసెంబర్ 2017న సెర్చ్ ఇంజిన్ గూగుల్ తన 93వ జన్మదినాన్ని పురస్కరించుకుని తన భారతీయ హోమ్ పేజీలో ప్రత్యేక డూడుల్ను ప్రదర్శించింది. అతని ""ఆజ్ మౌసమ్ బడా బీమన్ హై"" 2001 చిత్రం మాన్సూన్ వెడ్డింగ్లో ప్రదర్శించబడింది. అతని ""క్యా మిల్ గయా"" (ససురల్, 1961) ది గురు (2002)లో ఉపయోగించబడింది, ఇక్కడ రాము, షరోన్నా పాట, సంస్కరణను పాడారు. "
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,Regina Cassandra portrayed her in Sony LIV's series Rocket Boys based on the life of Vikram Sarabhai and Homi J. Bhabha.,"విక్రమ్ సారాభాయ్, హోమీ జె జీవితం ఆధారంగా సోనీ LIV, సిరీస్ రాకెట్ బాయ్స్లో రెజీనా కసాండ్రా ఈమె పాత్రను పోషించింది. భాభా. "
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
