,Recipients,later life,later life Telugu
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
2122,Madhuri Dixit,,
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,"In September 2020, it was noted that Rasgotra was still active and was one of the oldest living former Indian Foreign Service (IFS) officers.","సెప్టెంబరు 2020లో, రస్గోత్రా ఇప్పటికీ చురుకుగా ఉన్నాడని, జీవించి ఉన్న భారతీయ మాజీ ఫారిన్ సర్వీస్ (IFS) అధికారులలో ఒకరని గుర్తించబడింది. "
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,,
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,,
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,"Singh was promoted from the rank of sepoy to junior commissioned officer in recognition of his successes in the 1958 Asian Games. He subsequently became Director of Sports in Punjab Ministry of Education, a post he retired from in 1998.Singh was awarded the Padma Shri, India's fourth-highest civilian award, following his success in 1958. In 2001, he turned down an offer of the Arjuna Award from the Indian government, arguing that it was intended to recognise young sports people and not those such as him. He also thought that the Award was being inappropriately given to people who had little notable involvement as active sports people at all. He said that ""I have been clubbed with sportspersons who are nowhere near the level that I had achieved"" and that the award had become devalued. While sharing his experience in a college in Goa in 2014, he stated, ""The awards nowadays are distributed like 'prasad' in a temple. Why should one be honoured when he or she has not achieved the benchmark for the award? I rejected the Arjuna I was offered after I received the Padma Shri. It was like being offered an SSC [secondary school] certificate after securing a Masters degree.""All of Singh's medals have been donated to the nation","సింగ్ 1958 ఆసియా క్రీడల్లో సాధించిన విజయాలకు గుర్తింపుగా సిపాయి స్థాయి నుండి జూనియర్ కమీషన్డ్ ఆఫీసర్గా పదోన్నతి పొందారు. ఇతను పంజాబ్ విద్యా మంత్రిత్వ శాఖలో స్పోర్ట్స్ డైరెక్టర్ అయ్యాడు, ఈ పదవి నుండి ఇతను 1998లో పదవీ విరమణ చేశాడు. సింగ్ 1958లో సాధించిన విజయాన్ని అనుసరించి భారతదేశపు నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని పొందారు. 2001లో, ఇతను భారత ప్రభుత్వం నుండి అర్జున అవార్డు ప్రతిపాదనను తిరస్కరించాడు, ఇది యువ క్రీడాకారులను గుర్తించడానికి ఉద్దేశించబడింది, తనలాంటి వారిని కాదని వాదించాడు. చురుకైన క్రీడాకారులుగా చెప్పుకోదగ్గ ప్రమేయం తక్కువగా ఉన్న వ్యక్తులకు అవార్డు అనుచితంగా ఇవ్వబడుతుందని కూడా ఇతను భావించాడు. ""నేను సాధించిన స్థాయికి ఎక్కడా లేని క్రీడాకారులతో నేను కలిసిపోయాను"", అవార్డు విలువ తగ్గించబడిందని ఇతను చెప్పాడు. 2014లో గోవాలోని ఒక కళాశాలలో తన అనుభవాన్ని పంచుకుంటూ, ""ప్రస్తుతం అవార్డులు ఆలయంలో 'ప్రసాదం' వలె పంపిణీ చేయబడుతున్నాయి. ఇతను లేదా ఈమె అవార్డు కోసం బెంచ్మార్క్ను సాధించనప్పుడు వారిని ఎందుకు గౌరవించాలి? నేను పద్మశ్రీ అందుకున్న తర్వాత అర్జునుడిని తిరస్కరించాను. ఇది మాస్టర్స్ డిగ్రీని పొందిన తర్వాత SSC [సెకండరీ స్కూల్] సర్టిఫికేట్ అందించడం లాంటిది. ‘‘సింగ్ సాధించిన పతకాలన్నీ దేశానికి అందించబడ్డాయి. "
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,,
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,"Anand married Shirin Vajifdar, a Parsi classical dancer from Bombay in 1950. He died of pneumonia in Pune on 28 September 2004 at the age 98.",ఆనంద్ 1950లో బొంబాయికి చెందిన పార్సీ క్లాసికల్ డ్యాన్సర్ అయిన షిరిన్ వాజిఫ్దార్ను వివాహం చేసుకున్నాడు. ఇతను 98 సంవత్సరాల వయస్సులో 28 సెప్టెంబర్ 2004న పూణేలో న్యుమోనియాతో మరణించాడు. 
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,"During the 1960s, he served as managing director of two business firms in New Delhi, after which he emigrated to the United Kingdom in 1968. A trail of correspondence in the columns of the London Times in the 1970s or thereabouts regarding the return of the Elgin Marbles to Athens developed to include other treasures acquired by the British from various parts of their Empire and someone suggested that the legendary Koh-i-noor diamond should be returned to India. The subject was brought to a close by a letter from Pillai in which he said that, although the diamond rightfully belonged to India he felt that Indians everywhere were happy for it to remain where it was (and still is) among the Crown Jewels.In his last years, he resided at 26 Hans Place in Kensington, Knightsbridge. He died on 31 March 1992, just short of 94.","1960లలో, ఇతను న్యూఢిల్లీలో రెండు వ్యాపార సంస్థల మేనేజింగ్ డైరెక్టర్గా పనిచేశాడు, ఆ తర్వాత 1968లో యునైటెడ్ కింగ్డమ్కి వలస వెళ్ళాడు. బ్రిటీష్ వారి సామ్రాజ్యంలోని వివిధ ప్రాంతాల నుండి పొందిన ఇతర సంపదలను చేర్చడానికి ఎల్గిన్ మార్బుల్స్ను ఏథెన్స్కు తిరిగి ఇవ్వడం గురించి 1970లలో లేదా దాని గురించి లండన్ టైమ్స్ కాలమ్లలో కరస్పాండెన్స్, ట్రయల్ అభివృద్ధి చేయబడింది, ఎవరైనా పురాణ కోహ్-ఐ- నూర్ వజ్రాన్ని భారతదేశానికి తిరిగి ఇవ్వాలి. ఈ విషయం పిళ్లై నుండి ఒక లేఖ ద్వారా ముగించబడింది, అందులో ఇతను వజ్రం భారతదేశానికి చెందినదే అయినప్పటికీ, అది ఎక్కడ ఉందో (ఇప్పటికీ) కిరీట ఆభరణాల మధ్య ఉన్నందుకు ప్రతిచోటా భారతీయులు సంతోషంగా ఉన్నారని ఇతను భావించాడు. అతని చివరి సంవత్సరాల్లో, ఇతను నైట్స్బ్రిడ్జ్లోని కెన్సింగ్టన్లోని 26 హన్స్ ప్లేస్లో నివసించాడు. ఇతను 31 మార్చి 1992న మరణించాడు, కేవలం 94 ఏళ్లకే. "
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
