,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
4048,Lloyd Rudolph,https://en.wikipedia.org/wiki/Lloyd_Rudolph,,,,,2014.0,"Illinois, United States",Literature and Education,Pranab Mukherjee,,,,,"(1927-11-01)November 1, 1927
Chicago, Illinois, US","(1927-11-01)November 1, 1927","Chicago, Illinois, US","January 16, 2016(2016-01-16)(aged 88)
Oakland, California, US","January 16, 2016(2016-01-16)(aged 88)","Oakland, California, US",,Susanne Hoeber Rudolph,,,"Padma Bhushan
Professor Emeritus at the University of Chicago","Author, educationist, political thinker",Yes,No
4049,Susanne Hoeber Rudolph,https://en.wikipedia.org/wiki/Susanne_Hoeber_Rudolph,,,,,2014.0,Germany,Literature and Education,Pranab Mukherjee,,,,,"Susanne Hoeber
(1930-04-03)April 3, 1930
Mannheim, Germany","(1930-04-03)April 3, 1930",Germanay,"December 23, 2015(2015-12-23)(aged 85)
Oakland, California, U.S.","December 23, 2015(2015-12-23)(aged 85)","Oakland, California, U.S.",,Lloyd Rudolph,,,Padma BhushanWilliam Benton Distinguished Service Professor Emerita at the University of Chicago,"Author, Educationist, Political thinker",Yes,No
4050,Begum Parveen Sultana,https://en.wikipedia.org/wiki/Parveen_Sultana,,,,,2014.0,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,"May 1950 (age 71)
Puranigudam,Nagaon,Assam, India",May 1950 (age 71),"Puranigudam,Nagaon,Assam, India",nan,nan,nan,,Ustad Dilshad Khan,,,"Padma Bhushan(2014)[1]
Sangeet Natak Akademi Award(1998)",,Yes,No
4051,Dhirubhai Thaker,https://en.wikipedia.org/wiki/Dhirubhai_Thaker,,,,,2014.0,"Gujarat, India",Literature and Education,Pranab Mukherjee,,,,,"(1918-06-27)27 June 1918
Kodinar, Gujarat, India",(1918-06-27)27 June 1918,"Kodinar, Gujarat, India","22 January 2014(2014-01-22)(aged 95)
Ahmedabad, Gujarat",22 January 2014(2014-01-22)(aged 95),"Ahmedabad, Gujarat",Indian,,,,Ranjitram Suvarna Chandrak(1994)Sahitya Gaurav Puraskar(1998)Narmad Suvarna Chandrak(2012)Padma Bhushan(2014),Author,Yes,No
4052,Manjul Bhargava,https://en.wikipedia.org/wiki/Manjul_Bhargava,,,,,2015.0,Canada,Science and Engineering,Pranab Mukherjee,,,,,"(1974-08-08)8 August 1974(age 47)
Hamilton, Ontario, Canada",(1974-08-08)8 August 1974(age 47),"Hamilton, Ontario, Canada",nan,nan,nan,"Canada
United States",,,"Princeton University
Leiden University
University of Hyderabad","Fellow of the Royal Society(2019)
Padma Bhushan(2015)
Fields Medal(2014)
Infosys Prize(2012)
Fermat Prize(2011)
Cole Prize(2008)
Clay Research Award(2005)
SASTRA Ramanujan Prize(2005)
Blumenthal Award(2005)
Hasse Prize (2003)
Morgan Prize(1996)
Hoopes Prize(1996)
Hertz Fellowship(1996)",,No,No
4053,Vijay Bhatkar,https://en.wikipedia.org/wiki/Vijay_P._Bhatkar,,,,,2015.0,"Maharashtra, India",Science and Engineering,Pranab Mukherjee,,,,,"Vijay Pandurang Bhatkar
11th October 1946
Muramba,Tq MurtizapurAkola district,Maharashtra, India",11th October 1946,nan,nan,nan,nan,Indian,Lalit Bhatkar,,,Padma BhushanPadma ShriMaharashtra Bhushan,,No,No
4054,Swapan Dasgupta,https://en.wikipedia.org/wiki/Swapan_Dasgupta,,,,,2015.0,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,"(1955-10-03)3 October 1955(age 66)
Kolkata,West Bengal,India",(1955-10-03)3 October 1955(age 66),"Kolkata,West Bengal,India",nan,nan,nan,,Reshmi Ray Dasgupta,"St. Stephen's College, Delhi(BA)
SOAS University of London(MA,PhD)
Nuffield College, Oxford(Post-doctoral Fellow)",,Padma Bhushan(2015),"Journalist, Writer, Political analyst",No,No
4055,David Frawley,https://en.wikipedia.org/wiki/David_Frawley,,,,,2015.0,"Wisconsin, United States",Literature and Education,Pranab Mukherjee,,,,,"(1950-09-21)September 21, 1950(age 71)
Wisconsin, United States","(1950-09-21)September 21, 1950(age 71)","Wisconsin, United States",nan,nan,nan,American,Yogini Shambhavi Chopra,,,Padma Bhushan,"Vedacharya, Ayurvedic teacher, Vedic astrologer, writer",No,No
4056,Bill Gates,https://en.wikipedia.org/wiki/Bill_Gates,,,,,2015.0,"Washington, United States",Social Work,Pranab Mukherjee,,,,,"William Henry Gates III
(1955-10-28)October 28, 1955(age 65)
Seattle,Washington, U.S.","(1955-10-28)October 28, 1955(age 65)","Washington, United States",nan,nan,nan,United States,Melinda French​​(m.1994;div.2021)​,,,Presidential Medal of Freedom(2016),Software developerinvestorentrepreneur,No,No
4057,Melinda Gates,https://en.wikipedia.org/wiki/Melinda_Gates,,,,,2015.0,"Texas, United States",Social Work,Pranab Mukherjee,,,,,"Melinda Ann French
(1964-08-15)August 15, 1964(age 57)
Dallas,Texas, U.S.","(1964-08-15)August 15, 1964(age 57)","Dallas, Texas, United States",nan,nan,nan,American,Bill Gates​​(m.1994;div.2021)​[1],,,Presidential Medal of Freedom(2016),"Co-Chair and Founder,Bill & Melinda Gates Foundation",No,No
4058,Satyamitranand Giri,https://en.wikipedia.org/wiki/Swami_Satyamitranand,,,,,2015.0,"Uttar Pradesh, India",Others,Pranab Mukherjee,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
4059,N. Gopalaswami,https://en.wikipedia.org/wiki/N._Gopalaswami,,,,,2015.0,"Tamil Nadu, India",Civil Service,Pranab Mukherjee,,,,,(1944-04-21)21 April 1944(age 77),(1944-04-21)21 April 1944(age 77),nan,nan,nan,nan,Indian,,,,,Election Commissioner (2004-06); Chief Election Commissioner (2006-09); Chairman ofKalakshetra Foundation(2014-19),No,No
4060,Subhash C. Kashyap,https://en.wikipedia.org/wiki/Subhash_C._Kashyap,,,,,2015.0,Delhi/India,Public Affairs,Pranab Mukherjee,,,,,"(1929-05-10)10 May 1929(age 92)
Chandpur, Bijnor",(1929-05-10)10 May 1929(age 92),"Chandpur, Bijnor",nan,nan,nan,Indian,,,Parliament of IndiaandCentre for Policy Research,,,No,No
4061,Saichiro Misumi,https://en.wikipedia.org/wiki/Saichiro_Misumi,,,,,2015.0,,Public Affairs,Pranab Mukherjee,,,,,"(1916-06-16)16 June 1916
Japan",(1916-06-16)16 June 1916,Japan,"23 February 2018(2018-02-23)(aged 101)
Tokyo, Japan",23 February 2018(2018-02-23)(aged 101),"Tokyo, Japan",,,,,Padma Bhushan,"World War II veteran, indologist",No,No
4062,Ambrish Mithal,https://en.wikipedia.org/wiki/Ambrish_Mithal,,,,,2015.0,Delhi/India,Medicine,Pranab Mukherjee,,,,,"29 March 1958
Lucknow, India",1958-03-29 00:00:00,"Lucknow, India",nan,nan,nan,,Dr Ranjana Mithal,,,Padma Bhushan,Endocrinologist,No,No
4063,Harish Salve,https://en.wikipedia.org/wiki/Harish_Salve,,,,,2015.0,Delhi/India,Public Affairs,Pranab Mukherjee,,,,,"(1955-06-22)22 June 1955(age 66)
Warud,Sindkheda,Dhule,Maharashtra,India",(1955-06-22)22 June 1955(age 66),"Warud,Sindkheda,Dhule,Maharashtra,India",nan,nan,nan,Indian,"Meenakshi Salve
​​(m.1982;div.2020)​Caroline Brossard
​​(m.2020)​","Nagpur University(BCom,LLB)
Institute of Chartered Accountants of India",,Padma Bhushan,,No,No
4064,Rajat Sharma,https://en.wikipedia.org/wiki/Rajat_Sharma,,,,,2015.0,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,"(1957-02-18)18 February 1957(age 64)
Delhi, India[3]",(1957-02-18)18 February 1957(age 64),"Delhi, India[3]",nan,nan,nan,,Ritu Dhawan​(m.1997)​,,,Padma Bhushan(2015),"President ofDelhi & District Cricket Association,[4]Journalist",No,No
4065,Shivakumara Swami,https://en.wikipedia.org/wiki/Shivakumara_Swami,,,,,2015.0,"Karnataka, India",Others,Pranab Mukherjee,,,,,"Shivanna
(1907-04-01)1 April 1907
Veerapur,Magadi,Kingdom of Mysore[1]",(1907-04-01)1 April 1907,nan,"(2019-01-21)21 January 2019
(aged 111 years, 295 days)[2]
Tumkur, Karnataka, India",(2019-01-21)21 January 2019,"(aged 111 years, 295 days)[2]
Tumkur, Karnataka, India",,,,,"Padma Bhushan(2015)[2]
Karnataka Ratna(2007)[4]",Humanitarianspiritual leadereducatorhead ofSiddaganga Matha,No,No
4066,Khadg Singh Valdiya,https://en.wikipedia.org/wiki/Khadg_Singh_Valdiya,,,,,2015.0,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,,,"20 March 1937[1]
Kalaw(Myanmar)[1]",20 March 1937[1],Kalaw(Myanmar)[1],2020-09-29 00:00:00,2020-09-29 00:00:00,nan,,,,,"Padma Bhushan2015
The G.M Modi Award for Science and Environment 2012
L.N. Kailasam Gold Medal 2009
Padma Shri2007
Hindi Sevi Samman (Atmaram Award) 2007
Prince Mukarram Gold Medal 2000
National Mineral Award of Excellence 1997
D.N. Wadia Medal 1995
National Mineral Award 1993
S.K. Mitra Award 1991
P. Pant National Environment Fellow 1982–84
National Lecturer 1977–78
L. Rama Rao Gold Medal 1977
Shanti Swarup Bhatnagar Prize1976
Chancellor’s Medal at Lucknow University 1954[1]",Geologist,No,No
4067,Ravindra Chandra Bhargava,https://en.wikipedia.org/wiki/Ravindra_Chandra_Bhargava,,,,,2016.0,"Uttar Pradesh, India",Public Affairs,Pranab Mukherjee,,,,,(1934-07-30)30 July 1934(age 87),(1934-07-30)30 July 1934(age 87),nan,nan,nan,nan,Indian,,,,,"ChairmanofMaruti Suzuki
RetiredIAS officer",No,No
4068,Robert Blackwill,https://en.wikipedia.org/wiki/Robert_Blackwill,,,,,2016.0,"Idaho, United states",Public Affairs,Pranab Mukherjee,,,,,"(1939-08-08)August 8, 1939(age 82)
Kellogg, Idaho, U.S.","(1939-08-08)August 8, 1939(age 82)","Kellogg, Idaho, U.S.",nan,nan,nan,United States,,,,,,No,No
4069,Hafeez Contractor,https://en.wikipedia.org/wiki/Hafeez_Contractor,,,,,2016.0,"Maharashtra, India",Others,Pranab Mukherjee,,,,,"(1950-06-19)19 June 1950(age 71)
Mumbai,Maharashtra,India",(1950-06-19)19 June 1950(age 71),"Mumbai,Maharashtra,India",nan,nan,nan,Indian,Pearl Contractor​(m.1962)​,,,Padma Bhushan,Architect,No,No
4070,Indu Jain,https://en.wikipedia.org/wiki/Indu_Jain,,,,,2016.0,Delhi/India,Trade and Industry,Pranab Mukherjee,,,,,"(1936-09-08)8 September 1936
Faizabad,United Provinces,British India",(1936-09-08)8 September 1936,"Faizabad,United Provinces,British India","13 May 2021(2021-05-13)(aged 84)
New Delhi,Delhi, India",13 May 2021(2021-05-13)(aged 84),"New Delhi,Delhi, India",Indian,Ashok Kumar Jain,,,,"Chairman and CEO of
Bennett Coleman & Co Ltd.",No,No
4071,Pallonji Mistry,https://en.wikipedia.org/wiki/Pallonji_Mistry,,,,,2016.0,"Gujarat, India",Trade and Industry,Pranab Mukherjee,,,,,1929 (age 91–92),1929 (age 91–92),"Gujarat,India",nan,nan,nan,Indian,Patsy Perin Dubash,,,,Businessman,No,No
4072,Vinod Rai,https://en.wikipedia.org/wiki/Vinod_Rai,,,,,2016.0,"Kerala, India",Civil Service,Pranab Mukherjee,,,,,"(1948-05-23)23 May 1948(age 73)
United Provinces,India",(1948-05-23)23 May 1948(age 73),"United Provinces,India",nan,nan,nan,Indian,,"Hindu College, University of Delhi(B.A, M.A),
Harvard University(MPA)",,,,No,No
4073,N. S. Ramanuja Tatacharya,https://en.wikipedia.org/wiki/N._S._Ramanuja_Tatacharya,,,,,2016.0,"Maharashtra, India",Literature and Education,Pranab Mukherjee,,,,,"Navalpakkam S. Ramanuja Tatacharya
1928
Navalpakkam, North Arcot, Tamil Nadu",1928.0,nan,2017-06-05 00:00:00,2017-06-05 00:00:00,nan,,,,,,Sanskrit scholar,No,No
4074,Dayananda Saraswati,https://en.wikipedia.org/wiki/Dayananda_Saraswati_(Arsha_Vidya),,,,,2016.0,"Uttarakhand, India",Others,Pranab Mukherjee,,,,,"Natarajan Gopala Iyer
(1930-08-15)15 August 1930
Manjakkudi,Tamil Nadu,India",(1930-08-15)15 August 1930,nan,"23 September 2015(2015-09-23)(aged 85)
Rishikesh,Uttarakhand,India",23 September 2015(2015-09-23)(aged 85),"Rishikesh,Uttarakhand,India",Indian,,,,,,No,Yes
4075,Barjinder Singh Hamdard,https://en.wikipedia.org/wiki/Barjinder_Singh_Hamdard,,,,,2016.0,"Punjab, India",Literature and Education,Pranab Mukherjee,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
4076,Tejomayananda,https://en.wikipedia.org/wiki/Tejomayananda,,,,,2016.0,"Maharashtra, India",Others,Pranab Mukherjee,,,,,"Sudhakar Kaitwade
(1950-06-30)30 June 1950(age 71)
Madhya Pradesh, India",(1950-06-30)30 June 1950(age 71),nan,nan,nan,nan,,,,,,,No,No
4077,Ratnasundarsuri,https://en.wikipedia.org/wiki/Ratnasundarsuri,,,,,2017.0,"Gujarat, India",Others,Pranab Mukherjee,,,,,"Rajni
(1948-01-05)5 January 1948(age 73)
Depla nearPalitana,Gujarat",(1948-01-05)5 January 1948(age 73),nan,nan,nan,nan,,,,,,,No,No
4078,Niranjanananda Saraswati,https://en.wikipedia.org/wiki/Niranjanananda_Saraswati,,,,,2017.0,"Bihar, India",Others,Pranab Mukherjee,,,,,"(1960-02-14)14 February 1960(age 61)
Rajnandgaon",(1960-02-14)14 February 1960(age 61),Rajnandgaon,nan,nan,nan,Indian,,,,,,No,No
4079,Cho Ramaswamy,https://en.wikipedia.org/wiki/Cho_Ramaswamy,,,,,2017.0,"Tamil Nadu, India",Literature and Education,Pranab Mukherjee,,,,,"Srinivasa Iyer Ramaswamy
(1934-10-05)5 October 1934
Mylapore,Madras Presidency,British India
(present dayChennai,Tamil Nadu, India)",(1934-10-05)5 October 1934,nan,"7 December 2016(2016-12-07)(aged 82)
Chennai,Tamil Nadu, India",7 December 2016(2016-12-07)(aged 82),"Chennai,Tamil Nadu, India",Indian,Soundaramba Ramaswamy​​(m.1966;his death2016)​,,,Padma Bhushan(2017),ActorPolitical satiristJournalistLawyerEditorDirectorScreen writer,No,Yes
4080,Maha Chakri Sirindhorn,https://en.wikipedia.org/wiki/Sirindhorn,,,,,2017.0,,Literature and Education,Pranab Mukherjee,,,,,"(1955-04-02)April 2, 1955(age 66)
Amphorn Sathan Residential Hall
Dusit Palace,Bangkok,Thailand","(1955-04-02)April 2, 1955(age 66)","Amphorn Sathan Residential Hall
Dusit Palace,Bangkok,Thailand",nan,nan,nan,,,,,,,No,No
4081,Pankaj Advani,https://en.wikipedia.org/wiki/Pankaj_Advani_(billiards_player),,,,,2018.0,"Karnataka, India",Sports,Ram Nath Kovind,,,,,"(1985-07-24)24 July 1985(age 36)
Pune,Maharashtra, India",(1985-07-24)24 July 1985(age 36),"Pune,Maharashtra, India",nan,nan,nan,,,,,,,No,No
4082,Philipose Mar Chrysostom,https://en.wikipedia.org/wiki/Philipose_Mar_Chrysostom,,,,,2018.0,"Kerala, India",Others,Ram Nath Kovind,,,,,"(1918-04-27)27 April 1918
Eraviperoor,Thiruvalla,Travancore,British India",(1918-04-27)27 April 1918,"Eraviperoor,Thiruvalla,Travancore,British India","5 May 2021(2021-05-05)(aged 103)
Thiruvalla,Kerala,India",5 May 2021(2021-05-05)(aged 103),"Thiruvalla,Kerala,India",India,,,,,,No,No
4083,Alexander Kadakin,https://en.wikipedia.org/wiki/Alexander_Kadakin,,,,,2018.0,Moldova,Public Affairs,Ram Nath Kovind,,,,,"(1949-07-22)22 July 1949
Chișinău,Moldavian SSR, Soviet Union",(1949-07-22)22 July 1949,"Chișinău,Moldavian SSR, Soviet Union","26 January 2017(2017-01-26)(aged 67)
New Delhi, India",26 January 2017(2017-01-26)(aged 67),"New Delhi, India",,,Moscow State Institute of International Relations,,,,No,Yes
4084,Ramachandran Nagaswamy,https://en.wikipedia.org/wiki/R._Nagaswamy,,,,,2018.0,"Tamil Nadu, India",Others,Ram Nath Kovind,,,,,"(1930-08-10)10 August 1930(age 91)
Madras,Madras Presidency,British India",(1930-08-10)10 August 1930(age 91),"Madras,Madras Presidency,British India",nan,nan,nan,,,,,,"Art historian,archaeologist",No,No
4085,Ved Prakash Nanda,https://en.wikipedia.org/wiki/Ved_Prakash_Nanda,,,,,2018.0,"Punjab, India",Literature and Education,Ram Nath Kovind,,,,,1934-11-20 00:00:00,nan,Gujranwala,nan,nan,nan,,,,,,,No,No
4086,Arvind Parikh,https://en.wikipedia.org/wiki/Arvind_Parikh,,,,,2018.0,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,"(1927-10-19)19 October 1927(age 94)
Ahmedabad,India",(1927-10-19)19 October 1927(age 94),"Ahmedabad,India",nan,nan,nan,,,,,,,No,No
4087,John T. Chambers,https://en.wikipedia.org/wiki/John_T._Chambers,,,,,2019.0,"Ohio, United States",Trade and Industry,Ram Nath Kovind,,,,,"John Thomas Chambers
(1949-08-23)August 23, 1949(age 72)
Cleveland,Ohio, U.S.","(1949-08-23)August 23, 1949(age 72)",nan,nan,nan,nan,,Elaine Chambers,,,Padma Bhushan2019,"Executive Chairman,Cisco Systems",Yes,No
4088,Sukhdev Singh Dhindsa,https://en.wikipedia.org/wiki/Sukhdev_Singh_Dhindsa,,,,,2019.0,"Punjab, India",Public Affairs,Ram Nath Kovind,,,,,"(1936-04-09)9 April 1936(age 85)
Sangrur,Punjab,British India",(1936-04-09)9 April 1936(age 85),"Sangrur,Punjab,British India",nan,nan,nan,,Harjit Kaur,,,Padma Bhushan(2019),,Yes,No
4089,Pravin Gordhan,https://en.wikipedia.org/wiki/Pravin_Gordhan,,,,,2019.0,South Africa,Public Affairs,Ram Nath Kovind,,,,,"Pravin Jamnadas Gordhan
(1949-04-12)12 April 1949(age 72)
Durban,South Africa",(1949-04-12)12 April 1949(age 72),South Africa,nan,nan,nan,,Vanitha Raju,University of Durban-Westville,,,Politiciananti-apartheid activist,Yes,No
4090,Mahashay Dharampal Gulati,https://en.wikipedia.org/wiki/Mahashay_Dharampal_Gulati,,,,,2019.0,Delhi/India,Trade and Industry,Ram Nath Kovind,,,,,"(1923-03-27)27 March 1923
Sialkot,Punjab,British India",(1923-03-27)27 March 1923,"Sialkot,Punjab,British India","3 December 2020(2020-12-03)(aged 97)
New Delhi,India",3 December 2020(2020-12-03)(aged 97),"New Delhi,India",,,,,Padma Bhushan(2019),Founder and CEO ofMDH,Yes,No
4091,Darshan Lal Jain,https://en.wikipedia.org/wiki/Darshan_Lal_Jain,,,,,2019.0,"Haryana, India",Social Work,Ram Nath Kovind,,,,,"(1927-12-12)12 December 1927
Jagadhri,Haryana",(1927-12-12)12 December 1927,"Jagadhri,Haryana",8 February 2021(2021-02-08)(aged 93),8 February 2021(2021-02-08)(aged 93),nan,Indian,,,,Padma Bhushan,Social activist,Yes,No
4092,Ashok Laxmanrao Kukade,https://en.wikipedia.org/wiki/Ashok_Laxmanrao_Kukade,,,,,2019.0,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
4093,Kariya Munda,https://en.wikipedia.org/wiki/Kariya_Munda,,,,,2019.0,"Jharkhand, India",Public Affairs,Ram Nath Kovind,,,,,"(1936-04-20)20 April 1936(age 85)
Anigara village,Ranchi district,Bihar Province, (now inJharkhand),British India",(1936-04-20)20 April 1936(age 85),"Anigara village,Ranchi district,Bihar Province, (now inJharkhand),British India",nan,nan,nan,,Sunanda Devi,,,Padma Bhushan2019,,Yes,No
4094,Budhaditya Mukherjee,https://en.wikipedia.org/wiki/Budhaditya_Mukherjee,,,,,2019.0,"West Bengal, India",Arts,Ram Nath Kovind,,,,,"1955 (age 65–66)
Durg, India",1955 (age 65–66),"Durg, India",nan,nan,nan,,,,,,,Yes,No
4095,Nambi Narayanan,https://en.wikipedia.org/wiki/Nambi_Narayanan,,,,,2019.0,"Kerala, India",Science and Engineering,Ram Nath Kovind,,,,,"(1941-12-12)12 December 1941(age 79)
Nagercoil, Tamil Nadu, India",(1941-12-12)12 December 1941(age 79),"Nagercoil, Tamil Nadu, India",nan,nan,nan,,,,,Padma Bhushan,Aerospace engineer,Yes,No
4096,Kuldip Nayar,https://en.wikipedia.org/wiki/Kuldip_Nayar,,,,,2019.0,Delhi/India,Literature and Education,Ram Nath Kovind,,,,,"(1923-08-14)14 August 1923
Sialkot,Punjab,British India
(nowPunjab,Pakistan)",(1923-08-14)14 August 1923,"Sialkot,Punjab,British India
(nowPunjab,Pakistan)","23 August 2018(2018-08-23)(aged 95)
New Delhi,India",23 August 2018(2018-08-23)(aged 95),"New Delhi,India",Indian,,,,Padma Bhushan2019 (Posthumous),Diplomatjournalistauthorparliamentarianactivist,Yes,No
4097,V. K. Shunglu,https://en.wikipedia.org/wiki/V._K._Shunglu,,,,,2019.0,Delhi/India,Civil Service,Ram Nath Kovind,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
4098,Hukmdev Narayan Yadav,https://en.wikipedia.org/wiki/Hukmdev_Narayan_Yadav,,,,,2019.0,"Bihar, India",Public Affairs,Ram Nath Kovind,,,,,"(1939-11-17)17 November 1939(age 81)
Bijuli,Darbhanga",(1939-11-17)17 November 1939(age 81),"Bijuli,Darbhanga",nan,nan,nan,Indian,Sudesh Yadav[1],Chandradhari Mithila College,,Padma Bhushan,Politicianandagriculturist,Yes,No
4099,Sri M,https://en.wikipedia.org/wiki/Sri_M,,,,,2020.0,"Kerala, India",Others,Ram Nath Kovind,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
4100,Syed Muazzem Ali,https://en.wikipedia.org/wiki/Syed_Muazzem_Ali,,,,,2020.0,"Assam, India Province",Public Affairs,Ram Nath Kovind,,,,,"(1944-07-18)18 July 1944
Sylhet district,Assam Province,British India",(1944-07-18)18 July 1944,"Sylhet district,Assam Province,British India","30 December 2019(2019-12-30)(aged 75)
Dhaka, Bangladesh",30 December 2019(2019-12-30)(aged 75),"Dhaka, Bangladesh",Bangladeshi,,,,,,No,Yes
4101,Muzaffar Hussain Baig,https://en.wikipedia.org/wiki/Muzaffar_Hussain_Baig,,,,,2020.0,Jammu & Kashmir/India,Public Affairs,Ram Nath Kovind,,,,,"(1946-05-08)8 May 1946(age 75)
Wahdina,Jammu and Kashmir, India",(1946-05-08)8 May 1946(age 75),"Wahdina,Jammu and Kashmir, India",nan,nan,nan,,Safina Baig,Harvard University,,Padma Bhushan,"Advocate General,Politician",No,No
4102,S. C. Jamir,https://en.wikipedia.org/wiki/S._C._Jamir,,,,,2020.0,"Nagaland, India",Public Affairs,Ram Nath Kovind,,,,,"Senayangba Chubatoshi Jamir
(1931-10-17)17 October 1931(age 90)
Ungma,Bengal Presidency,British India
(Now inNagaland, India)",(1931-10-17)17 October 1931(age 90),nan,nan,nan,nan,Indian,Imkonglemla​(m.1958)​,"Scottish Church College, Kolkata
Allahabad University
University of Cambodia",,,,No,No
4103,Anand Mahindra,https://en.wikipedia.org/wiki/Anand_Mahindra,,,,,2020.0,"Maharashtra, India",Trade and Industry,Ram Nath Kovind,,,,,"(1955-05-01)1 May 1955(age 66)
Bombay,Bombay State, India",(1955-05-01)1 May 1955(age 66),"Bombay,Bombay State, India",nan,nan,nan,Indian,Anuradha Mahindra,,,,Businessman,No,No
4104,Manohar Parrikar,https://en.wikipedia.org/wiki/Manohar_Parrikar,,,,,2020.0,"Goa, India",Public Affairs,Ram Nath Kovind,,,,,"Manohar Gopalkrishna Prabhu Parrikar
(1955-12-13)13 December 1955
Mapusa,Portuguese India(present-dayGoa,India)",(1955-12-13)13 December 1955,nan,"17 March 2019(2019-03-17)(aged 63)
Panaji, Goa, India",17 March 2019(2019-03-17)(aged 63),"Panaji, Goa, India",,Medha (died 2001),IIT Bombay(BTech),,Padma Bhushan,,No,Yes
4105,Jagdish Sheth,https://en.wikipedia.org/wiki/Jagdish_Sheth,,,,,2020.0,Myanmar,Literature and Education,Ram Nath Kovind,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
4106,Tarun Gogoi,https://en.wikipedia.org/wiki/Tarun_Gogoi,,,,,2021.0,"Assam, India",Public Affairs,Ram Nath Kovind,,,,,"(1936-04-01)1 April 1936[2]
Rangamati,Jorhat,Assam Province,British India
(present-dayAssam,India)",(1936-04-01)1 April 1936[2],"Rangamati,Jorhat,Assam Province,British India
(present-dayAssam,India)","23 November 2020(2020-11-23)(aged 84)
Guwahati, Assam, India",23 November 2020(2020-11-23)(aged 84),"Guwahati, Assam, India",,Dolly Gogoi,Gauhati University(LLB),,Padma Bhushan,,No,No
4107,Sumitra Mahajan,https://en.wikipedia.org/wiki/Sumitra_Mahajan,,,,,2021.0,"Madhya Pradesh, India",Public Affairs,Ram Nath Kovind,,,,,"Sumitra Sathe
(1943-04-12)12 April 1943
Chiplun,Bombay Presidency,British India(present-dayMaharashtra,India)",(1943-04-12)12 April 1943,nan,nan,nan,nan,,Jayant Mahajan,Indore University,,Padma Bhushan(2021),,No,No
4108,Nripendra Misra,https://en.wikipedia.org/wiki/Nripendra_Misra,,,,,2021.0,"Uttar Pradesh, India",Civil Service,Ram Nath Kovind,,,,,"(1945-03-08)8 March 1945(age 76)[1]
Deoria,United Provinces,British India",(1945-03-08)8 March 1945(age 76)[1],"Deoria,United Provinces,British India",nan,nan,nan,,,"University of Allahabad
John F. Kennedy School of Government,Harvard University",,,,No,No
4109,Ram Vilas Paswan,https://en.wikipedia.org/wiki/Ram_Vilas_Paswan,,,,,2021.0,"Bihar, India",Public Affairs,Ram Nath Kovind,,,,,"(1946-07-05)5 July 1946
Khagaria,Bihar, British India",(1946-07-05)5 July 1946,"Khagaria,Bihar, British India","8 October 2020(2020-10-08)(aged 74)
New Delhi, India",8 October 2020(2020-10-08)(aged 74),"New Delhi, India",,"Rajkumari Devi​​(m.1969;div.1981)​
Reena Sharma​(m.1982⁠–⁠2020)​","Patna University(M.A,LLB)",,Padma Bhushan(2021) (posthumously),,No,No
4110,Keshubhai Patel,https://en.wikipedia.org/wiki/Keshubhai_Patel,,,,,2021.0,"Gujarat, India",Public Affairs,Ram Nath Kovind,,,,,"(1928-07-24)24 July 1928
Visavadar,Junagadh State,British India",(1928-07-24)24 July 1928,"Visavadar,Junagadh State,British India","29 October 2020(2020-10-29)(aged 92)
Ahmedabad,Gujarat,India",29 October 2020(2020-10-29)(aged 92),"Ahmedabad,Gujarat,India",Indian,Leela Patel,,,Padma Bhushan(2021) (posthumously),,No,No
4111,Kalbe Sadiq,https://en.wikipedia.org/wiki/Kalbe_Sadiq,,,,,2021.0,"Uttar Pradesh, India",Others,Ram Nath Kovind,,,,,"(1939-06-22)22 June 1939
Lucknow,United Provinces,British India",(1939-06-22)22 June 1939,"Lucknow,United Provinces,British India","24 November 2020(2020-11-24)(aged 81)
Lucknow,Uttar Pradesh,India",24 November 2020(2020-11-24)(aged 81),"Lucknow,Uttar Pradesh,India",Indian,Taj Sultana,,,,,No,Yes
